track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Wexford Racing Results | 11th August 2023 17:30,N/A,17:30,Yielding (Good To Yielding In Places),2m 4f 100y,Bonne Debut (IRE),Mr T. Power Roche,7,Mark John Scallan,PU,N/A,7,12-0b1,102,True,73,1
Wexford Racing Results | 11th August 2023 17:30,N/A,17:30,Yielding (Good To Yielding In Places),2m 4f 100y,Lady Iseult (IRE),M. J. Molloy,7,Dermot Anthony McLoughlin,PU,N/A,8,11-11,99,True,73,1
Wexford Racing Results | 11th August 2023 17:30,N/A,17:30,Yielding (Good To Yielding In Places),2m 4f 100y,Laishann (FR),N. R. Andrews,7,Gordon Elliott,PU,N/A,5,11-11tp,99,True,73,1
Wexford Racing Results | 11th August 2023 17:30,N/A,17:30,Yielding (Good To Yielding In Places),2m 4f 100y,Florey Spud (IRE),Rachael Blackmore,0,P. F. O'Donnell,PU,N/A,8,12-0p1,102,True,73,1
Wexford Racing Results | 11th August 2023 17:30,N/A,17:30,Yielding (Good To Yielding In Places),2m 4f 100y,Mastermacblack (IRE),Sean Flanagan,0,P. Corkery,PU,N/A,6,11-11,99,True,73,1
Wexford Racing Results | 11th August 2023 17:30,N/A,17:30,Yielding (Good To Yielding In Places),2m 4f 100y,Star Official (IRE),D. E. Mullins,0,R. Donohoe,7th,12 l,5,11-10,98,True,73,1
Wexford Racing Results | 11th August 2023 17:30,N/A,17:30,Yielding (Good To Yielding In Places),2m 4f 100y,Bold Emperor (IRE),S. J. Fitzsimons,7,T. Gibney,6th,1/2 l,10,11-13,101,True,73,1
Wexford Racing Results | 11th August 2023 17:30,N/A,17:30,Yielding (Good To Yielding In Places),2m 4f 100y,Hot As Pepper (IRE),Thomas Reilly,7,John McConnell,5th,9 l,7,12-0t,102,True,73,1
Wexford Racing Results | 11th August 2023 17:30,N/A,17:30,Yielding (Good To Yielding In Places),2m 4f 100y,Where's Bunny (IRE),J. P. O'Sullivan,0,N. Dooly,4th,6 l,8,12-0t,102,True,73,1
Wexford Racing Results | 11th August 2023 17:30,N/A,17:30,Yielding (Good To Yielding In Places),2m 4f 100y,Tipp For Mac (IRE),Donagh Meyler,0,Thomas Cooper,3rd,3/4 l,6,12-0t,102,True,73,1
Wexford Racing Results | 11th August 2023 17:30,N/A,17:30,Yielding (Good To Yielding In Places),2m 4f 100y,Rebel Waltz (IRE),J. J. Slevin,0,T. J. Nagle Jnr,2nd,9 l,9,11-11,99,True,73,1
Wexford Racing Results | 11th August 2023 17:30,N/A,17:30,Yielding (Good To Yielding In Places),2m 4f 100y,Navigator Jack (IRE),Keith Donoghue,0,Eoin Griffin,1st,N/A,6,12-0t,102,True,73,1
Wexford Racing Results | 11th August 2023 17:30,N/A,17:30,Yielding (Good To Yielding In Places),2m 4f 100y,Bonne Debut (IRE),Mr T. Power Roche,7,Mark John Scallan,PU,N/A,7,12-0b1,102,True,73,1
Wexford Racing Results | 11th August 2023 17:30,N/A,17:30,Yielding (Good To Yielding In Places),2m 4f 100y,Lady Iseult (IRE),M. J. Molloy,7,Dermot Anthony McLoughlin,PU,N/A,8,11-11,99,True,73,1
Wexford Racing Results | 11th August 2023 17:30,N/A,17:30,Yielding (Good To Yielding In Places),2m 4f 100y,Laishann (FR),N. R. Andrews,7,Gordon Elliott,PU,N/A,5,11-11tp,99,True,73,1
Wexford Racing Results | 11th August 2023 17:30,N/A,17:30,Yielding (Good To Yielding In Places),2m 4f 100y,Florey Spud (IRE),Rachael Blackmore,0,P. F. O'Donnell,PU,N/A,8,12-0p1,102,True,73,1
Wexford Racing Results | 11th August 2023 17:30,N/A,17:30,Yielding (Good To Yielding In Places),2m 4f 100y,Mastermacblack (IRE),Sean Flanagan,0,P. Corkery,PU,N/A,6,11-11,99,True,73,1
Wexford Racing Results | 11th August 2023 17:30,N/A,17:30,Yielding (Good To Yielding In Places),2m 4f 100y,Star Official (IRE),D. E. Mullins,0,R. Donohoe,7th,12 l,5,11-10,98,True,73,1
Wexford Racing Results | 11th August 2023 17:30,N/A,17:30,Yielding (Good To Yielding In Places),2m 4f 100y,Bold Emperor (IRE),S. J. Fitzsimons,7,T. Gibney,6th,1/2 l,10,11-13,101,True,73,1
Wexford Racing Results | 11th August 2023 17:30,N/A,17:30,Yielding (Good To Yielding In Places),2m 4f 100y,Hot As Pepper (IRE),Thomas Reilly,7,John McConnell,5th,9 l,7,12-0t,102,True,73,1
Wexford Racing Results | 11th August 2023 17:30,N/A,17:30,Yielding (Good To Yielding In Places),2m 4f 100y,Where's Bunny (IRE),J. P. O'Sullivan,0,N. Dooly,4th,6 l,8,12-0t,102,True,73,1
Wexford Racing Results | 11th August 2023 17:30,N/A,17:30,Yielding (Good To Yielding In Places),2m 4f 100y,Tipp For Mac (IRE),Donagh Meyler,0,Thomas Cooper,3rd,3/4 l,6,12-0t,102,True,73,1
Wexford Racing Results | 11th August 2023 17:30,N/A,17:30,Yielding (Good To Yielding In Places),2m 4f 100y,Rebel Waltz (IRE),J. J. Slevin,0,T. J. Nagle Jnr,2nd,9 l,9,11-11,99,True,73,1
Wexford Racing Results | 11th August 2023 17:30,N/A,17:30,Yielding (Good To Yielding In Places),2m 4f 100y,Navigator Jack (IRE),Keith Donoghue,0,Eoin Griffin,1st,N/A,6,12-0t,102,True,73,1
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,Icee M B A (IRE),D. J. O'Keeffe,0,M. Hourigan,PU,N/A,8,11-3,84,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,Presenting Beeper (IRE),Patrick O'Hanlon,5,Dermot Anthony McLoughlin,PU,N/A,6,11-3t1,84,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,Dunleer Phoenix (IRE),J. W. Kennedy,0,Gordon Elliott,PU,N/A,7,11-9,90,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,Man After Midnight (IRE),S. F. O'Keeffe,0,Louise G. Lyons,F,N/A,6,11-3tp,84,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,Tango Theatre (IRE),B. Hayes,0,John McConnell,BD,N/A,8,12-0t,95,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,Jesina (IRE),G. B. Noonan,5,Eoin Christopher McCarthy,BD,N/A,7,11-12t,93,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,Shes My Getaway (IRE),B. P. Kennedy,7,Kevin Thomas Coleman,7th,17 l,5,11-7,88,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,Spring Street (IRE),D. E. Mullins,0,J. P. Flavin,6th,3 1/4 l,5,11-9tp,90,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,The Last Throw (IRE),C. M. Quirke,5,David Harry Kelly,5th,1/2 l,7,11-11,92,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,Cruisin Susan (IRE),Mr R. A. Berry,7,J. A. Berry,4th,2 3/4 l,6,12-0,95,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,Ocean Legacy (IRE),J. J. Slevin,0,Dermot Anthony McLoughlin,3rd,7 1/2 l,6,10-13,80,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,Will It Be You (IRE),Kieran Callaghan,5,Liam P. Cusack,2nd,5 1/2 l,6,11-0,81,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,Sarah Beara (IRE),Phillip Enright,0,S. Curling,1st,N/A,5,11-11,92,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,Icee M B A (IRE),D. J. O'Keeffe,0,M. Hourigan,PU,N/A,8,11-3,84,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,Presenting Beeper (IRE),Patrick O'Hanlon,5,Dermot Anthony McLoughlin,PU,N/A,6,11-3t1,84,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,Dunleer Phoenix (IRE),J. W. Kennedy,0,Gordon Elliott,PU,N/A,7,11-9,90,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,Man After Midnight (IRE),S. F. O'Keeffe,0,Louise G. Lyons,F,N/A,6,11-3tp,84,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,Tango Theatre (IRE),B. Hayes,0,John McConnell,BD,N/A,8,12-0t,95,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,Jesina (IRE),G. B. Noonan,5,Eoin Christopher McCarthy,BD,N/A,7,11-12t,93,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,Shes My Getaway (IRE),B. P. Kennedy,7,Kevin Thomas Coleman,7th,17 l,5,11-7,88,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,Spring Street (IRE),D. E. Mullins,0,J. P. Flavin,6th,3 1/4 l,5,11-9tp,90,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,The Last Throw (IRE),C. M. Quirke,5,David Harry Kelly,5th,1/2 l,7,11-11,92,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,Cruisin Susan (IRE),Mr R. A. Berry,7,J. A. Berry,4th,2 3/4 l,6,12-0,95,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,Ocean Legacy (IRE),J. J. Slevin,0,Dermot Anthony McLoughlin,3rd,7 1/2 l,6,10-13,80,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,Will It Be You (IRE),Kieran Callaghan,5,Liam P. Cusack,2nd,5 1/2 l,6,11-0,81,True,73,2
Wexford Racing Results | 11th August 2023 18:05,N/A,18:05,Yielding (Good To Yielding In Places),3m,Sarah Beara (IRE),Phillip Enright,0,S. Curling,1st,N/A,5,11-11,92,True,73,2
Wexford Racing Results | 11th August 2023 18:40,N/A,18:40,Yielding (Good To Yielding In Places),2m 3f 170y,Automatic (IRE),M. M. McDonagh,5,W. J. Burke,11th,16 l,9,11-12,-,True,73,3
Wexford Racing Results | 11th August 2023 18:40,N/A,18:40,Yielding (Good To Yielding In Places),2m 3f 170y,Corkbeg (IRE),M. J. M. O'Sullivan,0,David Harry Kelly,10th,13 l,6,11-12t,-,True,73,3
Wexford Racing Results | 11th August 2023 18:40,N/A,18:40,Yielding (Good To Yielding In Places),2m 3f 170y,Flaming Moon (IRE),Peter Carberry,0,Matthew J. Smith,9th,1 3/4 l,6,11-12h,-,True,73,3
Wexford Racing Results | 11th August 2023 18:40,N/A,18:40,Yielding (Good To Yielding In Places),2m 3f 170y,Time Marches On (IRE),D. J. O'Keeffe,0,J. D. Motherway,8th,5 l,7,11-12p,-,True,73,3
Wexford Racing Results | 11th August 2023 18:40,N/A,18:40,Yielding (Good To Yielding In Places),2m 3f 170y,Theblazen Queen (IRE),C. M. Quirke,5,Mark Oliver Quigley,7th,30 l,5,11-5,-,True,73,3
Wexford Racing Results | 11th August 2023 18:40,N/A,18:40,Yielding (Good To Yielding In Places),2m 3f 170y,Midnight Our Fred (IRE),D. E. Mullins,0,J. P. Flavin,6th,5 l,6,11-12,-,True,73,3
Wexford Racing Results | 11th August 2023 18:40,N/A,18:40,Yielding (Good To Yielding In Places),2m 3f 170y,Tempo Chapter Two (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,5th,3/4 l,7,11-12b,-,True,73,3
Wexford Racing Results | 11th August 2023 18:40,N/A,18:40,Yielding (Good To Yielding In Places),2m 3f 170y,Skippin Court (IRE),Sean Flanagan,0,Peter Fahey,4th,4 l,6,11-12,-,True,73,3
Wexford Racing Results | 11th August 2023 18:40,N/A,18:40,Yielding (Good To Yielding In Places),2m 3f 170y,Percy Warner (IRE),Rachael Blackmore,0,Henry de Bromhead,3rd,3 1/2 l,7,11-12p,-,True,73,3
Wexford Racing Results | 11th August 2023 18:40,N/A,18:40,Yielding (Good To Yielding In Places),2m 3f 170y,Rexem (IRE),B. W. Harvey,3,John McConnell,2nd,7 l,6,11-12,-,True,73,3
Wexford Racing Results | 11th August 2023 18:40,N/A,18:40,Yielding (Good To Yielding In Places),2m 3f 170y,Riaan (IRE),J. W. Kennedy,0,Gordon Elliott,1st,N/A,6,11-12,-,True,73,3
Wexford Racing Results | 11th August 2023 18:40,N/A,18:40,Yielding (Good To Yielding In Places),2m 3f 170y,Automatic (IRE),M. M. McDonagh,5,W. J. Burke,11th,16 l,9,11-12,-,True,73,3
Wexford Racing Results | 11th August 2023 18:40,N/A,18:40,Yielding (Good To Yielding In Places),2m 3f 170y,Corkbeg (IRE),M. J. M. O'Sullivan,0,David Harry Kelly,10th,13 l,6,11-12t,-,True,73,3
Wexford Racing Results | 11th August 2023 18:40,N/A,18:40,Yielding (Good To Yielding In Places),2m 3f 170y,Flaming Moon (IRE),Peter Carberry,0,Matthew J. Smith,9th,1 3/4 l,6,11-12h,-,True,73,3
Wexford Racing Results | 11th August 2023 18:40,N/A,18:40,Yielding (Good To Yielding In Places),2m 3f 170y,Time Marches On (IRE),D. J. O'Keeffe,0,J. D. Motherway,8th,5 l,7,11-12p,-,True,73,3
Wexford Racing Results | 11th August 2023 18:40,N/A,18:40,Yielding (Good To Yielding In Places),2m 3f 170y,Theblazen Queen (IRE),C. M. Quirke,5,Mark Oliver Quigley,7th,30 l,5,11-5,-,True,73,3
Wexford Racing Results | 11th August 2023 18:40,N/A,18:40,Yielding (Good To Yielding In Places),2m 3f 170y,Midnight Our Fred (IRE),D. E. Mullins,0,J. P. Flavin,6th,5 l,6,11-12,-,True,73,3
Wexford Racing Results | 11th August 2023 18:40,N/A,18:40,Yielding (Good To Yielding In Places),2m 3f 170y,Tempo Chapter Two (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,5th,3/4 l,7,11-12b,-,True,73,3
Wexford Racing Results | 11th August 2023 18:40,N/A,18:40,Yielding (Good To Yielding In Places),2m 3f 170y,Skippin Court (IRE),Sean Flanagan,0,Peter Fahey,4th,4 l,6,11-12,-,True,73,3
Wexford Racing Results | 11th August 2023 18:40,N/A,18:40,Yielding (Good To Yielding In Places),2m 3f 170y,Percy Warner (IRE),Rachael Blackmore,0,Henry de Bromhead,3rd,3 1/2 l,7,11-12p,-,True,73,3
Wexford Racing Results | 11th August 2023 18:40,N/A,18:40,Yielding (Good To Yielding In Places),2m 3f 170y,Rexem (IRE),B. W. Harvey,3,John McConnell,2nd,7 l,6,11-12,-,True,73,3
Wexford Racing Results | 11th August 2023 18:40,N/A,18:40,Yielding (Good To Yielding In Places),2m 3f 170y,Riaan (IRE),J. W. Kennedy,0,Gordon Elliott,1st,N/A,6,11-12,-,True,73,3
Wexford Racing Results | 11th August 2023 19:15,N/A,19:15,Yielding,2m 3f 170y,Downthecellar (IRE),B. W. Harvey,0,E. J. O'Grady,PU,N/A,9,11-10tp,110,True,73,4
Wexford Racing Results | 11th August 2023 19:15,N/A,19:15,Yielding,2m 3f 170y,Le Malin (FR),E. Walsh,0,Sean McParlan,10th,2 1/2 l,9,11-12,112,True,73,4
Wexford Racing Results | 11th August 2023 19:15,N/A,19:15,Yielding,2m 3f 170y,Hascoeur Clermont (FR),K. E. Buckley,0,Gavin Patrick Cromwell,9th,7 l,6,11-5h,105,True,73,4
Wexford Racing Results | 11th August 2023 19:15,N/A,19:15,Yielding,2m 3f 170y,Gali Flight (FR),Richard Condon,2,Philip Fenton,8th,14 l,7,11-10p,110,True,73,4
Wexford Racing Results | 11th August 2023 19:15,N/A,19:15,Yielding,2m 3f 170y,Top Line Tommy (IRE),D. J. Gilligan,2,E. J. O'Grady,7th,1/2 l,7,11-12,112,True,73,4
Wexford Racing Results | 11th August 2023 19:15,N/A,19:15,Yielding,2m 3f 170y,Filon D'oudairies (FR),M. M. McDonagh,2,J. P. Broderick,6th,1/2 l,8,11-12,112,True,73,4
Wexford Racing Results | 11th August 2023 19:15,N/A,19:15,Yielding,2m 3f 170y,Secret Cargo (IRE),J. P. Shinnick,4,Philip Fenton,5th,10 l,9,11-3b,103,True,73,4
Wexford Racing Results | 11th August 2023 19:15,N/A,19:15,Yielding,2m 3f 170y,Western Cowboy (IRE),C. Brassil,0,Henry de Bromhead,4th,11 l,7,11-9p1,109,True,73,4
Wexford Racing Results | 11th August 2023 19:15,N/A,19:15,Yielding,2m 3f 170y,Coole Arcade (IRE),D. King,0,Henry de Bromhead,3rd,6 1/2 l,9,11-1t,101,True,73,4
Wexford Racing Results | 11th August 2023 19:15,N/A,19:15,Yielding,2m 3f 170y,Downtown Queen (IRE),M. P. O'Connor,0,Henry de Bromhead,2nd,1/2 l,6,11-5t,105,True,73,4
Wexford Racing Results | 11th August 2023 19:15,N/A,19:15,Yielding,2m 3f 170y,Iridescent (USA),Kieran Callaghan,0,Jonathan Fogarty,1st,N/A,9,11-10,110,True,73,4
Wexford Racing Results | 11th August 2023 19:15,N/A,19:15,Yielding,2m 3f 170y,Downthecellar (IRE),B. W. Harvey,0,E. J. O'Grady,PU,N/A,9,11-10tp,110,True,73,4
Wexford Racing Results | 11th August 2023 19:15,N/A,19:15,Yielding,2m 3f 170y,Le Malin (FR),E. Walsh,0,Sean McParlan,10th,2 1/2 l,9,11-12,112,True,73,4
Wexford Racing Results | 11th August 2023 19:15,N/A,19:15,Yielding,2m 3f 170y,Hascoeur Clermont (FR),K. E. Buckley,0,Gavin Patrick Cromwell,9th,7 l,6,11-5h,105,True,73,4
Wexford Racing Results | 11th August 2023 19:15,N/A,19:15,Yielding,2m 3f 170y,Gali Flight (FR),Richard Condon,2,Philip Fenton,8th,14 l,7,11-10p,110,True,73,4
Wexford Racing Results | 11th August 2023 19:15,N/A,19:15,Yielding,2m 3f 170y,Top Line Tommy (IRE),D. J. Gilligan,2,E. J. O'Grady,7th,1/2 l,7,11-12,112,True,73,4
Wexford Racing Results | 11th August 2023 19:15,N/A,19:15,Yielding,2m 3f 170y,Filon D'oudairies (FR),M. M. McDonagh,2,J. P. Broderick,6th,1/2 l,8,11-12,112,True,73,4
Wexford Racing Results | 11th August 2023 19:15,N/A,19:15,Yielding,2m 3f 170y,Secret Cargo (IRE),J. P. Shinnick,4,Philip Fenton,5th,10 l,9,11-3b,103,True,73,4
Wexford Racing Results | 11th August 2023 19:15,N/A,19:15,Yielding,2m 3f 170y,Western Cowboy (IRE),C. Brassil,0,Henry de Bromhead,4th,11 l,7,11-9p1,109,True,73,4
Wexford Racing Results | 11th August 2023 19:15,N/A,19:15,Yielding,2m 3f 170y,Coole Arcade (IRE),D. King,0,Henry de Bromhead,3rd,6 1/2 l,9,11-1t,101,True,73,4
Wexford Racing Results | 11th August 2023 19:15,N/A,19:15,Yielding,2m 3f 170y,Downtown Queen (IRE),M. P. O'Connor,0,Henry de Bromhead,2nd,1/2 l,6,11-5t,105,True,73,4
