track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Tramore Racing Results | 20th August 2023 17:20,N/A,17:20,Yielding To Soft,2m,Yorkshire Escape (IRE),Miss H. M. Smullen,7,Gordon Elliott,12th,4 3/4 l,4,11-8,-,True,75,1
Tramore Racing Results | 20th August 2023 17:20,N/A,17:20,Yielding To Soft,2m,Celestrial Diamond (IRE),Mr Alan O'Sullivan,7,W. J. Lanigan,11th,1 l,9,11-11,-,True,75,1
Tramore Racing Results | 20th August 2023 17:20,N/A,17:20,Yielding To Soft,2m,Ms Merlot (IRE),Mr K. P. Healy,7,C. W. J. Farrell,10th,22 l,4,11-8t1,-,True,75,1
Tramore Racing Results | 20th August 2023 17:20,N/A,17:20,Yielding To Soft,2m,Ceis Charraigin (IRE),Mr J. P. Collins,7,G. Ahern,9th,3/4 l,4,11-8t1,-,True,75,1
Tramore Racing Results | 20th August 2023 17:20,N/A,17:20,Yielding To Soft,2m,Where's Teddy (IRE),Miss E. Cody,7,N. Dooly,8th,1 1/2 l,6,11-11,-,True,75,1
Tramore Racing Results | 20th August 2023 17:20,N/A,17:20,Yielding To Soft,2m,The Coach Lady (IRE),Mr J. C. Canavan,7,Richard Anthony Foley,7th,10 l,5,11-11,-,True,75,1
Tramore Racing Results | 20th August 2023 17:20,N/A,17:20,Yielding To Soft,2m,Lady Danu (IRE),Mr T. A. Halford,7,M. Halford & T. Collins,6th,1 1/2 l,7,11-11,-,True,75,1
Tramore Racing Results | 20th August 2023 17:20,N/A,17:20,Yielding To Soft,2m,Only A Dollar (IRE),Mr S. Tobin,7,Sean Aherne,5th,7 1/2 l,5,11-11h,-,True,75,1
Tramore Racing Results | 20th August 2023 17:20,N/A,17:20,Yielding To Soft,2m,Milanaway (IRE),Mr J. L. Gleeson,5,Denis Hogan,4th,1 1/4 l,5,11-11,-,True,75,1
Tramore Racing Results | 20th August 2023 17:20,N/A,17:20,Yielding To Soft,2m,Late Vocation (IRE),Mr A. P. Ryan,7,P. F. McEnery,3rd,1/2 l,5,11-11,-,True,75,1
Tramore Racing Results | 20th August 2023 17:20,N/A,17:20,Yielding To Soft,2m,Nt Field Minnesota (IRE),Mr P. W. Mullins,0,W. P. Mullins,2nd,6 l,5,11-11,-,True,75,1
Tramore Racing Results | 20th August 2023 17:20,N/A,17:20,Yielding To Soft,2m,Grannys Yaris (IRE),Mr F. D. Brickley,7,Nigel Slevin,1st,N/A,6,11-11t,-,True,75,1
Tramore Racing Results | 20th August 2023 17:20,N/A,17:20,Yielding To Soft,2m,Yorkshire Escape (IRE),Miss H. M. Smullen,7,Gordon Elliott,12th,4 3/4 l,4,11-8,-,True,75,1
Tramore Racing Results | 20th August 2023 17:20,N/A,17:20,Yielding To Soft,2m,Celestrial Diamond (IRE),Mr Alan O'Sullivan,7,W. J. Lanigan,11th,1 l,9,11-11,-,True,75,1
Tramore Racing Results | 20th August 2023 17:20,N/A,17:20,Yielding To Soft,2m,Ms Merlot (IRE),Mr K. P. Healy,7,C. W. J. Farrell,10th,22 l,4,11-8t1,-,True,75,1
Tramore Racing Results | 20th August 2023 17:20,N/A,17:20,Yielding To Soft,2m,Ceis Charraigin (IRE),Mr J. P. Collins,7,G. Ahern,9th,3/4 l,4,11-8t1,-,True,75,1
Tramore Racing Results | 20th August 2023 17:20,N/A,17:20,Yielding To Soft,2m,Where's Teddy (IRE),Miss E. Cody,7,N. Dooly,8th,1 1/2 l,6,11-11,-,True,75,1
Tramore Racing Results | 20th August 2023 17:20,N/A,17:20,Yielding To Soft,2m,The Coach Lady (IRE),Mr J. C. Canavan,7,Richard Anthony Foley,7th,10 l,5,11-11,-,True,75,1
Tramore Racing Results | 20th August 2023 17:20,N/A,17:20,Yielding To Soft,2m,Lady Danu (IRE),Mr T. A. Halford,7,M. Halford & T. Collins,6th,1 1/2 l,7,11-11,-,True,75,1
Tramore Racing Results | 20th August 2023 17:20,N/A,17:20,Yielding To Soft,2m,Only A Dollar (IRE),Mr S. Tobin,7,Sean Aherne,5th,7 1/2 l,5,11-11h,-,True,75,1
Tramore Racing Results | 20th August 2023 17:20,N/A,17:20,Yielding To Soft,2m,Milanaway (IRE),Mr J. L. Gleeson,5,Denis Hogan,4th,1 1/4 l,5,11-11,-,True,75,1
Tramore Racing Results | 20th August 2023 17:20,N/A,17:20,Yielding To Soft,2m,Late Vocation (IRE),Mr A. P. Ryan,7,P. F. McEnery,3rd,1/2 l,5,11-11,-,True,75,1
Tramore Racing Results | 20th August 2023 17:20,N/A,17:20,Yielding To Soft,2m,Nt Field Minnesota (IRE),Mr P. W. Mullins,0,W. P. Mullins,2nd,6 l,5,11-11,-,True,75,1
Tramore Racing Results | 20th August 2023 17:20,N/A,17:20,Yielding To Soft,2m,Grannys Yaris (IRE),Mr F. D. Brickley,7,Nigel Slevin,1st,N/A,6,11-11t,-,True,75,1
Curragh Racing Results | 20th August 2023 14:00,N/A,14:00,Good (Good To Yielding In Places),6f,Minton (IRE),A. C. Persse,7,Mrs Jayne Hearne,23rd,18 l,2,8-13,-,True,75,2
Curragh Racing Results | 20th August 2023 14:00,N/A,14:00,Good (Good To Yielding In Places),6f,Ylva (IRE),Declan McDonogh,0,Kieran Patrick Cotter,22nd,4 3/4 l,2,9-3b1,-,True,75,2
Curragh Racing Results | 20th August 2023 14:00,N/A,14:00,Good (Good To Yielding In Places),6f,Fivecromwellplace (IRE),J. M. Sheridan,0,P. F. McEnery,21st,1 3/4 l,2,9-4,-,True,75,2
