track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Kilbeggan Racing Results | 25th August 2023 18:45,N/A,18:45,Yielding,3m 1f,Zanjabeel,C. Brassil,5,Stephanie Ocsko-Moore,PU,N/A,10,12-0tb,95,True,76,1
Kilbeggan Racing Results | 25th August 2023 18:45,N/A,18:45,Yielding,3m 1f,Danegeld,T. P. Harney,7,J. Morrison,PU,N/A,11,11-8,89,True,76,1
Kilbeggan Racing Results | 25th August 2023 18:45,N/A,18:45,Yielding,3m 1f,Laughing Trix (IRE),Patrick O'Hanlon,5,Dermot Anthony McLoughlin,PU,N/A,10,10-13tp,80,True,76,1
Kilbeggan Racing Results | 25th August 2023 18:45,N/A,18:45,Yielding,3m 1f,Gonedairy (IRE),N. T. Prendergast,7,D. E. Prendergast,10th,3 1/2 l,7,11-11,92,True,76,1
Kilbeggan Racing Results | 25th August 2023 18:45,N/A,18:45,Yielding,3m 1f,Ragin Cajun (IRE),J. Smith,7,Matthew J. Smith,9th,7 l,10,11-11tp1,92,True,76,1
Kilbeggan Racing Results | 25th August 2023 18:45,N/A,18:45,Yielding,3m 1f,Father Jed (IRE),Philip Donovan,5,John Patrick Ryan,8th,16 l,12,11-2,83,True,76,1
Kilbeggan Racing Results | 25th August 2023 18:45,N/A,18:45,Yielding,3m 1f,Pino Boy (IRE),Richard Condon,5,Mrs Ann Mooney,7th,7 l,9,10-9tp,76,True,76,1
Kilbeggan Racing Results | 25th August 2023 18:45,N/A,18:45,Yielding,3m 1f,Fr Gilligansvoyge,Phillip Enright,0,John G. Carr,6th,10 l,10,10-7tb,74,True,76,1
Kilbeggan Racing Results | 25th August 2023 18:45,N/A,18:45,Yielding,3m 1f,Steps Match (IRE),K. E. Buckley,3,Michael Butler,5th,1 3/4 l,8,11-9b,90,True,76,1
Kilbeggan Racing Results | 25th August 2023 18:45,N/A,18:45,Yielding,3m 1f,Highland Sting (IRE),D. E. Mullins,0,John Patrick Ryan,4th,3/4 l,7,11-0tb1,81,True,76,1
Kilbeggan Racing Results | 25th August 2023 18:45,N/A,18:45,Yielding,3m 1f,Greenway Machine (IRE),Shane O'Callaghan,0,Ms Helen P. Markham,3rd,35 l,11,10-0,67,True,76,1
