track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Cork Racing Results | 30th August 2023 14:15,N/A,14:15,Good,1m 4f,Grann's Boy (IRE),Siobhan Rutledge,3,Harry Rogers,12th,1/2 l,3,9-8,-,True,77,1
Cork Racing Results | 30th August 2023 14:15,N/A,14:15,Good,1m 4f,Promises to Keep (IRE),Seamie Heffernan,0,Aidan O'Brien,11th,1 l,3,9-3,-,True,77,1
Cork Racing Results | 30th August 2023 14:15,N/A,14:15,Good,1m 4f,Dorset Lady (IRE),G. M. Ryan,0,Timothy Doyle,10th,Short Head,6,9-12,-,True,77,1
Cork Racing Results | 30th August 2023 14:15,N/A,14:15,Good,1m 4f,Super Surprise (IRE),C. Horgan,7,Edmond Kent,9th,Neck,5,10-3,-,True,77,1
Cork Racing Results | 30th August 2023 14:15,N/A,14:15,Good,1m 4f,Killeemore Lad (IRE),Amy Jo Hayes,7,A. Slattery,8th,1 l,5,10-3,-,True,77,1
Cork Racing Results | 30th August 2023 14:15,N/A,14:15,Good,1m 4f,Ravshan (IRE),R. P. Whelan,0,M. Halford & T. Collins,7th,3 1/2 l,3,9-8b1,-,True,77,1
Cork Racing Results | 30th August 2023 14:15,N/A,14:15,Good,1m 4f,Silverbridge,S. McCullagh,3,John Joseph Murphy,6th,1/2 l,3,9-8,-,True,77,1
Cork Racing Results | 30th August 2023 14:15,N/A,14:15,Good,1m 4f,Cahersiveen (IRE),N. G. McCullagh,0,K. J. Condon,5th,1/2 l,3,9-8,-,True,77,1
Cork Racing Results | 30th August 2023 14:15,N/A,14:15,Good,1m 4f,Rioja Alta (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,4th,1/2 l,3,9-8,-,True,77,1
Cork Racing Results | 30th August 2023 14:15,N/A,14:15,Good,1m 4f,Jupiter Rock (IRE),D. B. McMonagle,0,Joseph Patrick O'Brien,3rd,1 1/2 l,3,9-8,-,True,77,1
Cork Racing Results | 30th August 2023 14:15,N/A,14:15,Good,1m 4f,Hardpoint (IRE),Shane Foley,0,Mrs J. Harrington,2nd,1 3/4 l,3,9-8,-,True,77,1
