track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Curragh Racing Results | 7th October 2023 13:45,N/A,13:45,Soft,1m,Lady Craftsman (IRE),Ben Martin Coen,0,Adrian Murray,10th,16 l,2,9-2,-,True,85,1
Curragh Racing Results | 7th October 2023 13:45,N/A,13:45,Soft,1m,Foxtrot Zulu (IRE),C. T. Keane,0,G. M. Lyons,9th,6 l,2,9-2,-,True,85,1
Curragh Racing Results | 7th October 2023 13:45,N/A,13:45,Soft,1m,Sea The Boss,N. M. Crosse,0,Mrs J. Harrington,8th,4 1/4 l,2,9-2,-,True,85,1
Curragh Racing Results | 7th October 2023 13:45,N/A,13:45,Soft,1m,Unreasonable (USA),D. B. McMonagle,0,Joseph Patrick O'Brien,7th,Neck,2,9-2,-,True,85,1
Curragh Racing Results | 7th October 2023 13:45,N/A,13:45,Soft,1m,Snellen (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,6th,1 l,2,9-2,-,True,85,1
Curragh Racing Results | 7th October 2023 13:45,N/A,13:45,Soft,1m,Brilliant (IRE),Seamie Heffernan,0,Aidan O'Brien,5th,1/2 l,2,9-2,-,True,85,1
Curragh Racing Results | 7th October 2023 13:45,N/A,13:45,Soft,1m,Gray's Inn (IRE),G. M. Ryan,0,Jack Channon,4th,1 3/4 l,2,9-2,-,True,85,1
Curragh Racing Results | 7th October 2023 13:45,N/A,13:45,Soft,1m,Dare To Dream (FR),R. P. Whelan,0,G. Hernon,3rd,1/2 l,2,9-2,-,True,85,1
Curragh Racing Results | 7th October 2023 13:45,N/A,13:45,Soft,1m,Kitty Rose,William James Lee,0,Miss Natalia Lupini,2nd,2 1/2 l,2,9-2,-,True,85,1
Curragh Racing Results | 7th October 2023 13:45,N/A,13:45,Soft,1m,Content (IRE),C. D. Hayes,0,Aidan O'Brien,1st,N/A,2,9-2,-,True,85,1
Curragh Racing Results | 7th October 2023 13:45,N/A,13:45,Soft,1m,Lady Craftsman (IRE),Ben Martin Coen,0,Adrian Murray,10th,16 l,2,9-2,-,True,85,1
Curragh Racing Results | 7th October 2023 13:45,N/A,13:45,Soft,1m,Foxtrot Zulu (IRE),C. T. Keane,0,G. M. Lyons,9th,6 l,2,9-2,-,True,85,1
Curragh Racing Results | 7th October 2023 13:45,N/A,13:45,Soft,1m,Sea The Boss,N. M. Crosse,0,Mrs J. Harrington,8th,4 1/4 l,2,9-2,-,True,85,1
Curragh Racing Results | 7th October 2023 13:45,N/A,13:45,Soft,1m,Unreasonable (USA),D. B. McMonagle,0,Joseph Patrick O'Brien,7th,Neck,2,9-2,-,True,85,1
Curragh Racing Results | 7th October 2023 13:45,N/A,13:45,Soft,1m,Snellen (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,6th,1 l,2,9-2,-,True,85,1
Curragh Racing Results | 7th October 2023 13:45,N/A,13:45,Soft,1m,Brilliant (IRE),Seamie Heffernan,0,Aidan O'Brien,5th,1/2 l,2,9-2,-,True,85,1
Curragh Racing Results | 7th October 2023 13:45,N/A,13:45,Soft,1m,Gray's Inn (IRE),G. M. Ryan,0,Jack Channon,4th,1 3/4 l,2,9-2,-,True,85,1
Curragh Racing Results | 7th October 2023 13:45,N/A,13:45,Soft,1m,Dare To Dream (FR),R. P. Whelan,0,G. Hernon,3rd,1/2 l,2,9-2,-,True,85,1
Curragh Racing Results | 7th October 2023 13:45,N/A,13:45,Soft,1m,Kitty Rose,William James Lee,0,Miss Natalia Lupini,2nd,2 1/2 l,2,9-2,-,True,85,1
Curragh Racing Results | 7th October 2023 13:45,N/A,13:45,Soft,1m,Content (IRE),C. D. Hayes,0,Aidan O'Brien,1st,N/A,2,9-2,-,True,85,1
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Kingsofthemidlands (FR),Ms C. A. Walsh,7,P. A. Fahy,16th,3 l,5,10-0,62,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Encore De Mer (IRE),Miss K. Lawless,7,S. M. Duffy,15th,10 l,4,10-0h1,62,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Patrick Joseph,Miss R. Hogan,7,D. Broad,14th,11 l,8,10-0p,62,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Molly's Gamble (IRE),Miss J. Walton,5,Paul O'Flynn,13th,1/2 l,4,11-1tp,77,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Beautiful Chaos (IRE),Miss A. B. O'Connor,3,Ross O'Sullivan,12th,4 1/2 l,5,10-8,70,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,In Favour,Miss A. McGuinness,7,Luke Comer,11th,4 1/2 l,7,10-11tp,73,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Vultan (IRE),Ms P. R. Briselden,7,A. J. Martin,10th,11 l,6,11-3tp,79,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Folly Beach,Miss A. Hourigan,7,Mark Molloy,9th,3 1/4 l,5,10-0,62,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Vischio (IRE),Miss J. Townend,0,R. Donohoe,8th,Nose,6,11-7,83,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Kottayam (IRE),Miss O. M. Queally,7,John Queally,7th,1 l,8,10-3,65,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Whatcouldhavebeen (IRE),Miss A. Fahey,7,Jarlath P. Fahey,6th,3/4 l,5,10-10,72,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Let Her Loose (IRE),Miss Brodie Hampson,0,Archie Watson,5th,2 1/2 l,6,11-1,77,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Plains Indian (IRE),Miss L. Costello,7,A. Slattery,4th,2 1/2 l,7,10-8,70,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Van Demon (IRE),Miss M. O'Sullivan,5,Noel Meade,3rd,4 1/2 l,3,10-13t1,81,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Narlita (GER),Miss M. Walsh,7,Harry Rogers,2nd,3 1/4 l,4,10-8h,70,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Pachmena (IRE),Miss Georgie Benson,7,Gavin Patrick Cromwell,1st,N/A,6,10-11t,73,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Kingsofthemidlands (FR),Ms C. A. Walsh,7,P. A. Fahy,16th,3 l,5,10-0,62,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Encore De Mer (IRE),Miss K. Lawless,7,S. M. Duffy,15th,10 l,4,10-0h1,62,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Patrick Joseph,Miss R. Hogan,7,D. Broad,14th,11 l,8,10-0p,62,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Molly's Gamble (IRE),Miss J. Walton,5,Paul O'Flynn,13th,1/2 l,4,11-1tp,77,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Beautiful Chaos (IRE),Miss A. B. O'Connor,3,Ross O'Sullivan,12th,4 1/2 l,5,10-8,70,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,In Favour,Miss A. McGuinness,7,Luke Comer,11th,4 1/2 l,7,10-11tp,73,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Vultan (IRE),Ms P. R. Briselden,7,A. J. Martin,10th,11 l,6,11-3tp,79,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Folly Beach,Miss A. Hourigan,7,Mark Molloy,9th,3 1/4 l,5,10-0,62,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Vischio (IRE),Miss J. Townend,0,R. Donohoe,8th,Nose,6,11-7,83,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Kottayam (IRE),Miss O. M. Queally,7,John Queally,7th,1 l,8,10-3,65,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Whatcouldhavebeen (IRE),Miss A. Fahey,7,Jarlath P. Fahey,6th,3/4 l,5,10-10,72,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Let Her Loose (IRE),Miss Brodie Hampson,0,Archie Watson,5th,2 1/2 l,6,11-1,77,True,85,2
Curragh Racing Results | 7th October 2023 14:20,N/A,14:20,Soft ap (Turf),1m 4f,Plains Indian (IRE),Miss L. Costello,7,A. Slattery,4th,2 1/2 l,7,10-8,70,True,85,2
