track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Ace Aussie (IRE),L. F. Roche,0,John Joseph Hanlon,14th,13 l,5,10-0t,78,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Delicate Girl (IRE),C. Stone-Walsh,7,Joseph Patrick O'Brien,13th,15 l,3,9-5p,75,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Sovereign Duke (GER),Ben Martin Coen,0,John Joseph Hanlon,12th,35 l,8,9-11,75,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Magnetic North (IRE),Adam Caffrey,5,James McAuley,11th,4 1/2 l,8,9-13v,77,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,God Knows (IRE),J. A. Powell,5,Richard Brabazon,10th,1/2 l,4,9-12,76,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Bambeano (IRE),D. B. McMonagle,0,Mark Fahey,9th,1 1/4 l,6,9-9,73,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Dark Note,Andrew Joseph Slattery,0,A. Slattery,8th,Head,4,9-9,73,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,John Alexander (IRE),C. D. Hayes,0,Luke Comer,7th,2 1/4 l,4,9-13,77,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Hidden Land (USA),L. T. McAteer,0,Andrew Kinirons,6th,1/2 l,6,9-6,70,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Autocrat (IRE),J. M. Sheridan,0,Shane Kieran Ryder,5th,1 l,3,9-8p,78,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Cold Steel (USA),William James Lee,0,Andrew Oliver,4th,5 l,5,9-12,76,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,S'all Good Man (IRE),C. J. MacRedmond,5,W. T. Farrell,3rd,1/2 l,7,9-13p,77,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Kadeen (IRE),R. P. Whelan,0,M. Halford & T. Collins,2nd,3 1/4 l,3,9-5,75,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Luke Short,R. Whearty,5,Noel Meade,1st,N/A,6,9-11p,75,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Ace Aussie (IRE),L. F. Roche,0,John Joseph Hanlon,14th,13 l,5,10-0t,78,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Delicate Girl (IRE),C. Stone-Walsh,7,Joseph Patrick O'Brien,13th,15 l,3,9-5p,75,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Sovereign Duke (GER),Ben Martin Coen,0,John Joseph Hanlon,12th,35 l,8,9-11,75,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Magnetic North (IRE),Adam Caffrey,5,James McAuley,11th,4 1/2 l,8,9-13v,77,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,God Knows (IRE),J. A. Powell,5,Richard Brabazon,10th,1/2 l,4,9-12,76,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Bambeano (IRE),D. B. McMonagle,0,Mark Fahey,9th,1 1/4 l,6,9-9,73,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Dark Note,Andrew Joseph Slattery,0,A. Slattery,8th,Head,4,9-9,73,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,John Alexander (IRE),C. D. Hayes,0,Luke Comer,7th,2 1/4 l,4,9-13,77,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Hidden Land (USA),L. T. McAteer,0,Andrew Kinirons,6th,1/2 l,6,9-6,70,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Autocrat (IRE),J. M. Sheridan,0,Shane Kieran Ryder,5th,1 l,3,9-8p,78,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Cold Steel (USA),William James Lee,0,Andrew Oliver,4th,5 l,5,9-12,76,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,S'all Good Man (IRE),C. J. MacRedmond,5,W. T. Farrell,3rd,1/2 l,7,9-13p,77,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Kadeen (IRE),R. P. Whelan,0,M. Halford & T. Collins,2nd,3 1/4 l,3,9-5,75,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Luke Short,R. Whearty,5,Noel Meade,1st,N/A,6,9-11p,75,True,86,1
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Sound Move (IRE),L. T. McAteer,0,J. S. Bolger,12th,2 3/4 l,2,9-7,-,True,86,2
