track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Thurles Racing Results | 19th October 2023 16:00,N/A,16:00,Soft (Yielding In Places),2m 7f,Hms Seahorse (IRE),C. Smithers,7,Paul Nolan,5th,3/4 l,5,11-0,-,True,87,1
Thurles Racing Results | 19th October 2023 16:00,N/A,16:00,Soft (Yielding In Places),2m 7f,Walking On Glass (IRE),A. P. Kelly,5,Padraig Roche,4th,12 l,8,11-0p,-,True,87,1
Thurles Racing Results | 19th October 2023 16:00,N/A,16:00,Soft (Yielding In Places),2m 7f,Aspire Tower (IRE),Rachael Blackmore,0,Henry de Bromhead,3rd,23 l,7,11-0,-,True,87,1
Thurles Racing Results | 19th October 2023 16:00,N/A,16:00,Soft (Yielding In Places),2m 7f,Cash Back (FR),P. Townend,0,W. P. Mullins,2nd,1 1/4 l,11,11-0,-,True,87,1
Thurles Racing Results | 19th October 2023 16:00,N/A,16:00,Soft (Yielding In Places),2m 7f,Beacon Edge (IRE),J. W. Kennedy,0,Gordon Elliott,1st,N/A,9,11-0,-,True,87,1
Thurles Racing Results | 19th October 2023 16:00,N/A,16:00,Soft (Yielding In Places),2m 7f,Hms Seahorse (IRE),C. Smithers,7,Paul Nolan,5th,3/4 l,5,11-0,-,True,87,1
Thurles Racing Results | 19th October 2023 16:00,N/A,16:00,Soft (Yielding In Places),2m 7f,Walking On Glass (IRE),A. P. Kelly,5,Padraig Roche,4th,12 l,8,11-0p,-,True,87,1
Thurles Racing Results | 19th October 2023 16:00,N/A,16:00,Soft (Yielding In Places),2m 7f,Aspire Tower (IRE),Rachael Blackmore,0,Henry de Bromhead,3rd,23 l,7,11-0,-,True,87,1
Thurles Racing Results | 19th October 2023 16:00,N/A,16:00,Soft (Yielding In Places),2m 7f,Cash Back (FR),P. Townend,0,W. P. Mullins,2nd,1 1/4 l,11,11-0,-,True,87,1
Thurles Racing Results | 19th October 2023 16:00,N/A,16:00,Soft (Yielding In Places),2m 7f,Beacon Edge (IRE),J. W. Kennedy,0,Gordon Elliott,1st,N/A,9,11-0,-,True,87,1
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,Toucan Do (IRE),Eoin Walsh,3,John Michael Burke,14th,2 l,5,11-2,90,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,Merry Moves (IRE),D. Moloney,7,Mrs Grainne O'Connor,13th,1/2 l,8,11-5t,93,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,Lizrona (IRE),S. F. O'Keeffe,0,Eric Larkin,12th,11 l,7,11-13,101,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,In A Nice Way (IRE),L. A. McKenna,5,Stephen Ryan,11th,1 1/4 l,7,11-2,90,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,Tango Theatre (IRE),B. W. Harvey,3,John McConnell,10th,8 l,8,11-6tp,94,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,Cathys Quest (IRE),J. P. Shinnick,7,Terence O'Brien,9th,2 3/4 l,6,11-6b,94,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,Pearlofflorida (IRE),B. Hayes,0,Liam P. Cusack,8th,1/2 l,6,11-7,95,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,Goodie Girl (IRE),C. D. Maxwell,0,Dermot Anthony McLoughlin,7th,3 l,5,11-10,98,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,Walk Out (IRE),Rachael Blackmore,0,John E. & Thomas Kiely,6th,1 3/4 l,5,11-7,95,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,Light Parade (IRE),D. J. O'Keeffe,0,W. J. Burke,5th,2 1/4 l,6,11-5,93,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,C'est Rien (IRE),M. J. M. O'Sullivan,0,Thomas Mullins,4th,2 1/4 l,6,11-4t1,92,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,No Fussing (IRE),Mr D. Doyle,7,Timothy Doyle,3rd,2 1/4 l,7,11-13,101,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,Magic Conqueror (IRE),J. W. Kennedy,0,Michael G. Kennedy,2nd,2 1/4 l,6,11-6,94,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,More Info (IRE),D. King,3,Miss Shauna Larkin,1st,N/A,8,12-0,102,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,Toucan Do (IRE),Eoin Walsh,3,John Michael Burke,14th,2 l,5,11-2,90,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,Merry Moves (IRE),D. Moloney,7,Mrs Grainne O'Connor,13th,1/2 l,8,11-5t,93,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,Lizrona (IRE),S. F. O'Keeffe,0,Eric Larkin,12th,11 l,7,11-13,101,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,In A Nice Way (IRE),L. A. McKenna,5,Stephen Ryan,11th,1 1/4 l,7,11-2,90,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,Tango Theatre (IRE),B. W. Harvey,3,John McConnell,10th,8 l,8,11-6tp,94,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,Cathys Quest (IRE),J. P. Shinnick,7,Terence O'Brien,9th,2 3/4 l,6,11-6b,94,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,Pearlofflorida (IRE),B. Hayes,0,Liam P. Cusack,8th,1/2 l,6,11-7,95,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,Goodie Girl (IRE),C. D. Maxwell,0,Dermot Anthony McLoughlin,7th,3 l,5,11-10,98,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,Walk Out (IRE),Rachael Blackmore,0,John E. & Thomas Kiely,6th,1 3/4 l,5,11-7,95,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,Light Parade (IRE),D. J. O'Keeffe,0,W. J. Burke,5th,2 1/4 l,6,11-5,93,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,C'est Rien (IRE),M. J. M. O'Sullivan,0,Thomas Mullins,4th,2 1/4 l,6,11-4t1,92,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,No Fussing (IRE),Mr D. Doyle,7,Timothy Doyle,3rd,2 1/4 l,7,11-13,101,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,Magic Conqueror (IRE),J. W. Kennedy,0,Michael G. Kennedy,2nd,2 1/4 l,6,11-6,94,True,87,2
Thurles Racing Results | 19th October 2023 16:35,N/A,16:35,Soft (Yielding In Places),2m 7f,More Info (IRE),D. King,3,Miss Shauna Larkin,1st,N/A,8,12-0,102,True,87,2
Thurles Racing Results | 19th October 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 7f 202y,Isolde's Voice (IRE),Mr S. Tobin,7,Sean Aherne,14th,65 l,7,11-7,-,True,87,3
Thurles Racing Results | 19th October 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 7f 202y,Keeptheoldmanout (IRE),Mr J. Costello,7,A. J. Martin,13th,1 1/2 l,7,12-0,-,True,87,3
Thurles Racing Results | 19th October 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 7f 202y,Disco Boy (IRE),Mr M. J. Sweeney,7,Sean Byrne,12th,28 l,4,11-13,-,True,87,3
Thurles Racing Results | 19th October 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 7f 202y,Slim Marvel (FR),Mr A. P. Ryan,7,A. Slattery,11th,Nose,5,11-7,-,True,87,3
Thurles Racing Results | 19th October 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 7f 202y,Doonwest (IRE),Miss J. Townend,0,W. P. Mullins,10th,6 l,6,11-7,-,True,87,3
Thurles Racing Results | 19th October 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 7f 202y,Opera Night (IRE),Mr D. O'Connor,0,P. A. Fahy,9th,3 3/4 l,7,12-0,-,True,87,3
Thurles Racing Results | 19th October 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 7f 202y,Answering (IRE),Mr D. Doyle,7,Timothy Doyle,8th,1 3/4 l,8,12-0,-,True,87,3
Thurles Racing Results | 19th October 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 7f 202y,Remember'hesmine (IRE),Mr A. P. Fahey,7,P. G. Fahey,7th,7 l,4,11-13,-,True,87,3
Thurles Racing Results | 19th October 2023 17:10,N/A,17:10,Soft (Yielding In Places),1m 7f 202y,Slieve Carran (IRE),B. W. Harvey,7,Patrick T. Foley,6th,2 3/4 l,4,11-13,-,True,87,3
