track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Sligo Racing Results | 27th October 2023 15:35,N/A,15:35,Soft,2m 4f,Rossies Tara,J. J. Slevin,0,Mark McNiff,14th,10 l,7,10-13t,80,True,88,1
Sligo Racing Results | 27th October 2023 15:35,N/A,15:35,Soft,2m 4f,Master Breffni (IRE),Peter Carberry,0,J. T. R. Dreaper,13th,35 l,5,11-7,88,True,88,1
Sligo Racing Results | 27th October 2023 15:35,N/A,15:35,Soft,2m 4f,Father Jed (IRE),D. King,3,John Patrick Ryan,12th,1/2 l,12,11-1b,82,True,88,1
Sligo Racing Results | 27th October 2023 15:35,N/A,15:35,Soft,2m 4f,Wild Caprice (IRE),Liam Quinlan,5,John Patrick Ryan,11th,9 l,9,11-4,85,True,88,1
Sligo Racing Results | 27th October 2023 15:35,N/A,15:35,Soft,2m 4f,Onefortheditch (IRE),T. P. Harney,7,Eamonn Francis Gallagher,10th,Short Head,5,11-6,87,True,88,1
Sligo Racing Results | 27th October 2023 15:35,N/A,15:35,Soft,2m 4f,Gamigin (IRE),J. S. McGarvey,0,Noel C. Kelly,9th,1 1/2 l,5,11-4,85,True,88,1
Sligo Racing Results | 27th October 2023 15:35,N/A,15:35,Soft,2m 4f,Inchidaly Robin (IRE),Mr A. Burke-Ott,7,Alexander Ott,8th,1 1/4 l,6,11-7tp,88,True,88,1
Sligo Racing Results | 27th October 2023 15:35,N/A,15:35,Soft,2m 4f,Frazel Express (IRE),C. Brassil,5,James M. Barcoe,7th,7 l,11,11-8t,89,True,88,1
Sligo Racing Results | 27th October 2023 15:35,N/A,15:35,Soft,2m 4f,Up She Flew (IRE),Kieran Callaghan,5,Liam P. Cusack,6th,6 l,6,10-13p,80,True,88,1
Sligo Racing Results | 27th October 2023 15:35,N/A,15:35,Soft,2m 4f,Stowaway Lass (IRE),Phillip Enright,0,S. Curling,5th,12 l,9,10-13,80,True,88,1
Sligo Racing Results | 27th October 2023 15:35,N/A,15:35,Soft,2m 4f,Reserve Judgement (IRE),B. W. Harvey,3,John McConnell,4th,4 1/4 l,7,11-11b,92,True,88,1
Sligo Racing Results | 27th October 2023 15:35,N/A,15:35,Soft,2m 4f,Billies Filly (IRE),R. A. Doyle,0,Martin Brassil,3rd,4 1/4 l,5,11-0p1,81,True,88,1
Sligo Racing Results | 27th October 2023 15:35,N/A,15:35,Soft,2m 4f,Breagagh (IRE),Mr N. Gault,7,S. Michael Millar,2nd,1 1/2 l,5,11-10p,91,True,88,1
