track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Picpoul (IRE),R. Whearty,5,M. M. Rice,14th,15 l,5,9-7,61,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Humanitarian (USA),L. F. Roche,0,John Joseph Hanlon,13th,3 3/4 l,7,9-8,62,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Navajo River (IRE),Declan McDonogh,0,Luke Comer,12th,2 3/4 l,3,9-6,65,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Ghumama (IRE),C. T. Keane,0,James McAuley,11th,3 1/4 l,5,9-11tb,65,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Maralinga (IRE),M. W. Hassett,7,Timothy Doyle,10th,Neck,5,10-2,70,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Storm Steps (IRE),J. Kearney,5,Patrick Martin,9th,3/4 l,8,9-10t,64,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Grey Fable (IRE),R. C. Colgan,0,Ms Sheila Lavery,8th,1 1/4 l,3,9-5,64,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Velvet And Vine (IRE),Seamie Heffernan,0,Miss Jennifer Anne Lynch,7th,1 l,3,9-5,64,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Oranmore (IRE),C. D. Hayes,0,Luke Comer,6th,1 1/2 l,7,9-9,63,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Humtaza (IRE),J. A. Powell,3,P. O'Rourke,5th,3/4 l,4,9-6t,60,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Believe In Science (IRE),N. G. McCullagh,0,J. S. Bolger,4th,1/2 l,4,9-11,65,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Curious Bride (IRE),William James Lee,0,Eamonn O'Connell,3rd,1 3/4 l,6,9-7t,61,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Sky Legend,J. M. Sheridan,0,Philip Michael Byrne,2nd,1 1/2 l,4,9-9t,63,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Celtic Revival (IRE),J. J. G. Ryan,5,Edward Lynam,1st,N/A,4,10-1,69,True,89,1
Dundalk Racing Results | 1st November 2023 17:35,N/A,17:35,Standard,1m 4f,Picpoul (IRE),R. Whearty,5,M. M. Rice,14th,15 l,5,9-7,61,True,89,1
