track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 22nd November 2023 16:05,N/A,16:05,Standard,6f,Dream Token (IRE),L. F. Roche,0,Ross O'Sullivan,7th,23 l,3,9-3,-,True,92,1
Dundalk Racing Results | 22nd November 2023 16:05,N/A,16:05,Standard,6f,Santabella (GER),Siobhan Rutledge,3,Anthony McCann,6th,6 1/2 l,3,9-3t1,-,True,92,1
Dundalk Racing Results | 22nd November 2023 16:05,N/A,16:05,Standard,6f,First Gentleman (IRE),Shane Foley,0,Mrs J. Harrington,5th,5 1/2 l,3,9-8p,-,True,92,1
Dundalk Racing Results | 22nd November 2023 16:05,N/A,16:05,Standard,6f,Pro Bono Alexander (IRE),Seamie Heffernan,0,W. P. Browne,4th,Neck,3,9-3,-,True,92,1
Dundalk Racing Results | 22nd November 2023 16:05,N/A,16:05,Standard,6f,Reinforce (IRE),Oisin McSweeney,5,Daniel James Murphy,3rd,3 1/2 l,3,9-8t1,-,True,92,1
Dundalk Racing Results | 22nd November 2023 16:05,N/A,16:05,Standard,6f,Cross Border,William James Lee,0,Edward Lynam,2nd,2 3/4 l,3,9-8p,-,True,92,1
Dundalk Racing Results | 22nd November 2023 16:05,N/A,16:05,Standard,6f,Never Cry Never (IRE),C. T. Keane,0,J. A. Stack,1st,N/A,3,9-8p1,-,True,92,1
Dundalk Racing Results | 22nd November 2023 16:05,N/A,16:05,Standard,6f,Dream Token (IRE),L. F. Roche,0,Ross O'Sullivan,7th,23 l,3,9-3,-,True,92,1
Dundalk Racing Results | 22nd November 2023 16:05,N/A,16:05,Standard,6f,Santabella (GER),Siobhan Rutledge,3,Anthony McCann,6th,6 1/2 l,3,9-3t1,-,True,92,1
Dundalk Racing Results | 22nd November 2023 16:05,N/A,16:05,Standard,6f,First Gentleman (IRE),Shane Foley,0,Mrs J. Harrington,5th,5 1/2 l,3,9-8p,-,True,92,1
Dundalk Racing Results | 22nd November 2023 16:05,N/A,16:05,Standard,6f,Pro Bono Alexander (IRE),Seamie Heffernan,0,W. P. Browne,4th,Neck,3,9-3,-,True,92,1
Dundalk Racing Results | 22nd November 2023 16:05,N/A,16:05,Standard,6f,Reinforce (IRE),Oisin McSweeney,5,Daniel James Murphy,3rd,3 1/2 l,3,9-8t1,-,True,92,1
