track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Tramore Racing Results | 28th November 2023 13:00,N/A,13:00,Soft To Heavy,2m 5f,In The Blood (IRE),Patrick O'Hanlon,3,Conor David Maxwell,10th,62 l,4,10-12,-,True,93,1
Tramore Racing Results | 28th November 2023 13:00,N/A,13:00,Soft To Heavy,2m 5f,Angelofthemorning (IRE),N. T. Prendergast,7,D. Deacon,9th,20 l,6,10-13,-,True,93,1
Tramore Racing Results | 28th November 2023 13:00,N/A,13:00,Soft To Heavy,2m 5f,Pebble Bleu (IRE),Phillip Enright,0,Colin Motherway,8th,17 l,4,10-12h1,-,True,93,1
Tramore Racing Results | 28th November 2023 13:00,N/A,13:00,Soft To Heavy,2m 5f,Whiskey Lady (IRE),E. Walsh,3,Gillian Scott,7th,20 l,6,10-13b,-,True,93,1
Tramore Racing Results | 28th November 2023 13:00,N/A,13:00,Soft To Heavy,2m 5f,Majestic Design (IRE),R. A. Doyle,0,Declan Queally,6th,9 l,6,10-13t,-,True,93,1
Tramore Racing Results | 28th November 2023 13:00,N/A,13:00,Soft To Heavy,2m 5f,Not Before Time (IRE),S. D. Torrens,0,Aidan Anthony Howard,5th,1 1/2 l,5,10-13,-,True,93,1
Tramore Racing Results | 28th November 2023 13:00,N/A,13:00,Soft To Heavy,2m 5f,Half Off Six Pence (IRE),Sean Flanagan,0,David Harry Kelly,4th,8 l,5,10-13,-,True,93,1
Tramore Racing Results | 28th November 2023 13:00,N/A,13:00,Soft To Heavy,2m 5f,Thegingrin (IRE),J. W. Kennedy,0,Gordon Elliott,3rd,3 3/4 l,6,10-13,-,True,93,1
Tramore Racing Results | 28th November 2023 13:00,N/A,13:00,Soft To Heavy,2m 5f,Rachel's Secret (IRE),J. P. O'Sullivan,3,Declan Queally,2nd,2 l,4,10-12h,-,True,93,1
Tramore Racing Results | 28th November 2023 13:00,N/A,13:00,Soft To Heavy,2m 5f,Banprionsa (IRE),Rachael Blackmore,0,Henry de Bromhead,1st,N/A,5,10-13,-,True,93,1
Tramore Racing Results | 28th November 2023 13:00,N/A,13:00,Soft To Heavy,2m 5f,In The Blood (IRE),Patrick O'Hanlon,3,Conor David Maxwell,10th,62 l,4,10-12,-,True,93,1
Tramore Racing Results | 28th November 2023 13:00,N/A,13:00,Soft To Heavy,2m 5f,Angelofthemorning (IRE),N. T. Prendergast,7,D. Deacon,9th,20 l,6,10-13,-,True,93,1
Tramore Racing Results | 28th November 2023 13:00,N/A,13:00,Soft To Heavy,2m 5f,Pebble Bleu (IRE),Phillip Enright,0,Colin Motherway,8th,17 l,4,10-12h1,-,True,93,1
Tramore Racing Results | 28th November 2023 13:00,N/A,13:00,Soft To Heavy,2m 5f,Whiskey Lady (IRE),E. Walsh,3,Gillian Scott,7th,20 l,6,10-13b,-,True,93,1
Tramore Racing Results | 28th November 2023 13:00,N/A,13:00,Soft To Heavy,2m 5f,Majestic Design (IRE),R. A. Doyle,0,Declan Queally,6th,9 l,6,10-13t,-,True,93,1
