track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 6th December 2023 17:45,N/A,17:45,Standard,6f,That's Mad,J A Heffernan,0,A McCann,14th,1 1/4 l,7,9-10tb,59,True,94,1
Dundalk Racing Results | 6th December 2023 17:45,N/A,17:45,Standard,6f,Nation Of Stars,O McSweeney,5,Daniel Murphy,13th,1 3/4 l,3,9-1t1,50,True,94,1
Dundalk Racing Results | 6th December 2023 17:45,N/A,17:45,Standard,6f,Captured (IRE),N M Crosse,0,L Comer,12th,2 1/4 l,6,8-12,47,True,94,1
Dundalk Racing Results | 6th December 2023 17:45,N/A,17:45,Standard,6f,Cholita (IRE),C T Keane,0,S Lynam,11th,Neck,3,9-7tp,56,True,94,1
Dundalk Racing Results | 6th December 2023 17:45,N/A,17:45,Standard,6f,Un Bacio Ancora (IRE),J A Powell,3,P J F Murphy,10th,2 l,4,10-2tp,65,True,94,1
Dundalk Racing Results | 6th December 2023 17:45,N/A,17:45,Standard,6f,Kiwi Kiss (FR),R Whearty,5,G P Cromwell,9th,1 l,7,9-13v1,62,True,94,1
Dundalk Racing Results | 6th December 2023 17:45,N/A,17:45,Standard,6f,Tynan (IRE),N G McCullagh,0,R K Watson,8th,Neck,5,8-12t,47,True,94,1
Dundalk Racing Results | 6th December 2023 17:45,N/A,17:45,Standard,6f,Just Another (IRE),Siobhan Rutledge,3,L Smyth,7th,1 1/4 l,4,8-12tb,47,True,94,1
Dundalk Racing Results | 6th December 2023 17:45,N/A,17:45,Standard,6f,Teddy Boy (IRE),J J G Ryan,5,E Lynam,6th,1/2 l,8,9-6,55,True,94,1
Dundalk Racing Results | 6th December 2023 17:45,N/A,17:45,Standard,6f,Sense Of Security,S Foley,0,J Larkin,5th,2 1/4 l,4,9-5,54,True,94,1
Dundalk Racing Results | 6th December 2023 17:45,N/A,17:45,Standard,6f,No Speed Limit (FR),J M Sheridan,0,P J McKenna,4th,1 1/2 l,8,9-9v,58,True,94,1
Dundalk Racing Results | 6th December 2023 17:45,N/A,17:45,Standard,6f,Senado Square,C Horgan,7,A Slattery,3rd,1 1/2 l,3,9-5,52,True,94,1
Dundalk Racing Results | 6th December 2023 17:45,N/A,17:45,Standard,6f,James Henry (IRE),C D Hayes,0,L Breen,2nd,Head,4,9-7b,56,True,94,1
Dundalk Racing Results | 6th December 2023 17:45,N/A,17:45,Standard,6f,Theriverrunsdeep (IRE),L F Roche,0,S G O'Donnell,1st,N/A,7,9-1p,50,True,94,1
Dundalk Racing Results | 6th December 2023 17:45,N/A,17:45,Standard,6f,That's Mad,J A Heffernan,0,A McCann,14th,1 1/4 l,7,9-10tb,59,True,94,1
Dundalk Racing Results | 6th December 2023 17:45,N/A,17:45,Standard,6f,Nation Of Stars,O McSweeney,5,Daniel Murphy,13th,1 3/4 l,3,9-1t1,50,True,94,1
