track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Naas Racing Results | 14th December 2023 12:35,N/A,12:35,Soft,2m 3f 7y,Hawke Eye (IRE),B W Harvey,3,J C McConnell,16th,89 l,4,11-7,-,True,95,1
Naas Racing Results | 14th December 2023 12:35,N/A,12:35,Soft,2m 3f 7y,Catchyoulater (IRE),K E Buckley,3,E Cawley,15th,6 l,4,11-7,-,True,95,1
Naas Racing Results | 14th December 2023 12:35,N/A,12:35,Soft,2m 3f 7y,Not My Problem,T P Harney,7,R O'Sullivan,14th,3 3/4 l,4,11-7,-,True,95,1
Naas Racing Results | 14th December 2023 12:35,N/A,12:35,Soft,2m 3f 7y,Bossofthebus (IRE),P T Enright,0,Paul Tobin,13th,4 l,4,11-7,-,True,95,1
Naas Racing Results | 14th December 2023 12:35,N/A,12:35,Soft,2m 3f 7y,Rebel Cowgirl (IRE),J J Slevin,0,M A Cahill,12th,4 1/2 l,4,11-0,-,True,95,1
Naas Racing Results | 14th December 2023 12:35,N/A,12:35,Soft,2m 3f 7y,Elusive Prince (IRE),Rachael Blackmore,0,H De Bromhead,11th,Neck,4,11-7,-,True,95,1
Naas Racing Results | 14th December 2023 12:35,N/A,12:35,Soft,2m 3f 7y,Getaway Erin (IRE),Shane Fenelon,7,J J Hanlon,10th,7 l,4,11-0,-,True,95,1
Naas Racing Results | 14th December 2023 12:35,N/A,12:35,Soft,2m 3f 7y,Cut The Rope (FR),S F O'Keeffe,0,P Nolan,9th,3 3/4 l,4,11-7,-,True,95,1
Naas Racing Results | 14th December 2023 12:35,N/A,12:35,Soft,2m 3f 7y,Ashdale Flyer (IRE),C D Smithers,7,Mrs J Harrington,8th,1 l,4,11-0,-,True,95,1
Naas Racing Results | 14th December 2023 12:35,N/A,12:35,Soft,2m 3f 7y,D Art D Art (FR),D Meyler,0,T Cooper,7th,4 l,4,11-7,-,True,95,1
Naas Racing Results | 14th December 2023 12:35,N/A,12:35,Soft,2m 3f 7y,Glen Kiln (IRE),B Hayes,0,D H Kelly,6th,Neck,4,11-7,-,True,95,1
Naas Racing Results | 14th December 2023 12:35,N/A,12:35,Soft,2m 3f 7y,Grooveykindoflove (FR),D J O'Keeffe,0,H De Bromhead,5th,2 1/4 l,4,11-0,-,True,95,1
Naas Racing Results | 14th December 2023 12:35,N/A,12:35,Soft,2m 3f 7y,True Testimony (IRE),M J M O'Sullivan,0,P A Fahy,4th,3/4 l,4,11-0,-,True,95,1
