track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Naas Racing Results | 12th January 2024 15:12,N/A,15:12,Soft (Yielding In Places),2m 3f 24y,Papa Barns (IRE),P M O'Brien,0,J T R Dreaper,NR,N/A,7,10-0,81,True,98,5
Naas Racing Results | 12th January 2024 15:12,N/A,15:12,Soft (Yielding In Places),2m 3f 24y,Road To The Weir (IRE),D Moloney,4,J Neilan,UR,N/A,8,10-8,89,True,98,5
Naas Racing Results | 12th January 2024 15:12,N/A,15:12,Soft (Yielding In Places),2m 3f 24y,I Don't Get It (IRE),P Byrnes,0,N McCluskey,17th,2 1/4 l,10,12-0b,109,True,98,5
Naas Racing Results | 12th January 2024 15:12,N/A,15:12,Soft (Yielding In Places),2m 3f 24y,Zanjabeel,C Brassil,0,Stephanie Ocsko-Moore,16th,9 l,11,10-8tb,89,True,98,5
Naas Racing Results | 12th January 2024 15:12,N/A,15:12,Soft (Yielding In Places),2m 3f 24y,Sundrenched (IRE),S O'Callaghan,2,J J Lambe,15th,46 l,9,11-2t,97,True,98,5
Naas Racing Results | 12th January 2024 15:12,N/A,15:12,Soft (Yielding In Places),2m 3f 24y,Grivei (FR),E M O'Sullivan,4,E Griffin,14th,14 l,7,11-4t1,99,True,98,5
Naas Racing Results | 12th January 2024 15:12,N/A,15:12,Soft (Yielding In Places),2m 3f 24y,Tony's Pet (FR),Anna McGuinness,4,J J Lambe,13th,2 3/4 l,7,11-0tp1,95,True,98,5
Naas Racing Results | 12th January 2024 15:12,N/A,15:12,Soft (Yielding In Places),2m 3f 24y,Poppy Rose (IRE),P J O'Hanlon,0,S R B Crawford,12th,5 1/2 l,7,10-8,89,True,98,5
Naas Racing Results | 12th January 2024 15:12,N/A,15:12,Soft (Yielding In Places),2m 3f 24y,Ballycallan King (IRE),S Cleary-Farrell,0,Barry J Fitzgerald,11th,5 1/2 l,7,11-13h,108,True,98,5
Naas Racing Results | 12th January 2024 15:12,N/A,15:12,Soft (Yielding In Places),2m 3f 24y,Elusive Guy (IRE),P T Smithers,0,J P Fahey,10th,2 l,6,11-10,105,True,98,5
Naas Racing Results | 12th January 2024 15:12,N/A,15:12,Soft (Yielding In Places),2m 3f 24y,Crafty Gael (IRE),T P Harney,0,R O'Sullivan,9th,2 l,5,11-2p,97,True,98,5
Naas Racing Results | 12th January 2024 15:12,N/A,15:12,Soft (Yielding In Places),2m 3f 24y,Pana To Milan (IRE),D J Gilligan,0,M Winters,8th,1 1/4 l,6,10-6,87,True,98,5
Naas Racing Results | 12th January 2024 15:12,N/A,15:12,Soft (Yielding In Places),2m 3f 24y,Young Darleen (IRE),M P O'Connor,0,R P Cody,7th,3/4 l,8,11-3h1,98,True,98,5
Naas Racing Results | 12th January 2024 15:12,N/A,15:12,Soft (Yielding In Places),2m 3f 24y,Politicise (IRE),C P Millar,0,N Slevin,6th,8 l,8,11-7tp,102,True,98,5
Naas Racing Results | 12th January 2024 15:12,N/A,15:12,Soft (Yielding In Places),2m 3f 24y,Butty O Brien (IRE),L A McKenna,0,P Magee,5th,Short Head,8,11-2,97,True,98,5
Naas Racing Results | 12th January 2024 15:12,N/A,15:12,Soft (Yielding In Places),2m 3f 24y,Junot (IRE),M M McDonagh,0,M Winters,4th,1 1/2 l,5,10-6p,87,True,98,5
Naas Racing Results | 12th January 2024 15:12,N/A,15:12,Soft (Yielding In Places),2m 3f 24y,Pride Of Place (IRE),A P Kelly,2,M Hourigan,3rd,1 1/2 l,5,11-9,104,True,98,5
