track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Navan Racing Results | 20th January 2024 12:45,N/A,12:45,Soft To Heavy,2m,Just Three (IRE),J G Gilligan,7,P J Gilligan,5th,6 l,7,11-2h,-,True,99,1
Navan Racing Results | 20th January 2024 12:45,N/A,12:45,Soft To Heavy,2m,Release The Beast (IRE),S W Flanagan,0,P Nolan,4th,4 1/4 l,5,11-2,-,True,99,1
Navan Racing Results | 20th January 2024 12:45,N/A,12:45,Soft To Heavy,2m,Fiveonefive (IRE),D J Gilligan,5,C Collins,3rd,10 l,6,11-4,-,True,99,1
Navan Racing Results | 20th January 2024 12:45,N/A,12:45,Soft To Heavy,2m,Better Days Ahead (IRE),J W Kennedy,0,G Elliott,2nd,10 l,6,11-13t,-,True,99,1
Navan Racing Results | 20th January 2024 12:45,N/A,12:45,Soft To Heavy,2m,Asian Master (IRE),Mr T Costello,7,W P Mullins,1st,N/A,7,11-5,-,True,99,1
Navan Racing Results | 20th January 2024 12:45,N/A,12:45,Soft To Heavy,2m,Just Three (IRE),J G Gilligan,7,P J Gilligan,5th,6 l,7,11-2h,-,True,99,1
Navan Racing Results | 20th January 2024 12:45,N/A,12:45,Soft To Heavy,2m,Release The Beast (IRE),S W Flanagan,0,P Nolan,4th,4 1/4 l,5,11-2,-,True,99,1
Navan Racing Results | 20th January 2024 12:45,N/A,12:45,Soft To Heavy,2m,Fiveonefive (IRE),D J Gilligan,5,C Collins,3rd,10 l,6,11-4,-,True,99,1
Navan Racing Results | 20th January 2024 12:45,N/A,12:45,Soft To Heavy,2m,Better Days Ahead (IRE),J W Kennedy,0,G Elliott,2nd,10 l,6,11-13t,-,True,99,1
Navan Racing Results | 20th January 2024 12:45,N/A,12:45,Soft To Heavy,2m,Asian Master (IRE),Mr T Costello,7,W P Mullins,1st,N/A,7,11-5,-,True,99,1
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,Kings Hill (IRE),D J Gilligan,5,P J Gilligan,NR,N/A,5,11-12,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,University Of Life,M J Molloy,0,H Smyth,NR,N/A,6,11-12,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,Citizen Dan (IRE),S D Torrens,0,J C McConnell,PU,N/A,7,11-12,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,Chance Another One (IRE),A P Kelly,5,S M Duffy,PU,N/A,5,11-12,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,Fenway Park (IRE),K M Donoghue,0,G P Cromwell,PU,N/A,5,11-12,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,Crooked Tannie (IRE),S W Flanagan,0,C Collins,9th,19 l,5,11-12,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,Carsons Dreamboat (IRE),Sam Ewing,0,G Elliott,8th,50 l,5,11-5,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,The Story So Far (IRE),P Byrnes,5,C Byrnes,7th,17 l,6,11-12,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,Monsant (IRE),Sarah Kavanagh,7,Colm Murphy,6th,6 l,6,11-12,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,Killaney King (IRE),Rachael Blackmore,0,H De Bromhead,5th,Neck,6,11-12,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,Chosen Witness (IRE),D E Mullins,0,W P Mullins,4th,46 l,7,11-12t1,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,Park The Giant (IRE),B Hayes,0,P Fenton,3rd,9 l,6,11-12,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,Dr Eggman (FR),P Townend,0,W P Mullins,2nd,1/2 l,6,11-12,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,My Trump Card (IRE),J W Kennedy,0,G Elliott,1st,N/A,6,11-12,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,Kings Hill (IRE),D J Gilligan,5,P J Gilligan,NR,N/A,5,11-12,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,University Of Life,M J Molloy,0,H Smyth,NR,N/A,6,11-12,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,Citizen Dan (IRE),S D Torrens,0,J C McConnell,PU,N/A,7,11-12,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,Chance Another One (IRE),A P Kelly,5,S M Duffy,PU,N/A,5,11-12,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,Fenway Park (IRE),K M Donoghue,0,G P Cromwell,PU,N/A,5,11-12,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,Crooked Tannie (IRE),S W Flanagan,0,C Collins,9th,19 l,5,11-12,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,Carsons Dreamboat (IRE),Sam Ewing,0,G Elliott,8th,50 l,5,11-5,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,The Story So Far (IRE),P Byrnes,5,C Byrnes,7th,17 l,6,11-12,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,Monsant (IRE),Sarah Kavanagh,7,Colm Murphy,6th,6 l,6,11-12,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,Killaney King (IRE),Rachael Blackmore,0,H De Bromhead,5th,Neck,6,11-12,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,Chosen Witness (IRE),D E Mullins,0,W P Mullins,4th,46 l,7,11-12t1,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,Park The Giant (IRE),B Hayes,0,P Fenton,3rd,9 l,6,11-12,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,Dr Eggman (FR),P Townend,0,W P Mullins,2nd,1/2 l,6,11-12,-,True,99,2
Navan Racing Results | 20th January 2024 13:20,N/A,13:20,Soft To Heavy,2m 4f,My Trump Card (IRE),J W Kennedy,0,G Elliott,1st,N/A,6,11-12,-,True,99,2
Navan Racing Results | 20th January 2024 13:55,N/A,13:55,Soft To Heavy,2m 4f,Zoffanien (IRE),D King,3,D Hogan,NR,N/A,7,11-4,123,True,99,3
Navan Racing Results | 20th January 2024 13:55,N/A,13:55,Soft To Heavy,2m 4f,Rodaniche (IRE),Sam Ewing,0,G Elliott,PU,N/A,7,11-2,121,True,99,3
Navan Racing Results | 20th January 2024 13:55,N/A,13:55,Soft To Heavy,2m 4f,Catch The Beast (IRE),P T Enright,0,E Cawley,PU,N/A,6,11-3,122,True,99,3
Navan Racing Results | 20th January 2024 13:55,N/A,13:55,Soft To Heavy,2m 4f,Itswhatunitesus (IRE),K E Buckley,0,H Rogers,9th,36 l,7,11-7,126,True,99,3
Navan Racing Results | 20th January 2024 13:55,N/A,13:55,Soft To Heavy,2m 4f,Drumbear,B W Harvey,0,J C McConnell,8th,21 l,8,11-6ht,125,True,99,3
Navan Racing Results | 20th January 2024 13:55,N/A,13:55,Soft To Heavy,2m 4f,Capilano Bridge (IRE),C G O'Dwyer,5,C O'Dwyer,7th,8 l,9,11-10,129,True,99,3
Navan Racing Results | 20th January 2024 13:55,N/A,13:55,Soft To Heavy,2m 4f,Lord Erskine (IRE),J J Slevin,0,H Rogers,6th,2 1/2 l,11,11-2b,121,True,99,3
Navan Racing Results | 20th January 2024 13:55,N/A,13:55,Soft To Heavy,2m 4f,Make Good (IRE),A P Kelly,5,S Crawley,5th,7 l,9,11-10tp,129,True,99,3
Navan Racing Results | 20th January 2024 13:55,N/A,13:55,Soft To Heavy,2m 4f,Talk In The Park (IRE),D E Mullins,0,Ms M Mullins,4th,22 l,6,10-8,113,True,99,3
Navan Racing Results | 20th January 2024 13:55,N/A,13:55,Soft To Heavy,2m 4f,Fortunedefortunata (IRE),J W Kennedy,0,G Elliott,3rd,4 3/4 l,7,11-10,129,True,99,3
Navan Racing Results | 20th January 2024 13:55,N/A,13:55,Soft To Heavy,2m 4f,Kilbree Warrior (IRE),D J O'Keeffe,0,O McKiernan,2nd,3/4 l,9,10-11tb,116,True,99,3
Navan Racing Results | 20th January 2024 13:55,N/A,13:55,Soft To Heavy,2m 4f,Harvard Guy,M P Walsh,0,E & P Harty,1st,N/A,6,11-12,131,True,99,3
Navan Racing Results | 20th January 2024 13:55,N/A,13:55,Soft To Heavy,2m 4f,Zoffanien (IRE),D King,3,D Hogan,NR,N/A,7,11-4,123,True,99,3
Navan Racing Results | 20th January 2024 13:55,N/A,13:55,Soft To Heavy,2m 4f,Rodaniche (IRE),Sam Ewing,0,G Elliott,PU,N/A,7,11-2,121,True,99,3
Navan Racing Results | 20th January 2024 13:55,N/A,13:55,Soft To Heavy,2m 4f,Catch The Beast (IRE),P T Enright,0,E Cawley,PU,N/A,6,11-3,122,True,99,3
Navan Racing Results | 20th January 2024 13:55,N/A,13:55,Soft To Heavy,2m 4f,Itswhatunitesus (IRE),K E Buckley,0,H Rogers,9th,36 l,7,11-7,126,True,99,3
Navan Racing Results | 20th January 2024 13:55,N/A,13:55,Soft To Heavy,2m 4f,Drumbear,B W Harvey,0,J C McConnell,8th,21 l,8,11-6ht,125,True,99,3
Navan Racing Results | 20th January 2024 13:55,N/A,13:55,Soft To Heavy,2m 4f,Capilano Bridge (IRE),C G O'Dwyer,5,C O'Dwyer,7th,8 l,9,11-10,129,True,99,3
Navan Racing Results | 20th January 2024 13:55,N/A,13:55,Soft To Heavy,2m 4f,Lord Erskine (IRE),J J Slevin,0,H Rogers,6th,2 1/2 l,11,11-2b,121,True,99,3
Navan Racing Results | 20th January 2024 13:55,N/A,13:55,Soft To Heavy,2m 4f,Make Good (IRE),A P Kelly,5,S Crawley,5th,7 l,9,11-10tp,129,True,99,3
Navan Racing Results | 20th January 2024 13:55,N/A,13:55,Soft To Heavy,2m 4f,Talk In The Park (IRE),D E Mullins,0,Ms M Mullins,4th,22 l,6,10-8,113,True,99,3
Navan Racing Results | 20th January 2024 13:55,N/A,13:55,Soft To Heavy,2m 4f,Fortunedefortunata (IRE),J W Kennedy,0,G Elliott,3rd,4 3/4 l,7,11-10,129,True,99,3
Navan Racing Results | 20th January 2024 13:55,N/A,13:55,Soft To Heavy,2m 4f,Kilbree Warrior (IRE),D J O'Keeffe,0,O McKiernan,2nd,3/4 l,9,10-11tb,116,True,99,3
Navan Racing Results | 20th January 2024 13:55,N/A,13:55,Soft To Heavy,2m 4f,Harvard Guy,M P Walsh,0,E & P Harty,1st,N/A,6,11-12,131,True,99,3
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Ebenezer Scrooge (IRE),D J Gilligan,5,G Elliott,NR,N/A,7,11-13t,108,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Penny Jar (IRE),P M O'Brien,7,P Downey,NR,N/A,8,12-0tp,109,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Welsh Saint (FR),A P Heskin,0,C A McBratney,NR,N/A,10,11-10p,105,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Golden Nugget (IRE),J W Kennedy,0,G Elliott,NR,N/A,5,11-0,95,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Zeeband (IRE),J G Gilligan,7,P J Gilligan,NR,N/A,7,11-5t,100,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Chosen Diamond (IRE),S F O'Keeffe,0,E Cawley,F,N/A,8,10-11p,92,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Uppertown Mya (IRE),S D Torrens,0,P J Rothwell,13th,23 l,9,10-0tp,81,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Benkei (IRE),Rachael Blackmore,0,H Rogers,12th,23 l,14,11-2p,97,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Elle Dorado Rock (IRE),J J Slevin,0,A J Martin,11th,3 l,6,10-5t,86,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Yulong Voice,S Fitzgerald,0,S Nolan,10th,2 1/4 l,7,11-6t,101,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Final Endeavour (IRE),C G O'Dwyer,5,H Rogers,9th,15 l,8,10-4t,85,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Run For Harry (IRE),D Meyler,0,Mrs G Callaghan,8th,5 l,6,12-0,109,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Quite Incredible (IRE),Niall Moore,7,D A McLoughlin,7th,19 l,8,11-13,108,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Nazine (IRE),M M McDonagh,3,M J McDonagh,6th,3 1/2 l,7,11-0b,95,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Lucky Two (IRE),M P O'Connor,3,T Gibney,5th,1/2 l,8,10-6,87,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Mighty Jeremy (IRE),D J O'Keeffe,0,Liam G O'brien,4th,2 1/2 l,10,11-10ht,105,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Clonbury Bridge (IRE),K M Donoghue,0,J P Dempsey,3rd,9 l,8,11-6tb,101,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,All For Rachel (IRE),P T Enright,0,O McKiernan,2nd,9 l,7,11-11,106,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Butty O Brien (IRE),E Walsh,0,P Magee,1st,N/A,8,11-2,97,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Ebenezer Scrooge (IRE),D J Gilligan,5,G Elliott,NR,N/A,7,11-13t,108,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Penny Jar (IRE),P M O'Brien,7,P Downey,NR,N/A,8,12-0tp,109,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Welsh Saint (FR),A P Heskin,0,C A McBratney,NR,N/A,10,11-10p,105,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Golden Nugget (IRE),J W Kennedy,0,G Elliott,NR,N/A,5,11-0,95,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Zeeband (IRE),J G Gilligan,7,P J Gilligan,NR,N/A,7,11-5t,100,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Chosen Diamond (IRE),S F O'Keeffe,0,E Cawley,F,N/A,8,10-11p,92,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Uppertown Mya (IRE),S D Torrens,0,P J Rothwell,13th,23 l,9,10-0tp,81,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Benkei (IRE),Rachael Blackmore,0,H Rogers,12th,23 l,14,11-2p,97,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Elle Dorado Rock (IRE),J J Slevin,0,A J Martin,11th,3 l,6,10-5t,86,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Yulong Voice,S Fitzgerald,0,S Nolan,10th,2 1/4 l,7,11-6t,101,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Final Endeavour (IRE),C G O'Dwyer,5,H Rogers,9th,15 l,8,10-4t,85,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Run For Harry (IRE),D Meyler,0,Mrs G Callaghan,8th,5 l,6,12-0,109,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Quite Incredible (IRE),Niall Moore,7,D A McLoughlin,7th,19 l,8,11-13,108,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Nazine (IRE),M M McDonagh,3,M J McDonagh,6th,3 1/2 l,7,11-0b,95,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Lucky Two (IRE),M P O'Connor,3,T Gibney,5th,1/2 l,8,10-6,87,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Mighty Jeremy (IRE),D J O'Keeffe,0,Liam G O'brien,4th,2 1/2 l,10,11-10ht,105,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,Clonbury Bridge (IRE),K M Donoghue,0,J P Dempsey,3rd,9 l,8,11-6tb,101,True,99,4
Navan Racing Results | 20th January 2024 14:30,N/A,14:30,Soft To Heavy,2m 4f,All For Rachel (IRE),P T Enright,0,O McKiernan,2nd,9 l,7,11-11,106,True,99,4
