track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 14th February 2024 16:10,N/A,16:10,Standard,1m 4f,Barrys Rock (IRE),R P Cleary,0,A Mullins,NR,N/A,9,9-3v,52,True,102,1
Dundalk Racing Results | 14th February 2024 16:10,N/A,16:10,Standard,1m 4f,Sioux Grit (IRE),J A Powell,3,R P Burns,14th,2 3/4 l,6,8-12,47,True,102,1
Dundalk Racing Results | 14th February 2024 16:10,N/A,16:10,Standard,1m 4f,Mille Miglia,C D Maxwell,0,C A McBratney,13th,1/2 l,6,9-3b1,52,True,102,1
Dundalk Racing Results | 14th February 2024 16:10,N/A,16:10,Standard,1m 4f,Highland Train (IRE),O McSweeney,5,L Comer,12th,1 l,4,9-5,56,True,102,1
Dundalk Racing Results | 14th February 2024 16:10,N/A,16:10,Standard,1m 4f,Angel In The Sky (IRE),R C Colgan,0,L Comer,11th,2 1/4 l,9,9-1tp,50,True,102,1
Dundalk Racing Results | 14th February 2024 16:10,N/A,16:10,Standard,1m 4f,Wojood,J M Sheridan,0,D Hogan,10th,Head,8,8-12tp,47,True,102,1
Dundalk Racing Results | 14th February 2024 16:10,N/A,16:10,Standard,1m 4f,Dr Patrick (IRE),N M Crosse,0,L Comer,9th,1 1/4 l,7,8-12p,47,True,102,1
Dundalk Racing Results | 14th February 2024 16:10,N/A,16:10,Standard,1m 4f,Sunny Dude (IRE),D E Sheehy,3,D Buckley,8th,1/2 l,4,8-10,47,True,102,1
Dundalk Racing Results | 14th February 2024 16:10,N/A,16:10,Standard,1m 4f,Curious Bride (IRE),J J G Ryan,5,E O'Connell,7th,1/2 l,7,10-0t,63,True,102,1
Dundalk Racing Results | 14th February 2024 16:10,N/A,16:10,Standard,1m 4f,Nusra (IRE),N G McCullagh,0,G Ahern,6th,1 1/4 l,7,9-7p,56,True,102,1
Dundalk Racing Results | 14th February 2024 16:10,N/A,16:10,Standard,1m 4f,Alphonse Le Grande (IRE),J A Heffernan,0,A J Martin,5th,1/2 l,5,10-1t,64,True,102,1
Dundalk Racing Results | 14th February 2024 16:10,N/A,16:10,Standard,1m 4f,Darkened (IRE),K J Leonard,0,N C Kelly,4th,Head,8,9-13tb,62,True,102,1
Dundalk Racing Results | 14th February 2024 16:10,N/A,16:10,Standard,1m 4f,Anjah (IRE),D P McDonogh,0,H D McGuigan,3rd,3/4 l,7,8-12tv,47,True,102,1
