track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Doctor Glide (FR),K M Donoghue,0,Tom Dreaper,NR,N/A,6,11-4t1,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Sharetheknowledge (IRE),J C Gainford,0,Paul Tobin,NR,N/A,5,11-4,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Storm Ryder (IRE),C D Smithers,7,Ms H P Markham,F,N/A,6,11-4h,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Thebeautifulgame,J B Foley,0,C Collins,15th,27 l,5,11-5,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Matagorda (IRE),R A Doyle,0,W J Burke,14th,21 l,6,11-4,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Arthur's Victory (IRE),G Brouder,5,J Nash,13th,1 3/4 l,6,11-5,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Manhattan Brook (IRE),E Walsh,0,A Murray,12th,7 l,6,10-11,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Mywayorthehighway (IRE),P J O'Hanlon,3,P J Rothwell,11th,2 3/4 l,5,11-4t1,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Kilbrin Rocco (IRE),A P Heskin,0,M Winters,10th,4 l,5,11-4,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Our Chezney (IRE),L A McKenna,5,Ms H P Markham,9th,Neck,8,11-4h,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Hollow Rodger (IRE),S W Flanagan,0,D M O'Brien,8th,2 l,6,10-11,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,The Striker Dylan (IRE),R Deegan,0,L P Cusack,7th,3 l,6,11-4,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Chance Another One (IRE),S D Torrens,0,S M Duffy,6th,16 l,5,11-4,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Ballycallan King (IRE),S Cleary-Farrell,7,Barry J Fitzgerald,5th,13 l,7,11-4b1,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Touch Me Not (IRE),J W Kennedy,0,G Elliott,4th,1/2 l,5,11-4,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Brave Fortune (IRE),J J Doyle,0,P M J Doyle,3rd,3/4 l,5,11-4,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Answering (IRE),Mr D Doyle,7,T Doyle,2nd,2 l,9,11-4,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Chosen Witness (IRE),S F O'Keeffe,0,W P Mullins,1st,N/A,7,11-12t,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Doctor Glide (FR),K M Donoghue,0,Tom Dreaper,NR,N/A,6,11-4t1,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Sharetheknowledge (IRE),J C Gainford,0,Paul Tobin,NR,N/A,5,11-4,-,True,104,1
