track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Grann's Boy (IRE),Non Runner,5,H Rogers,NR,N/A,4,11-2,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Clonshire River (IRE),J J Slevin,0,E & P Harty,NR,N/A,7,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Evies Court (IRE),J Coen,5,N C Kelly,UR,N/A,4,10-1,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,On Your Way (IRE),P Byrnes,5,C Byrnes,UR,N/A,6,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Glentaisie (IRE),R Deegan,0,C A McBratney,PU,N/A,6,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,En Or (FR),P J Carberry,0,A J Martin,PU,N/A,6,11-12t,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Raynbo (IRE),J J Slevin,0,S R B Crawford,16th,71 l,5,10-11,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Helicon (IRE),Mr J P Sutton,7,D A McLoughlin,15th,Nose,6,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Shahbaz (IRE),S D Torrens,0,G P Cromwell,14th,35 l,4,11-2,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Kalsman (IRE),Thomas Reilly,7,L Lennon,13th,2 3/4 l,6,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Fairytale New York (IRE),C D Smithers,7,A J Martin,12th,3 3/4 l,5,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Deep Sigh (FR),B W Harvey,0,J C McConnell,11th,4 1/2 l,6,11-5t,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Georgia Celena (IRE),D A Kidd,7,J C McConnell,10th,Head,6,10-11,-,True,105,1
