track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Limerick Racing Results | 24th March 2024 16:40,N/A,16:40,Heavy,3m 120y,Plain Or Battered (IRE),S D Torrens,0,P J Rothwell,F,N/A,7,10-0,88,True,106,1
Limerick Racing Results | 24th March 2024 16:40,N/A,16:40,Heavy,3m 120y,Folly Master (IRE),K M Donoghue,0,Tom Dreaper,F,N/A,6,12-2,118,True,106,1
Limerick Racing Results | 24th March 2024 16:40,N/A,16:40,Heavy,3m 120y,Starlight Cato (IRE),D King,0,D Howard,6th,25 l,7,10-0,88,True,106,1
Limerick Racing Results | 24th March 2024 16:40,N/A,16:40,Heavy,3m 120y,Baldur's Gate (IRE),Rachael Blackmore,0,Miss D O'Shea,5th,6 l,9,11-9,111,True,106,1
Limerick Racing Results | 24th March 2024 16:40,N/A,16:40,Heavy,3m 120y,Soldier Of Honour (IRE),G B Noonan,5,E McCarthy,4th,1/2 l,7,10-7p,95,True,106,1
Limerick Racing Results | 24th March 2024 16:40,N/A,16:40,Heavy,3m 120y,Made In The Woods (IRE),R P Geoghegan,7,N Lee,3rd,15 l,7,10-7h,95,True,106,1
Limerick Racing Results | 24th March 2024 16:40,N/A,16:40,Heavy,3m 120y,Atacanter (IRE),D J O'Keeffe,0,R O'Sullivan,2nd,3/4 l,7,11-5p,107,True,106,1
Limerick Racing Results | 24th March 2024 16:40,N/A,16:40,Heavy,3m 120y,He Fitz In (IRE),D E Mullins,0,D E Fitzgerald,1st,N/A,8,10-6v,94,True,106,1
Limerick Racing Results | 24th March 2024 16:40,N/A,16:40,Heavy,3m 120y,Plain Or Battered (IRE),S D Torrens,0,P J Rothwell,F,N/A,7,10-0,88,True,106,1
Limerick Racing Results | 24th March 2024 16:40,N/A,16:40,Heavy,3m 120y,Folly Master (IRE),K M Donoghue,0,Tom Dreaper,F,N/A,6,12-2,118,True,106,1
Limerick Racing Results | 24th March 2024 16:40,N/A,16:40,Heavy,3m 120y,Starlight Cato (IRE),D King,0,D Howard,6th,25 l,7,10-0,88,True,106,1
Limerick Racing Results | 24th March 2024 16:40,N/A,16:40,Heavy,3m 120y,Baldur's Gate (IRE),Rachael Blackmore,0,Miss D O'Shea,5th,6 l,9,11-9,111,True,106,1
Limerick Racing Results | 24th March 2024 16:40,N/A,16:40,Heavy,3m 120y,Soldier Of Honour (IRE),G B Noonan,5,E McCarthy,4th,1/2 l,7,10-7p,95,True,106,1
Limerick Racing Results | 24th March 2024 16:40,N/A,16:40,Heavy,3m 120y,Made In The Woods (IRE),R P Geoghegan,7,N Lee,3rd,15 l,7,10-7h,95,True,106,1
Limerick Racing Results | 24th March 2024 16:40,N/A,16:40,Heavy,3m 120y,Atacanter (IRE),D J O'Keeffe,0,R O'Sullivan,2nd,3/4 l,7,11-5p,107,True,106,1
Limerick Racing Results | 24th March 2024 16:40,N/A,16:40,Heavy,3m 120y,He Fitz In (IRE),D E Mullins,0,D E Fitzgerald,1st,N/A,8,10-6v,94,True,106,1
Limerick Racing Results | 24th March 2024 17:15,N/A,17:15,Heavy ss,2m 50y,Miss Lia (IRE),Mr H C Swan,0,P J Rothwell,NR,N/A,4,10-9,-,True,106,2
Limerick Racing Results | 24th March 2024 17:15,N/A,17:15,Heavy ss,2m 50y,Let Him B (IRE),Mr A D Bustin,0,C Byrnes,10th,2 3/4 l,4,11-2,-,True,106,2
Limerick Racing Results | 24th March 2024 17:15,N/A,17:15,Heavy ss,2m 50y,Kilbuny Supersonic (IRE),Mr T Hamilton,0,Richard J O'Hara,9th,3/4 l,4,10-9,-,True,106,2
Limerick Racing Results | 24th March 2024 17:15,N/A,17:15,Heavy ss,2m 50y,Baron Noir (IRE),Mr J G Murphy,0,D G Murphy,8th,5 l,4,11-2,-,True,106,2
Limerick Racing Results | 24th March 2024 17:15,N/A,17:15,Heavy ss,2m 50y,King Casey (IRE),Mr A P Ryan,0,E Doyle,7th,5 1/2 l,4,11-2,-,True,106,2
Limerick Racing Results | 24th March 2024 17:15,N/A,17:15,Heavy ss,2m 50y,That's All Folks (IRE),Mr F Maguire,0,J J Hanlon,6th,Neck,4,10-9,-,True,106,2
Limerick Racing Results | 24th March 2024 17:15,N/A,17:15,Heavy ss,2m 50y,Lady Of The Locke (IRE),Mr R W Barron,0,C Byrnes,5th,17 l,4,10-13,-,True,106,2
Limerick Racing Results | 24th March 2024 17:15,N/A,17:15,Heavy ss,2m 50y,Balko D'ange (FR),Mr E P O'Brien,0,P Fenton,4th,1/2 l,4,11-2,-,True,106,2
Limerick Racing Results | 24th March 2024 17:15,N/A,17:15,Heavy ss,2m 50y,Saint Le Fort (FR),Niall Moore,0,P Fenton,3rd,2 1/4 l,4,11-2,-,True,106,2
Limerick Racing Results | 24th March 2024 17:15,N/A,17:15,Heavy ss,2m 50y,Putapoundinthejar (IRE),Mr D O'Connor,0,A J Martin,2nd,7 1/2 l,4,11-2,-,True,106,2
Limerick Racing Results | 24th March 2024 17:15,N/A,17:15,Heavy ss,2m 50y,Shuttle Diplomacy (FR),Mr P W Mullins,0,T Cooper,1st,N/A,4,11-6,-,True,106,2
Limerick Racing Results | 24th March 2024 17:15,N/A,17:15,Heavy ss,2m 50y,Miss Lia (IRE),Mr H C Swan,0,P J Rothwell,NR,N/A,4,10-9,-,True,106,2
Limerick Racing Results | 24th March 2024 17:15,N/A,17:15,Heavy ss,2m 50y,Let Him B (IRE),Mr A D Bustin,0,C Byrnes,10th,2 3/4 l,4,11-2,-,True,106,2
Limerick Racing Results | 24th March 2024 17:15,N/A,17:15,Heavy ss,2m 50y,Kilbuny Supersonic (IRE),Mr T Hamilton,0,Richard J O'Hara,9th,3/4 l,4,10-9,-,True,106,2
Limerick Racing Results | 24th March 2024 17:15,N/A,17:15,Heavy ss,2m 50y,Baron Noir (IRE),Mr J G Murphy,0,D G Murphy,8th,5 l,4,11-2,-,True,106,2
Limerick Racing Results | 24th March 2024 17:15,N/A,17:15,Heavy ss,2m 50y,King Casey (IRE),Mr A P Ryan,0,E Doyle,7th,5 1/2 l,4,11-2,-,True,106,2
Limerick Racing Results | 24th March 2024 17:15,N/A,17:15,Heavy ss,2m 50y,That's All Folks (IRE),Mr F Maguire,0,J J Hanlon,6th,Neck,4,10-9,-,True,106,2
Limerick Racing Results | 24th March 2024 17:15,N/A,17:15,Heavy ss,2m 50y,Lady Of The Locke (IRE),Mr R W Barron,0,C Byrnes,5th,17 l,4,10-13,-,True,106,2
Limerick Racing Results | 24th March 2024 17:15,N/A,17:15,Heavy ss,2m 50y,Balko D'ange (FR),Mr E P O'Brien,0,P Fenton,4th,1/2 l,4,11-2,-,True,106,2
Limerick Racing Results | 24th March 2024 17:15,N/A,17:15,Heavy ss,2m 50y,Saint Le Fort (FR),Niall Moore,0,P Fenton,3rd,2 1/4 l,4,11-2,-,True,106,2
Limerick Racing Results | 24th March 2024 17:15,N/A,17:15,Heavy ss,2m 50y,Putapoundinthejar (IRE),Mr D O'Connor,0,A J Martin,2nd,7 1/2 l,4,11-2,-,True,106,2
Limerick Racing Results | 24th March 2024 17:15,N/A,17:15,Heavy ss,2m 50y,Shuttle Diplomacy (FR),Mr P W Mullins,0,T Cooper,1st,N/A,4,11-6,-,True,106,2
Dundalk Racing Results | 26th March 2024 17:00,N/A,17:00,Standard,7f,Tipsy Scholars (IRE),J J G Ryan,0,G M Lyons,NR,N/A,4,9-9,-,True,106,3
Dundalk Racing Results | 26th March 2024 17:00,N/A,17:00,Standard,7f,Minella Butterfly,P A Harnett,2,J Nallen,NR,N/A,4,9-13,-,True,106,3
Dundalk Racing Results | 26th March 2024 17:00,N/A,17:00,Standard,7f,Miqdaad (IRE),D King,0,D Hogan,NR,N/A,4,9-11p,-,True,106,3
Dundalk Racing Results | 26th March 2024 17:00,N/A,17:00,Standard,7f,Attrazione (IRE),D S O'Sullivan,7,D W O'Sullivan,7th,29 l,4,9-10t,-,True,106,3
Dundalk Racing Results | 26th March 2024 17:00,N/A,17:00,Standard,7f,Bright Start (USA),R Whearty,0,D Hogan,6th,1 3/4 l,7,9-6p,-,True,106,3
Dundalk Racing Results | 26th March 2024 17:00,N/A,17:00,Standard,7f,Cherry Pink (IRE),Adam Caffrey,0,M Halford & T Collins,5th,Neck,4,9-8b,-,True,106,3
Dundalk Racing Results | 26th March 2024 17:00,N/A,17:00,Standard,7f,Gobi Star (IRE),M W Hassett,4,Sean Davis,4th,3/4 l,6,9-12v,-,True,106,3
Dundalk Racing Results | 26th March 2024 17:00,N/A,17:00,Standard,7f,Tai Sing Yeh (IRE),S D Bowen,2,D Hogan,3rd,1 3/4 l,10,9-6tb,-,True,106,3
Dundalk Racing Results | 26th March 2024 17:00,N/A,17:00,Standard,7f,Roderick,J Cleary,4,D Hogan,2nd,Head,8,9-6tp,-,True,106,3
Dundalk Racing Results | 26th March 2024 17:00,N/A,17:00,Standard,7f,Notforalongtime,O McSweeney,0,Laura Hourigan,1st,N/A,7,9-10p,-,True,106,3
Dundalk Racing Results | 26th March 2024 17:00,N/A,17:00,Standard,7f,Tipsy Scholars (IRE),J J G Ryan,0,G M Lyons,NR,N/A,4,9-9,-,True,106,3
Dundalk Racing Results | 26th March 2024 17:00,N/A,17:00,Standard,7f,Minella Butterfly,P A Harnett,2,J Nallen,NR,N/A,4,9-13,-,True,106,3
Dundalk Racing Results | 26th March 2024 17:00,N/A,17:00,Standard,7f,Miqdaad (IRE),D King,0,D Hogan,NR,N/A,4,9-11p,-,True,106,3
Dundalk Racing Results | 26th March 2024 17:00,N/A,17:00,Standard,7f,Attrazione (IRE),D S O'Sullivan,7,D W O'Sullivan,7th,29 l,4,9-10t,-,True,106,3
Dundalk Racing Results | 26th March 2024 17:00,N/A,17:00,Standard,7f,Bright Start (USA),R Whearty,0,D Hogan,6th,1 3/4 l,7,9-6p,-,True,106,3
Dundalk Racing Results | 26th March 2024 17:00,N/A,17:00,Standard,7f,Cherry Pink (IRE),Adam Caffrey,0,M Halford & T Collins,5th,Neck,4,9-8b,-,True,106,3
Dundalk Racing Results | 26th March 2024 17:00,N/A,17:00,Standard,7f,Gobi Star (IRE),M W Hassett,4,Sean Davis,4th,3/4 l,6,9-12v,-,True,106,3
Dundalk Racing Results | 26th March 2024 17:00,N/A,17:00,Standard,7f,Tai Sing Yeh (IRE),S D Bowen,2,D Hogan,3rd,1 3/4 l,10,9-6tb,-,True,106,3
Dundalk Racing Results | 26th March 2024 17:00,N/A,17:00,Standard,7f,Roderick,J Cleary,4,D Hogan,2nd,Head,8,9-6tp,-,True,106,3
Dundalk Racing Results | 26th March 2024 17:00,N/A,17:00,Standard,7f,Notforalongtime,O McSweeney,0,Laura Hourigan,1st,N/A,7,9-10p,-,True,106,3
Dundalk Racing Results | 26th March 2024 17:30,N/A,17:30,Standard,2m,Tom The Plasterer (IRE),C D Hayes,0,L Comer,14th,1 l,7,9-6p1,52,True,106,4
Dundalk Racing Results | 26th March 2024 17:30,N/A,17:30,Standard,2m,Sand Castle (IRE),J A Heffernan,0,A Murray,13th,4 3/4 l,8,9-10tp,56,True,106,4
Dundalk Racing Results | 26th March 2024 17:30,N/A,17:30,Standard,2m,Enquire Within (IRE),W Joyce,5,F G Hand,12th,Neck,8,9-7t,53,True,106,4
Dundalk Racing Results | 26th March 2024 17:30,N/A,17:30,Standard,2m,Tenth Amendment (IRE),G M Ryan,0,K H Clarke,11th,1 l,10,9-2t,48,True,106,4
Dundalk Racing Results | 26th March 2024 17:30,N/A,17:30,Standard,2m,Lucky Question,Siobhan Rutledge,3,S Lavery,10th,1 l,4,8-12t1,47,True,106,4
Dundalk Racing Results | 26th March 2024 17:30,N/A,17:30,Standard,2m,Mosaaheb,R P Cleary,0,J J Hanlon,9th,2 1/2 l,6,9-6p,52,True,106,4
Dundalk Racing Results | 26th March 2024 17:30,N/A,17:30,Standard,2m,Gains Of War (IRE),N M Crosse,0,L Comer,8th,7 l,5,9-4p,50,True,106,4
Dundalk Racing Results | 26th March 2024 17:30,N/A,17:30,Standard,2m,Mille Miglia,B M Coen,0,C A McBratney,7th,3/4 l,6,9-2p,48,True,106,4
Dundalk Racing Results | 26th March 2024 17:30,N/A,17:30,Standard,2m,Clever Currency (IRE),D McMonagle,0,P W Flynn,6th,Head,7,9-3tp,49,True,106,4
