track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Fairyhouse Racing Results | 1st April 2024 14:40,N/A,14:40,Soft To Heavy,2m,Eastern Legend (IRE),J J Slevin,0,J S Bolger,8th,29 l,4,11-0tp,-,True,107,1
Fairyhouse Racing Results | 1st April 2024 14:40,N/A,14:40,Soft To Heavy,2m,Karia Des Blaises (FR),S F O'Keeffe,0,W P Mullins,7th,3 3/4 l,4,10-7,-,True,107,1
Fairyhouse Racing Results | 1st April 2024 14:40,N/A,14:40,Soft To Heavy,2m,Ndaawi,J W Kennedy,0,G Elliott,6th,Neck,4,11-0,-,True,107,1
Fairyhouse Racing Results | 1st April 2024 14:40,N/A,14:40,Soft To Heavy,2m,Batman Girac (FR),D E Mullins,0,W P Mullins,5th,1/2 l,4,11-0ht,-,True,107,1
Fairyhouse Racing Results | 1st April 2024 14:40,N/A,14:40,Soft To Heavy,2m,Givemefive (IRE),P V O'Brien,0,Harry Derham,4th,10 l,4,11-0,-,True,107,1
Fairyhouse Racing Results | 1st April 2024 14:40,N/A,14:40,Soft To Heavy,2m,Miss Manzor,P Townend,0,W P Mullins,3rd,3/4 l,4,10-7,-,True,107,1
Fairyhouse Racing Results | 1st April 2024 14:40,N/A,14:40,Soft To Heavy,2m,Karl Des Tourelles (FR),B Hayes,0,P Fenton,2nd,3 3/4 l,4,11-0,-,True,107,1
Fairyhouse Racing Results | 1st April 2024 14:40,N/A,14:40,Soft To Heavy,2m,Bottler'secret (IRE),K M Donoghue,0,G P Cromwell,1st,N/A,4,11-3p1,-,True,107,1
Fairyhouse Racing Results | 1st April 2024 14:40,N/A,14:40,Soft To Heavy,2m,Eastern Legend (IRE),J J Slevin,0,J S Bolger,8th,29 l,4,11-0tp,-,True,107,1
Fairyhouse Racing Results | 1st April 2024 14:40,N/A,14:40,Soft To Heavy,2m,Karia Des Blaises (FR),S F O'Keeffe,0,W P Mullins,7th,3 3/4 l,4,10-7,-,True,107,1
Fairyhouse Racing Results | 1st April 2024 14:40,N/A,14:40,Soft To Heavy,2m,Ndaawi,J W Kennedy,0,G Elliott,6th,Neck,4,11-0,-,True,107,1
Fairyhouse Racing Results | 1st April 2024 14:40,N/A,14:40,Soft To Heavy,2m,Batman Girac (FR),D E Mullins,0,W P Mullins,5th,1/2 l,4,11-0ht,-,True,107,1
Fairyhouse Racing Results | 1st April 2024 14:40,N/A,14:40,Soft To Heavy,2m,Givemefive (IRE),P V O'Brien,0,Harry Derham,4th,10 l,4,11-0,-,True,107,1
Fairyhouse Racing Results | 1st April 2024 14:40,N/A,14:40,Soft To Heavy,2m,Miss Manzor,P Townend,0,W P Mullins,3rd,3/4 l,4,10-7,-,True,107,1
Fairyhouse Racing Results | 1st April 2024 14:40,N/A,14:40,Soft To Heavy,2m,Karl Des Tourelles (FR),B Hayes,0,P Fenton,2nd,3 3/4 l,4,11-0,-,True,107,1
