track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Flippity Flop (IRE),C D Hayes,0,L Comer,13th,38 l,3,8-7,51,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Galician Girl (IRE),Adam Caffrey,5,A McGuinness,12th,7 l,3,9-13,71,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Moutarde (IRE),G F Carroll,0,G P Cromwell,11th,1 1/4 l,3,8-13,57,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Zenato (IRE),W J Lee,0,H De Bromhead,10th,1 1/4 l,3,9-12,70,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Nedita (IRE),L T McAteer,0,D Marnane,9th,Neck,3,9-12,70,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,So Diligent,D E Sheehy,0,T G McCourt,8th,Neck,3,8-7,51,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Waystar (IRE),Siobhan Rutledge,3,J C McConnell,7th,1/2 l,3,8-8,52,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Kiki Roberts (IRE),N J Ryan,7,N Meade,6th,Short Head,3,10-0,72,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Alto Sax (IRE),C T Keane,0,G M Lyons,5th,3/4 l,3,9-9,67,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Liberty Looming (IRE),R P Cleary,0,J S Bolger,4th,1 1/4 l,3,9-2,60,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Cloud Seeker,A J Slattery,0,A Slattery,3rd,4 l,3,9-2,60,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Gregorina (IRE),R P Whelan,0,A McGuinness,2nd,4 3/4 l,3,8-11v,55,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Gesture (IRE),S Foley,0,Eoghan O'Neill,1st,N/A,3,10-4,76,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Flippity Flop (IRE),C D Hayes,0,L Comer,13th,38 l,3,8-7,51,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Galician Girl (IRE),Adam Caffrey,5,A McGuinness,12th,7 l,3,9-13,71,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Moutarde (IRE),G F Carroll,0,G P Cromwell,11th,1 1/4 l,3,8-13,57,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Zenato (IRE),W J Lee,0,H De Bromhead,10th,1 1/4 l,3,9-12,70,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Nedita (IRE),L T McAteer,0,D Marnane,9th,Neck,3,9-12,70,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,So Diligent,D E Sheehy,0,T G McCourt,8th,Neck,3,8-7,51,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Waystar (IRE),Siobhan Rutledge,3,J C McConnell,7th,1/2 l,3,8-8,52,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Kiki Roberts (IRE),N J Ryan,7,N Meade,6th,Short Head,3,10-0,72,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Alto Sax (IRE),C T Keane,0,G M Lyons,5th,3/4 l,3,9-9,67,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Liberty Looming (IRE),R P Cleary,0,J S Bolger,4th,1 1/4 l,3,9-2,60,True,108,1
