track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Curragh Racing Results | 20th April 2024 15:55,N/A,15:55,Heavy (Soft To Heavy In Places),1m 2f,The Shadow Lingers (IRE),J Kearney,0,L Comer,10th,39 l,4,9-5,-,True,109,1
Curragh Racing Results | 20th April 2024 15:55,N/A,15:55,Heavy (Soft To Heavy In Places),1m 2f,Serious Challenge (IRE),N G McCullagh,0,J S Bolger,9th,4 3/4 l,4,9-5p,-,True,109,1
Curragh Racing Results | 20th April 2024 15:55,N/A,15:55,Heavy (Soft To Heavy In Places),1m 2f,Mashhoor,B M Coen,0,J P Murtagh,8th,2 l,6,9-8,-,True,109,1
Curragh Racing Results | 20th April 2024 15:55,N/A,15:55,Heavy (Soft To Heavy In Places),1m 2f,Greenland (IRE),R L Moore,0,A P O'Brien,7th,3 1/4 l,4,9-8,-,True,109,1
Curragh Racing Results | 20th April 2024 15:55,N/A,15:55,Heavy (Soft To Heavy In Places),1m 2f,Crypto Force,D Egan,0,A Murray,6th,1/2 l,4,9-5,-,True,109,1
Curragh Racing Results | 20th April 2024 15:55,N/A,15:55,Heavy (Soft To Heavy In Places),1m 2f,Helvic Dream (IRE),C D Hayes,0,N Meade,5th,4 l,7,9-5,-,True,109,1
Curragh Racing Results | 20th April 2024 15:55,N/A,15:55,Heavy (Soft To Heavy In Places),1m 2f,Raise You (IRE),M P Sheehy,0,J P O'Brien,4th,5 l,8,9-5h1,-,True,109,1
Curragh Racing Results | 20th April 2024 15:55,N/A,15:55,Heavy (Soft To Heavy In Places),1m 2f,Village Voice,S Foley,0,Mrs J Harrington,3rd,1/2 l,4,9-5,-,True,109,1
Curragh Racing Results | 20th April 2024 15:55,N/A,15:55,Heavy (Soft To Heavy In Places),1m 2f,Maxux (IRE),D McMonagle,0,J P O'Brien,2nd,Neck,4,9-5,-,True,109,1
Curragh Racing Results | 20th April 2024 15:55,N/A,15:55,Heavy (Soft To Heavy In Places),1m 2f,White Birch,C T Keane,0,J J Murphy,1st,N/A,4,9-5t,-,True,109,1
Curragh Racing Results | 20th April 2024 15:55,N/A,15:55,Heavy (Soft To Heavy In Places),1m 2f,The Shadow Lingers (IRE),J Kearney,0,L Comer,10th,39 l,4,9-5,-,True,109,1
Curragh Racing Results | 20th April 2024 15:55,N/A,15:55,Heavy (Soft To Heavy In Places),1m 2f,Serious Challenge (IRE),N G McCullagh,0,J S Bolger,9th,4 3/4 l,4,9-5p,-,True,109,1
Curragh Racing Results | 20th April 2024 15:55,N/A,15:55,Heavy (Soft To Heavy In Places),1m 2f,Mashhoor,B M Coen,0,J P Murtagh,8th,2 l,6,9-8,-,True,109,1
Curragh Racing Results | 20th April 2024 15:55,N/A,15:55,Heavy (Soft To Heavy In Places),1m 2f,Greenland (IRE),R L Moore,0,A P O'Brien,7th,3 1/4 l,4,9-8,-,True,109,1
