track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Punchestown Racing Results | 1st May 2024 16:15,N/A,16:15,Good To Yielding (Yielding In Places),2m 7f 192y,An Tobar,Rachael Blackmore,0,H De Bromhead,NR,N/A,7,11-10,-,True,111,1
Punchestown Racing Results | 1st May 2024 16:15,N/A,16:15,Good To Yielding (Yielding In Places),2m 7f 192y,Cuta Des As (FR),B Hayes,0,W P Mullins,7th,3 3/4 l,7,11-3,-,True,111,1
Punchestown Racing Results | 1st May 2024 16:15,N/A,16:15,Good To Yielding (Yielding In Places),2m 7f 192y,Backmersackme (IRE),D Meyler,0,E Mullins,6th,18 l,5,11-10,-,True,111,1
Punchestown Racing Results | 1st May 2024 16:15,N/A,16:15,Good To Yielding (Yielding In Places),2m 7f 192y,Lecky Watson (IRE),D E Mullins,0,W P Mullins,5th,1/2 l,6,11-10h,-,True,111,1
Punchestown Racing Results | 1st May 2024 16:15,N/A,16:15,Good To Yielding (Yielding In Places),2m 7f 192y,Stellar Story (IRE),J W Kennedy,0,G Elliott,4th,1 1/4 l,7,11-10p,-,True,111,1
Punchestown Racing Results | 1st May 2024 16:15,N/A,16:15,Good To Yielding (Yielding In Places),2m 7f 192y,Better Days Ahead (IRE),D J Gilligan,0,G Elliott,3rd,4 1/4 l,6,11-10t,-,True,111,1
Punchestown Racing Results | 1st May 2024 16:15,N/A,16:15,Good To Yielding (Yielding In Places),2m 7f 192y,High Class Hero,S F O'Keeffe,0,W P Mullins,2nd,1/2 l,7,11-10,-,True,111,1
Punchestown Racing Results | 1st May 2024 16:15,N/A,16:15,Good To Yielding (Yielding In Places),2m 7f 192y,Dancing City (FR),P Townend,0,W P Mullins,1st,N/A,7,11-10,-,True,111,1
Punchestown Racing Results | 1st May 2024 16:15,N/A,16:15,Good To Yielding (Yielding In Places),2m 7f 192y,An Tobar,Rachael Blackmore,0,H De Bromhead,NR,N/A,7,11-10,-,True,111,1
Punchestown Racing Results | 1st May 2024 16:15,N/A,16:15,Good To Yielding (Yielding In Places),2m 7f 192y,Cuta Des As (FR),B Hayes,0,W P Mullins,7th,3 3/4 l,7,11-3,-,True,111,1
Punchestown Racing Results | 1st May 2024 16:15,N/A,16:15,Good To Yielding (Yielding In Places),2m 7f 192y,Backmersackme (IRE),D Meyler,0,E Mullins,6th,18 l,5,11-10,-,True,111,1
Punchestown Racing Results | 1st May 2024 16:15,N/A,16:15,Good To Yielding (Yielding In Places),2m 7f 192y,Lecky Watson (IRE),D E Mullins,0,W P Mullins,5th,1/2 l,6,11-10h,-,True,111,1
Punchestown Racing Results | 1st May 2024 16:15,N/A,16:15,Good To Yielding (Yielding In Places),2m 7f 192y,Stellar Story (IRE),J W Kennedy,0,G Elliott,4th,1 1/4 l,7,11-10p,-,True,111,1
Punchestown Racing Results | 1st May 2024 16:15,N/A,16:15,Good To Yielding (Yielding In Places),2m 7f 192y,Better Days Ahead (IRE),D J Gilligan,0,G Elliott,3rd,4 1/4 l,6,11-10t,-,True,111,1
Punchestown Racing Results | 1st May 2024 16:15,N/A,16:15,Good To Yielding (Yielding In Places),2m 7f 192y,High Class Hero,S F O'Keeffe,0,W P Mullins,2nd,1/2 l,7,11-10,-,True,111,1
Punchestown Racing Results | 1st May 2024 16:15,N/A,16:15,Good To Yielding (Yielding In Places),2m 7f 192y,Dancing City (FR),P Townend,0,W P Mullins,1st,N/A,7,11-10,-,True,111,1
Punchestown Racing Results | 1st May 2024 16:50,N/A,16:50,Good To Yielding (Yielding In Places),2m 132y,Harbour Highway (IRE),Mr D O'Connor,0,E Mullins,12th,54 l,5,12-0,-,True,111,2
Punchestown Racing Results | 1st May 2024 16:50,N/A,16:50,Good To Yielding (Yielding In Places),2m 132y,You Oughta Know (IRE),Mr T Costello,0,W P Mullins,11th,7 l,6,12-0h,-,True,111,2
Punchestown Racing Results | 1st May 2024 16:50,N/A,16:50,Good To Yielding (Yielding In Places),2m 132y,My Great Mate (IRE),Mr E Ohgren,0,W P Mullins,10th,3 1/2 l,5,12-0,-,True,111,2
Punchestown Racing Results | 1st May 2024 16:50,N/A,16:50,Good To Yielding (Yielding In Places),2m 132y,Shuttle Diplomacy (FR),Mr J L Gleeson,0,T Cooper,9th,8 l,4,11-8,-,True,111,2
Punchestown Racing Results | 1st May 2024 16:50,N/A,16:50,Good To Yielding (Yielding In Places),2m 132y,Jasmin De Vaux (FR),Mr P W Mullins,0,W P Mullins,8th,1 l,5,12-0,-,True,111,2
Punchestown Racing Results | 1st May 2024 16:50,N/A,16:50,Good To Yielding (Yielding In Places),2m 132y,Switch From Diesel (IRE),Mr T Hamilton,0,S Fahey,7th,1 l,5,11-7,-,True,111,2
Punchestown Racing Results | 1st May 2024 16:50,N/A,16:50,Good To Yielding (Yielding In Places),2m 132y,Argento Boy (IRE),Mr Pat Taaffe,0,W P Mullins,6th,1/2 l,5,12-0,-,True,111,2
Punchestown Racing Results | 1st May 2024 16:50,N/A,16:50,Good To Yielding (Yielding In Places),2m 132y,Romeo Coolio,Mr H C Swan,0,G Elliott,5th,4 3/4 l,5,12-0,-,True,111,2
Punchestown Racing Results | 1st May 2024 16:50,N/A,16:50,Good To Yielding (Yielding In Places),2m 132y,Sounds Victorius (IRE),Mr C Mullins,0,W P Mullins,4th,2 1/4 l,5,12-0,-,True,111,2
Punchestown Racing Results | 1st May 2024 16:50,N/A,16:50,Good To Yielding (Yielding In Places),2m 132y,William Munny (IRE),Mr F Maguire,0,B Connell,3rd,7 l,6,12-0,-,True,111,2
Punchestown Racing Results | 1st May 2024 16:50,N/A,16:50,Good To Yielding (Yielding In Places),2m 132y,The Yellow Clay (IRE),Mr B O'Neill,0,G Elliott,2nd,3 3/4 l,5,12-0,-,True,111,2
Punchestown Racing Results | 1st May 2024 16:50,N/A,16:50,Good To Yielding (Yielding In Places),2m 132y,Redemption Day,Miss J Townend,0,W P Mullins,1st,N/A,7,12-0h,-,True,111,2
Punchestown Racing Results | 1st May 2024 16:50,N/A,16:50,Good To Yielding (Yielding In Places),2m 132y,Harbour Highway (IRE),Mr D O'Connor,0,E Mullins,12th,54 l,5,12-0,-,True,111,2
Punchestown Racing Results | 1st May 2024 16:50,N/A,16:50,Good To Yielding (Yielding In Places),2m 132y,You Oughta Know (IRE),Mr T Costello,0,W P Mullins,11th,7 l,6,12-0h,-,True,111,2
Punchestown Racing Results | 1st May 2024 16:50,N/A,16:50,Good To Yielding (Yielding In Places),2m 132y,My Great Mate (IRE),Mr E Ohgren,0,W P Mullins,10th,3 1/2 l,5,12-0,-,True,111,2
Punchestown Racing Results | 1st May 2024 16:50,N/A,16:50,Good To Yielding (Yielding In Places),2m 132y,Shuttle Diplomacy (FR),Mr J L Gleeson,0,T Cooper,9th,8 l,4,11-8,-,True,111,2
Punchestown Racing Results | 1st May 2024 16:50,N/A,16:50,Good To Yielding (Yielding In Places),2m 132y,Jasmin De Vaux (FR),Mr P W Mullins,0,W P Mullins,8th,1 l,5,12-0,-,True,111,2
Punchestown Racing Results | 1st May 2024 16:50,N/A,16:50,Good To Yielding (Yielding In Places),2m 132y,Switch From Diesel (IRE),Mr T Hamilton,0,S Fahey,7th,1 l,5,11-7,-,True,111,2
Punchestown Racing Results | 1st May 2024 16:50,N/A,16:50,Good To Yielding (Yielding In Places),2m 132y,Argento Boy (IRE),Mr Pat Taaffe,0,W P Mullins,6th,1/2 l,5,12-0,-,True,111,2
Punchestown Racing Results | 1st May 2024 16:50,N/A,16:50,Good To Yielding (Yielding In Places),2m 132y,Romeo Coolio,Mr H C Swan,0,G Elliott,5th,4 3/4 l,5,12-0,-,True,111,2
Punchestown Racing Results | 1st May 2024 16:50,N/A,16:50,Good To Yielding (Yielding In Places),2m 132y,Sounds Victorius (IRE),Mr C Mullins,0,W P Mullins,4th,2 1/4 l,5,12-0,-,True,111,2
Punchestown Racing Results | 1st May 2024 16:50,N/A,16:50,Good To Yielding (Yielding In Places),2m 132y,William Munny (IRE),Mr F Maguire,0,B Connell,3rd,7 l,6,12-0,-,True,111,2
Punchestown Racing Results | 1st May 2024 16:50,N/A,16:50,Good To Yielding (Yielding In Places),2m 132y,The Yellow Clay (IRE),Mr B O'Neill,0,G Elliott,2nd,3 3/4 l,5,12-0,-,True,111,2
Punchestown Racing Results | 1st May 2024 16:50,N/A,16:50,Good To Yielding (Yielding In Places),2m 132y,Redemption Day,Miss J Townend,0,W P Mullins,1st,N/A,7,12-0h,-,True,111,2
Punchestown Racing Results | 1st May 2024 17:25,N/A,17:25,Good To Yielding (Yielding In Places),3m 213y,Corach Rambler (IRE),D R Fox,0,Miss Lucinda V Russell,PU,N/A,10,11-10t,-,True,111,3
Punchestown Racing Results | 1st May 2024 17:25,N/A,17:25,Good To Yielding (Yielding In Places),3m 213y,Capodanno (FR),M P Walsh,0,W P Mullins,8th,32 l,8,11-10t,-,True,111,3
Punchestown Racing Results | 1st May 2024 17:25,N/A,17:25,Good To Yielding (Yielding In Places),3m 213y,Journey With Me (IRE),D J O'Keeffe,0,H De Bromhead,7th,2 1/4 l,8,11-10t,-,True,111,3
Punchestown Racing Results | 1st May 2024 17:25,N/A,17:25,Good To Yielding (Yielding In Places),3m 213y,Conflated (IRE),J W Kennedy,0,G Elliott,6th,4 l,10,11-10p,-,True,111,3
Punchestown Racing Results | 1st May 2024 17:25,N/A,17:25,Good To Yielding (Yielding In Places),3m 213y,Appreciate It (IRE),Mr P W Mullins,0,W P Mullins,5th,1/2 l,10,11-10t,-,True,111,3
Punchestown Racing Results | 1st May 2024 17:25,N/A,17:25,Good To Yielding (Yielding In Places),3m 213y,Gentlemansgame,Rachael Blackmore,0,M F Morris,4th,1 1/2 l,8,11-10t,-,True,111,3
Punchestown Racing Results | 1st May 2024 17:25,N/A,17:25,Good To Yielding (Yielding In Places),3m 213y,Hewick (IRE),J C Gainford,0,J J Hanlon,3rd,2 1/4 l,9,11-10b1,-,True,111,3
Punchestown Racing Results | 1st May 2024 17:25,N/A,17:25,Good To Yielding (Yielding In Places),3m 213y,Galopin Des Champs (FR),P Townend,0,W P Mullins,2nd,1 1/4 l,8,11-10,-,True,111,3
Punchestown Racing Results | 1st May 2024 17:25,N/A,17:25,Good To Yielding (Yielding In Places),3m 213y,Fastorslow (FR),J J Slevin,0,M Brassil,1st,N/A,8,11-10t,-,True,111,3
