track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Down Royal Racing Results | 6th May 2024 17:05,N/A,17:05,Good (Good To Yielding In Places)  Flat (Turf),2m 180y,Bowensonfire (FR),Mr H C Swan,3,G Elliott,NR,N/A,4,11-10,-,True,112,1
Down Royal Racing Results | 6th May 2024 17:05,N/A,17:05,Good (Good To Yielding In Places)  Flat (Turf),2m 180y,Kilwaughter (IRE),Mr S Connor,7,S R B Crawford,NR,N/A,4,11-10,-,True,112,1
Down Royal Racing Results | 6th May 2024 17:05,N/A,17:05,Good (Good To Yielding In Places)  Flat (Turf),2m 180y,Kanpai (IRE),B P Kennedy,7,J Nash,NR,N/A,4,11-10,-,True,112,1
Down Royal Racing Results | 6th May 2024 17:05,N/A,17:05,Good (Good To Yielding In Places)  Flat (Turf),2m 180y,Donegal Star (IRE),N R Andrews,7,C Moore,12th,18 l,4,11-3,-,True,112,1
Down Royal Racing Results | 6th May 2024 17:05,N/A,17:05,Good (Good To Yielding In Places)  Flat (Turf),2m 180y,Feeling Game Ball (IRE),Mr J L Gleeson,5,Liz Doyle,11th,33 l,4,11-10,-,True,112,1
Down Royal Racing Results | 6th May 2024 17:05,N/A,17:05,Good (Good To Yielding In Places)  Flat (Turf),2m 180y,Inoue (IRE),Mr S Connor,7,S R B Crawford,10th,1 3/4 l,4,11-10,-,True,112,1
Down Royal Racing Results | 6th May 2024 17:05,N/A,17:05,Good (Good To Yielding In Places)  Flat (Turf),2m 180y,Mulroy Bay (IRE),Cian Cullinan,7,C O'Dwyer,9th,1 1/4 l,4,11-10,-,True,112,1
Down Royal Racing Results | 6th May 2024 17:05,N/A,17:05,Good (Good To Yielding In Places)  Flat (Turf),2m 180y,Parkgarve (IRE),Mr J Dunne,7,Ian Donoghue,8th,11 l,4,11-10,-,True,112,1
Down Royal Racing Results | 6th May 2024 17:05,N/A,17:05,Good (Good To Yielding In Places)  Flat (Turf),2m 180y,She Can Do It (IRE),Mr E P Powell,7,L Lennon,7th,5 1/2 l,4,11-3,-,True,112,1
Down Royal Racing Results | 6th May 2024 17:05,N/A,17:05,Good (Good To Yielding In Places)  Flat (Turf),2m 180y,Bonnebosq (FR),Mr J H Williamson,7,D Hogan,6th,Head,4,11-10p1,-,True,112,1
Down Royal Racing Results | 6th May 2024 17:05,N/A,17:05,Good (Good To Yielding In Places)  Flat (Turf),2m 180y,Native Deal,Miss A B O'Connor,3,A McCann,5th,3 l,4,11-10,-,True,112,1
Down Royal Racing Results | 6th May 2024 17:05,N/A,17:05,Good (Good To Yielding In Places)  Flat (Turf),2m 180y,Tonaghneave Well (IRE),Mr D G Lavery,0,G P Cromwell,4th,4 l,4,11-10,-,True,112,1
Down Royal Racing Results | 6th May 2024 17:05,N/A,17:05,Good (Good To Yielding In Places)  Flat (Turf),2m 180y,Chanceawetmorning (IRE),Mr P Hanlon,7,J J Hanlon,3rd,4 l,4,11-10,-,True,112,1
