track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Get Down To It (IRE),D J O'Keeffe,0,T Gibney,NR,N/A,5,10-13h1,94,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Whotookthebiscuit (IRE),Rachael Blackmore,0,H De Bromhead,NR,N/A,6,11-8t,103,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Mayos Vendangeur (IRE),S D Torrens,0,P J Rothwell,S,N/A,5,10-8,89,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Rossies Tara,P T Enright,0,M M McNiff,10th,3 3/4 l,8,10-0t,81,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Yolande Court (IRE),D King,0,G A Kingston,9th,21 l,7,10-4,85,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Magic Olinger (IRE),R A Doyle,0,G Keane,8th,3 1/4 l,6,11-3,98,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Inatosha (IRE),J Coen,5,A McCann,7th,21 l,5,10-2,83,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Doctor Nightingale (IRE),D J Gilligan,3,G Elliott,6th,2 3/4 l,4,11-12,113,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Mullins Cross (IRE),J C Gainford,0,J J Hanlon,5th,1/2 l,8,10-4b,85,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Grace Faraday (IRE),J P O'Sullivan,0,A McCann,4th,4 1/4 l,6,10-10,91,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Hidden Land (USA),Mr J C Barry,3,A Kinirons,3rd,6 l,7,12-0h,109,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Not May (IRE),J P Shinnick,7,H P Finegan,2nd,1/2 l,10,10-2tp1,83,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Redwood Queen (IRE),P Byrnes,3,C Byrnes,1st,N/A,7,11-2,97,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Get Down To It (IRE),D J O'Keeffe,0,T Gibney,NR,N/A,5,10-13h1,94,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Whotookthebiscuit (IRE),Rachael Blackmore,0,H De Bromhead,NR,N/A,6,11-8t,103,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Mayos Vendangeur (IRE),S D Torrens,0,P J Rothwell,S,N/A,5,10-8,89,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Rossies Tara,P T Enright,0,M M McNiff,10th,3 3/4 l,8,10-0t,81,True,113,1
