track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Killarney Racing Results | 14th May 2024 17:20,N/A,17:20,Soft (Soft To Heavy In Places)  (Turf),1m 31y,Heliogabalus (IRE),S Foley,0,Mrs J Harrington,NR,N/A,3,9-8,-,True,114,1
Killarney Racing Results | 14th May 2024 17:20,N/A,17:20,Soft (Soft To Heavy In Places)  (Turf),1m 31y,Warrior Lord (IRE),L T McAteer,0,J G Murphy,5th,8 1/2 l,3,9-8,-,True,114,1
Killarney Racing Results | 14th May 2024 17:20,N/A,17:20,Soft (Soft To Heavy In Places)  (Turf),1m 31y,Prince Of Eyeries (IRE),W J Lee,0,K J Condon,4th,3 3/4 l,3,9-8,-,True,114,1
Killarney Racing Results | 14th May 2024 17:20,N/A,17:20,Soft (Soft To Heavy In Places)  (Turf),1m 31y,Master Of The Hunt (IRE),W M Lordan,0,A P O'Brien,3rd,4 1/2 l,3,9-8,-,True,114,1
Killarney Racing Results | 14th May 2024 17:20,N/A,17:20,Soft (Soft To Heavy In Places)  (Turf),1m 31y,Babich (IRE),G F Carroll,0,G P Cromwell,2nd,Head,3,9-8,-,True,114,1
Killarney Racing Results | 14th May 2024 17:20,N/A,17:20,Soft (Soft To Heavy In Places)  (Turf),1m 31y,Thor's Hammer (IRE),B M Coen,0,J P Murtagh,1st,N/A,3,9-8b,-,True,114,1
Killarney Racing Results | 14th May 2024 17:20,N/A,17:20,Soft (Soft To Heavy In Places)  (Turf),1m 31y,Heliogabalus (IRE),S Foley,0,Mrs J Harrington,NR,N/A,3,9-8,-,True,114,1
Killarney Racing Results | 14th May 2024 17:20,N/A,17:20,Soft (Soft To Heavy In Places)  (Turf),1m 31y,Warrior Lord (IRE),L T McAteer,0,J G Murphy,5th,8 1/2 l,3,9-8,-,True,114,1
Killarney Racing Results | 14th May 2024 17:20,N/A,17:20,Soft (Soft To Heavy In Places)  (Turf),1m 31y,Prince Of Eyeries (IRE),W J Lee,0,K J Condon,4th,3 3/4 l,3,9-8,-,True,114,1
Killarney Racing Results | 14th May 2024 17:20,N/A,17:20,Soft (Soft To Heavy In Places)  (Turf),1m 31y,Master Of The Hunt (IRE),W M Lordan,0,A P O'Brien,3rd,4 1/2 l,3,9-8,-,True,114,1
Killarney Racing Results | 14th May 2024 17:20,N/A,17:20,Soft (Soft To Heavy In Places)  (Turf),1m 31y,Babich (IRE),G F Carroll,0,G P Cromwell,2nd,Head,3,9-8,-,True,114,1
Killarney Racing Results | 14th May 2024 17:20,N/A,17:20,Soft (Soft To Heavy In Places)  (Turf),1m 31y,Thor's Hammer (IRE),B M Coen,0,J P Murtagh,1st,N/A,3,9-8b,-,True,114,1
Killarney Racing Results | 14th May 2024 17:50,N/A,17:50,Soft (Soft To Heavy In Places),1m 31y,Tannola (IRE),C D Hayes,0,D K Weld,4th,3 l,3,9-6,-,True,114,2
Killarney Racing Results | 14th May 2024 17:50,N/A,17:50,Soft (Soft To Heavy In Places),1m 31y,Orderofthephoenix (IRE),R P Whelan,0,A McGuinness,3rd,7 1/2 l,3,9-6,-,True,114,2
Killarney Racing Results | 14th May 2024 17:50,N/A,17:50,Soft (Soft To Heavy In Places),1m 31y,Uluru (IRE),M W Hassett,7,J P O'Brien,2nd,Neck,3,9-6,-,True,114,2
Killarney Racing Results | 14th May 2024 17:50,N/A,17:50,Soft (Soft To Heavy In Places),1m 31y,Alpheratz (IRE),G F Carroll,0,J G Murphy,1st,N/A,3,9-6,-,True,114,2
Killarney Racing Results | 14th May 2024 17:50,N/A,17:50,Soft (Soft To Heavy In Places),1m 31y,Tannola (IRE),C D Hayes,0,D K Weld,4th,3 l,3,9-6,-,True,114,2
Killarney Racing Results | 14th May 2024 17:50,N/A,17:50,Soft (Soft To Heavy In Places),1m 31y,Orderofthephoenix (IRE),R P Whelan,0,A McGuinness,3rd,7 1/2 l,3,9-6,-,True,114,2
Killarney Racing Results | 14th May 2024 17:50,N/A,17:50,Soft (Soft To Heavy In Places),1m 31y,Uluru (IRE),M W Hassett,7,J P O'Brien,2nd,Neck,3,9-6,-,True,114,2
Killarney Racing Results | 14th May 2024 17:50,N/A,17:50,Soft (Soft To Heavy In Places),1m 31y,Alpheratz (IRE),G F Carroll,0,J G Murphy,1st,N/A,3,9-6,-,True,114,2
Killarney Racing Results | 14th May 2024 18:20,N/A,18:20,Soft (Soft To Heavy In Places),1m 31y,Uncanny (IRE),Non Runner,0,Donnacha O'Brien,NR,N/A,4,9-4,-,True,114,3
Killarney Racing Results | 14th May 2024 18:20,N/A,18:20,Soft (Soft To Heavy In Places),1m 31y,One Boss,R P Whelan,0,F J Flood,8th,Head,4,9-4p,-,True,114,3
Killarney Racing Results | 14th May 2024 18:20,N/A,18:20,Soft (Soft To Heavy In Places),1m 31y,Perseids (USA),R C Colgan,0,Miss Jennifer Anne Lynch,7th,2 l,4,9-4t,-,True,114,3
Killarney Racing Results | 14th May 2024 18:20,N/A,18:20,Soft (Soft To Heavy In Places),1m 31y,Quantum Light (IRE),A J Slattery,0,A Slattery,6th,1 l,4,9-4v,-,True,114,3
Killarney Racing Results | 14th May 2024 18:20,N/A,18:20,Soft (Soft To Heavy In Places),1m 31y,Lohengrin,C T Keane,0,E O'Connell,5th,9 1/2 l,4,9-9t,-,True,114,3
Killarney Racing Results | 14th May 2024 18:20,N/A,18:20,Soft (Soft To Heavy In Places),1m 31y,Lord Raven (IRE),J A Heffernan,0,J Dullea,4th,3/4 l,4,9-9,-,True,114,3
