track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Kilbeggan Racing Results | 17th May 2024 19:55,N/A,19:55,Good (Good To Yielding In Places),2m 4f 90y,Calico (FR),Sam Ewing,0,G Elliott,NR,N/A,5,11-7t,125,True,115,1
Kilbeggan Racing Results | 17th May 2024 19:55,N/A,19:55,Good (Good To Yielding In Places),2m 4f 90y,Wellington Hill (IRE),D E Mullins,0,Ms M Mullins,F,N/A,8,10-11,115,True,115,1
Kilbeggan Racing Results | 17th May 2024 19:55,N/A,19:55,Good (Good To Yielding In Places),2m 4f 90y,Gracchus De Balme (FR),J J Slevin,0,J P O'Brien,11th,9 l,8,11-13,131,True,115,1
Kilbeggan Racing Results | 17th May 2024 19:55,N/A,19:55,Good (Good To Yielding In Places),2m 4f 90y,Pat Coyne (IRE),D J O'Keeffe,0,J Queally,10th,1 l,10,11-1p,119,True,115,1
Kilbeggan Racing Results | 17th May 2024 19:55,N/A,19:55,Good (Good To Yielding In Places),2m 4f 90y,Motown Maggie (IRE),D J Gilligan,3,G Elliott,9th,6 1/2 l,7,11-8p,126,True,115,1
Kilbeggan Racing Results | 17th May 2024 19:55,N/A,19:55,Good (Good To Yielding In Places),2m 4f 90y,Take All (IRE),Shane Fenelon,7,J J Hanlon,8th,3 l,9,11-13,131,True,115,1
Kilbeggan Racing Results | 17th May 2024 19:55,N/A,19:55,Good (Good To Yielding In Places),2m 4f 90y,Casey West (IRE),S D Torrens,0,P J Rothwell,7th,3 1/2 l,8,10-8,112,True,115,1
Kilbeggan Racing Results | 17th May 2024 19:55,N/A,19:55,Good (Good To Yielding In Places),2m 4f 90y,Neveradullmoment (IRE),M P Walsh,0,J P Dempsey,6th,3 1/4 l,7,10-10tp,114,True,115,1
Kilbeggan Racing Results | 17th May 2024 19:55,N/A,19:55,Good (Good To Yielding In Places),2m 4f 90y,Railway Hurricane (IRE),K M Donoghue,0,G P Cromwell,5th,5 1/2 l,9,11-9tb,127,True,115,1
Kilbeggan Racing Results | 17th May 2024 19:55,N/A,19:55,Good (Good To Yielding In Places),2m 4f 90y,Farmers Lodge (IRE),M J M O'Sullivan,0,B Connell,4th,3/4 l,8,11-12,130,True,115,1
Kilbeggan Racing Results | 17th May 2024 19:55,N/A,19:55,Good (Good To Yielding In Places),2m 4f 90y,El Champo (IRE),J P O'Sullivan,0,P J Rothwell,3rd,1 3/4 l,6,10-10,114,True,115,1
Kilbeggan Racing Results | 17th May 2024 19:55,N/A,19:55,Good (Good To Yielding In Places),2m 4f 90y,Sargent Lightfoot (IRE),S W Flanagan,0,A Murray,2nd,Head,10,10-5,109,True,115,1
Kilbeggan Racing Results | 17th May 2024 19:55,N/A,19:55,Good (Good To Yielding In Places),2m 4f 90y,The Dasher Conway (IRE),D Meyler,0,Mrs G Callaghan,1st,N/A,9,11-5,123,True,115,1
Kilbeggan Racing Results | 17th May 2024 19:55,N/A,19:55,Good (Good To Yielding In Places),2m 4f 90y,Calico (FR),Sam Ewing,0,G Elliott,NR,N/A,5,11-7t,125,True,115,1
Kilbeggan Racing Results | 17th May 2024 19:55,N/A,19:55,Good (Good To Yielding In Places),2m 4f 90y,Wellington Hill (IRE),D E Mullins,0,Ms M Mullins,F,N/A,8,10-11,115,True,115,1
Kilbeggan Racing Results | 17th May 2024 19:55,N/A,19:55,Good (Good To Yielding In Places),2m 4f 90y,Gracchus De Balme (FR),J J Slevin,0,J P O'Brien,11th,9 l,8,11-13,131,True,115,1
