track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Limerick Racing Results | 23rd May 2024 17:55,N/A,17:55,Good (Good To Firm In Places),2m 3f 160y,Mousey Brown (IRE),P J O'Hanlon,3,D A McLoughlin,NR,N/A,7,10-11t,-,True,116,1
Limerick Racing Results | 23rd May 2024 17:55,N/A,17:55,Good (Good To Firm In Places),2m 3f 160y,Pebble Bleu (IRE),P T Enright,0,C Motherway,5th,3/4 l,5,10-11,-,True,116,1
Limerick Racing Results | 23rd May 2024 17:55,N/A,17:55,Good (Good To Firm In Places),2m 3f 160y,Good As Hell (IRE),Niall Moore,7,P Fenton,4th,8 l,9,10-11b,-,True,116,1
Limerick Racing Results | 23rd May 2024 17:55,N/A,17:55,Good (Good To Firm In Places),2m 3f 160y,Bonnie Kellie (IRE),C M Quirke,5,S Curling,3rd,6 l,7,10-11p1,-,True,116,1
Limerick Racing Results | 23rd May 2024 17:55,N/A,17:55,Good (Good To Firm In Places),2m 3f 160y,Bella Bliss (IRE),S D Torrens,0,J C McConnell,2nd,3/4 l,7,11-2t,-,True,116,1
Limerick Racing Results | 23rd May 2024 17:55,N/A,17:55,Good (Good To Firm In Places),2m 3f 160y,Hurricane Georgie (IRE),Sam Ewing,0,G Elliott,1st,N/A,7,10-11,-,True,116,1
Limerick Racing Results | 23rd May 2024 17:55,N/A,17:55,Good (Good To Firm In Places),2m 3f 160y,Mousey Brown (IRE),P J O'Hanlon,3,D A McLoughlin,NR,N/A,7,10-11t,-,True,116,1
Limerick Racing Results | 23rd May 2024 17:55,N/A,17:55,Good (Good To Firm In Places),2m 3f 160y,Pebble Bleu (IRE),P T Enright,0,C Motherway,5th,3/4 l,5,10-11,-,True,116,1
Limerick Racing Results | 23rd May 2024 17:55,N/A,17:55,Good (Good To Firm In Places),2m 3f 160y,Good As Hell (IRE),Niall Moore,7,P Fenton,4th,8 l,9,10-11b,-,True,116,1
Limerick Racing Results | 23rd May 2024 17:55,N/A,17:55,Good (Good To Firm In Places),2m 3f 160y,Bonnie Kellie (IRE),C M Quirke,5,S Curling,3rd,6 l,7,10-11p1,-,True,116,1
Limerick Racing Results | 23rd May 2024 17:55,N/A,17:55,Good (Good To Firm In Places),2m 3f 160y,Bella Bliss (IRE),S D Torrens,0,J C McConnell,2nd,3/4 l,7,11-2t,-,True,116,1
