track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Stellar Stow (IRE),Mr D Doyle,7,T Doyle,F,N/A,11,10-13tb1,80,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Roscomroe (IRE),D P Maxwell,7,J P Broderick,F,N/A,9,11-0tp,81,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Oskar High (IRE),R P Geoghegan,7,N Lee,14th,7 l,12,10-13,80,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Military Hill (IRE),D Meyler,0,R K Watson,13th,11 l,11,10-13t,80,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Jacks Fancy (IRE),Rachael Blackmore,0,H De Bromhead,12th,26 l,6,11-3,84,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Justakeg (IRE),G B Noonan,5,V T O'Brien,11th,9 1/2 l,13,10-13,80,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Whatyouwant (IRE),K Callaghan,5,Michael C Griffin,10th,4 1/2 l,6,12-0,95,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Winter Carnival (IRE),A M King,7,J Neilan,9th,1 1/4 l,9,11-6,87,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Mont Beuvray (IRE),Mr H E Sexton,7,J P Ryan,8th,2 1/4 l,6,11-9,90,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Townhill Penny (IRE),J Coen,5,G Elliott,7th,3/4 l,8,12-0,95,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,It's Time Again (IRE),J J Slevin,0,David Barry,6th,3 1/4 l,8,11-11,92,True,117,1
