track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Las Vegas Nevada (IRE),N M Crosse,0,A McNamara,14th,14 l,3,9-8,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Ulfhada (IRE),W Joyce,5,A Sexton,13th,1 1/4 l,3,9-8,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Gregorina (IRE),Adam Caffrey,5,A McGuinness,12th,4 3/4 l,3,9-3v,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Gleaning (IRE),J Cleary,7,A P O'Brien,11th,Neck,3,9-3,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Dancing Steve (IRE),C J MacRedmond,5,A McGuinness,10th,6 1/2 l,3,9-8,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Boskill Carmel (IRE),S Foley,0,J P Fahey,9th,2 3/4 l,3,9-3,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Step To Somewhere,L F Roche,0,D K Weld,8th,2 3/4 l,3,9-3,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Punta Coco (IRE),W J Lee,0,N Lupini,7th,3/4 l,3,9-3,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,T Or Coffey (IRE),L T McAteer,0,Paul Mulligan,6th,Neck,3,9-8tp1,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Sportingsilvermine (IRE),H J Horgan,5,D Hogan,5th,1 1/2 l,3,9-8p1,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Mickey Cohen (IRE),J A Powell,3,N Meade,4th,3 1/4 l,3,9-8,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Latin (IRE),J M Sheridan,0,D Hogan,3rd,Short Head,3,9-8t,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Robbies Rock,G F Carroll,0,G P Cromwell,2nd,3 1/4 l,3,9-8,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Leinster (IRE),D McMonagle,0,J P O'Brien,1st,N/A,3,9-8,-,True,118,1
Down Royal Racing Results | 31st May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),1m 2f,Las Vegas Nevada (IRE),N M Crosse,0,A McNamara,14th,14 l,3,9-8,-,True,118,1
