track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Grigal (IRE),Non Runner,0,R Brabazon,NR,N/A,5,9-4,60,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,L'immortale (IRE),D E Sheehy,0,M C Grassick,19th,3/4 l,4,8-71,49,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Sin E Shekells,Siobhan Rutledge,3,J G Murray,18th,2 3/4 l,7,8-7p,49,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Amemri,A J Slattery,0,D Marnane,17th,Head,4,8-13,55,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Miqdaad (IRE),H J Horgan,5,D Hogan,16th,1 1/4 l,4,9-5p,61,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Bold Optimist (IRE),O McSweeney,3,Daniel McLoughlin,15th,Neck,4,10-2p,72,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Tai Sing Yeh (IRE),J M Sheridan,0,D Hogan,14th,1 l,10,9-12tb,68,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Wayne R Walker,N G McCullagh,0,D Kinsella,13th,1 1/2 l,5,8-11tb,53,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Cross Border,D S O'Sullivan,10,D W O'Sullivan,12th,Neck,4,9-10,66,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Half Nutz (IRE),R P Whelan,0,A McGuinness,11th,Head,7,9-11,67,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Superior Council (IRE),W M Lordan,0,J F Levins,10th,1 l,5,8-7v1,49,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Distillate,Adam Caffrey,5,A McGuinness,9th,Short Head,4,9-13t,69,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Run Forrest Run (IRE),S T McCullagh,3,M Fenton,8th,Neck,6,9-9,65,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Inishmot Prince (IRE),J J G Ryan,5,T G McCourt,7th,1 l,6,10-0v,70,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Von Krolock (IRE),M W Hassett,5,T Doyle,6th,Neck,5,9-5,61,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Blanc De Noir (IRE),R M Mulligan,7,J P Murtagh,5th,Short Head,4,10-3,73,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Saturn Seven (IRE),S Foley,0,E Lynam,4th,Head,4,10-1,71,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Ice Cold In Alex (IRE),J A Powell,3,K J Condon,3rd,1 1/4 l,10,10-2t,72,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Rathbranchurch (IRE),W Joyce,5,M Mulvany,2nd,1/2 l,4,10-1,71,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Zaragoza (IRE),C D Hayes,0,D K Weld,1st,N/A,4,9-2p1,58,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Grigal (IRE),Non Runner,0,R Brabazon,NR,N/A,5,9-4,60,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,L'immortale (IRE),D E Sheehy,0,M C Grassick,19th,3/4 l,4,8-71,49,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Sin E Shekells,Siobhan Rutledge,3,J G Murray,18th,2 3/4 l,7,8-7p,49,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Amemri,A J Slattery,0,D Marnane,17th,Head,4,8-13,55,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Miqdaad (IRE),H J Horgan,5,D Hogan,16th,1 1/4 l,4,9-5p,61,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Bold Optimist (IRE),O McSweeney,3,Daniel McLoughlin,15th,Neck,4,10-2p,72,True,119,1
Curragh Racing Results | 5th June 2024 20:00,N/A,20:00,Good (Good To Firm In Places),6f 63y,Tai Sing Yeh (IRE),J M Sheridan,0,D Hogan,14th,1 l,10,9-12tb,68,True,119,1
