track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Sand Castle (IRE),J A Heffernan,0,A Murray,NR,N/A,8,9-1tp,50,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Mr Mills (IRE),R C Colgan,0,C Timmons,NR,N/A,6,9-11,60,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Charli Sands (IRE),S Foley,0,Yvonne Latta,22nd,13 l,4,9-2p,51,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Sleepless Knight (IRE),M W Hassett,5,J A Kinsella,21st,3/4 l,4,8-12p,47,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Lady Delila (IRE),D W O'Connor,0,C P Donoghue,20th,1 1/2 l,4,9-3,52,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Easy Way (IRE),C D Hayes,0,L Comer,19th,1/2 l,4,9-10p,59,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,The Dazzer (IRE),J M Sheridan,0,G Keane,18th,1 3/4 l,5,8-12v1,47,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Love Mocha,M P Sheehy,0,J C McConnell,17th,2 1/2 l,4,9-1,50,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Power Drive,D McMonagle,0,P W Flynn,16th,1 1/4 l,9,9-1p,50,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Marians Gal (IRE),W Joyce,5,K Smith,15th,Neck,4,9-11,60,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Susiesparkle (IRE),W J Lee,0,D Broad,14th,Head,4,9-8ht1,57,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Bright Dick (IRE),D P McDonogh,0,L Comer,13th,4 1/4 l,4,10-0,63,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Slaney Tide (IRE),R P Cleary,0,J S Bolger,12th,1/2 l,4,9-8t,57,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Storm Eric (IRE),C J MacRedmond,5,Jamie Flynn,11th,1 1/4 l,5,9-6,55,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Selective Power (IRE),J A Powell,3,Thomas Coyle,10th,Neck,5,8-12,47,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Fleetfootsoldier (IRE),B M Coen,0,J C McConnell,9th,Neck,4,9-13t1,62,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Crystal's Heir (IRE),R Whearty,5,P W Flynn,8th,1 3/4 l,6,8-12,47,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,No Trouble (IRE),Siobhan Rutledge,3,J C McConnell,7th,Head,8,9-7t,56,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Shining Aitch,J J G Ryan,5,T G McCourt,6th,2 1/2 l,7,10-0tv,63,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Desert Friend (IRE),G F Carroll,0,Mrs D Foster,5th,1/2 l,8,10-0,63,True,122,1
Navan Racing Results | 8th June 2024 17:15,N/A,17:15,Good (Good To Firm In Places),1m 2f 40y,Doctor Grace (IRE),R P Whelan,0,M Halford & T Collins,4th,Neck,4,9-10p,59,True,122,1
