track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Jered Maddox,J A Heffernan,0,D Marnane,8th,3 3/4 l,8,10-4,89,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Sporting Hero,J M Sheridan,0,D Hogan,7th,1/2 l,4,9-8p,79,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Alpha Cephei,R C Colgan,0,D Marnane,6th,3 l,3,9-0v1,78,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Mymomentintime (USA),K J Leonard,0,Miss S A Finn,5th,1/2 l,5,8-7h,64,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Sevensees,R M Mulligan,7,J P Murtagh,4th,2 1/4 l,4,9-11,82,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Collective Power (IRE),W J Lee,0,E Lynam,3rd,1/2 l,6,9-12,83,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Ostraka (IRE),D McMonagle,0,Daniel Murphy,2nd,1 l,4,9-7b,78,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Bold Optimist (IRE),B M Coen,0,Daniel McLoughlin,1st,N/A,4,8-12p,69,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Jered Maddox,J A Heffernan,0,D Marnane,8th,3 3/4 l,8,10-4,89,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Sporting Hero,J M Sheridan,0,D Hogan,7th,1/2 l,4,9-8p,79,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Alpha Cephei,R C Colgan,0,D Marnane,6th,3 l,3,9-0v1,78,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Mymomentintime (USA),K J Leonard,0,Miss S A Finn,5th,1/2 l,5,8-7h,64,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Sevensees,R M Mulligan,7,J P Murtagh,4th,2 1/4 l,4,9-11,82,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Collective Power (IRE),W J Lee,0,E Lynam,3rd,1/2 l,6,9-12,83,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Ostraka (IRE),D McMonagle,0,Daniel Murphy,2nd,1 l,4,9-7b,78,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Bold Optimist (IRE),B M Coen,0,Daniel McLoughlin,1st,N/A,4,8-12p,69,True,123,1
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Twilight Jet (IRE),L F Roche,0,M O'Callaghan,NR,N/A,5,9-12v1,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Go Athletico (FR),R P Whelan,0,A McGuinness,NR,N/A,6,9-12,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Easy (IRE),A J Slattery,0,A Slattery,NR,N/A,4,9-7,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Shandy (IRE),J M Sheridan,0,J A Stack,NR,N/A,3,8-11h1,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Ano Syra (IRE),D McMonagle,0,J Feane,9th,1 3/4 l,5,9-4,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,So Majestic (IRE),C D Hayes,0,Miss K McGivern,8th,1 l,4,9-4ht,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Arnhem (IRE),J A Heffernan,0,M G Quinn,7th,Short Head,8,9-9,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Gabriella's Spirit (IRE),N M Crosse,0,K J Condon,6th,Neck,5,9-4tp,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Dun Na Sead (IRE),B M Coen,0,Daniel Murphy,5th,5 l,5,9-7,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,She's Quality (IRE),S Foley,0,J Davison,4th,1/2 l,3,8-11,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Jakajaro (IRE),R C Colgan,0,D Marnane,3rd,3/4 l,3,9-2,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Erosandpsyche (IRE),W J Lee,0,P Twomey,2nd,2 3/4 l,6,9-9v,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Clarendon House,C T Keane,0,R M H Cowell,1st,N/A,6,9-9,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Twilight Jet (IRE),L F Roche,0,M O'Callaghan,NR,N/A,5,9-12v1,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Go Athletico (FR),R P Whelan,0,A McGuinness,NR,N/A,6,9-12,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Easy (IRE),A J Slattery,0,A Slattery,NR,N/A,4,9-7,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Shandy (IRE),J M Sheridan,0,J A Stack,NR,N/A,3,8-11h1,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Ano Syra (IRE),D McMonagle,0,J Feane,9th,1 3/4 l,5,9-4,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,So Majestic (IRE),C D Hayes,0,Miss K McGivern,8th,1 l,4,9-4ht,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Arnhem (IRE),J A Heffernan,0,M G Quinn,7th,Short Head,8,9-9,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Gabriella's Spirit (IRE),N M Crosse,0,K J Condon,6th,Neck,5,9-4tp,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Dun Na Sead (IRE),B M Coen,0,Daniel Murphy,5th,5 l,5,9-7,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,She's Quality (IRE),S Foley,0,J Davison,4th,1/2 l,3,8-11,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Jakajaro (IRE),R C Colgan,0,D Marnane,3rd,3/4 l,3,9-2,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Erosandpsyche (IRE),W J Lee,0,P Twomey,2nd,2 3/4 l,6,9-9v,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Clarendon House,C T Keane,0,R M H Cowell,1st,N/A,6,9-9,-,True,123,2
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Derida (GER),M P Sheehy,0,J P O'Brien,NR,N/A,5,9-9t1,-,True,123,3
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Joupe (IRE),J M Sheridan,0,P Lawlor,7th,3 1/2 l,7,9-9t,-,True,123,3
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Thunder Roll (IRE),D McMonagle,0,J P O'Brien,6th,5 l,4,9-9,-,True,123,3
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Nostringsattached (IRE),R C Colgan,0,A Kinirons,5th,3/4 l,5,9-9,-,True,123,3
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Greenfinch (USA),W M Lordan,0,A P O'Brien,4th,3 3/4 l,3,8-8,-,True,123,3
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Scarlett O'Hara (FR),N M Crosse,0,Mrs J Harrington,3rd,3/4 l,4,9-9p,-,True,123,3
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Trevaunance (IRE),S Foley,0,Mrs J Harrington,2nd,1 1/4 l,5,9-9p,-,True,123,3
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Sumiha (IRE),C D Hayes,0,D K Weld,1st,N/A,4,9-9,-,True,123,3
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Derida (GER),M P Sheehy,0,J P O'Brien,NR,N/A,5,9-9t1,-,True,123,3
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Joupe (IRE),J M Sheridan,0,P Lawlor,7th,3 1/2 l,7,9-9t,-,True,123,3
