track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Mini Mai (IRE),G F Carroll,0,G M Lyons,NR,N/A,2,9-2,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Altoir Na Greine (IRE),J A Powell,3,N Meade,8th,2 1/4 l,2,9-7,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Powerful Lady (FR),R C Colgan,0,N Lupini,7th,2 1/2 l,2,9-2,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,James The Second (IRE),W Joyce,5,M Mulvany,6th,Head,2,9-7,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Movin And Groovin (IRE),R P Cleary,0,A McGuinness,5th,2 l,2,9-2,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Kilmood Susan (IRE),R Whearty,5,Daniel Murphy,4th,1 1/2 l,2,9-2p,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Sharkii (IRE),G M Ryan,0,D Dias,3rd,1 1/2 l,2,9-7,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Billie Be Quick (IRE),N M Crosse,0,Mrs J Harrington,2nd,3 1/4 l,2,9-2,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Shamrock Breeze (IRE),W J Lee,0,J Davison,1st,N/A,2,9-2,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Mini Mai (IRE),G F Carroll,0,G M Lyons,NR,N/A,2,9-2,-,True,124,1
Down Royal Racing Results | 21st June 2024 16:50,N/A,16:50,Good (Good To Firm In Places),5f,Altoir Na Greine (IRE),J A Powell,3,N Meade,8th,2 1/4 l,2,9-7,-,True,124,1
