track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Pink Oxalis (IRE),G F Carroll,0,J G Murphy,NR,N/A,3,9-3,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Turn And Burn (IRE),N M Crosse,0,Daniel Murphy,9th,7 1/2 l,3,9-8,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Your Day To Shine (IRE),W Joyce,5,M Mulvany,8th,Neck,3,9-8,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Blame Thechampagne (IRE),R P Whelan,0,A McGuinness,7th,2 l,3,9-3p,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Crystal Luna (IRE),G M Ryan,0,Daniel Murphy,6th,1/2 l,3,9-3b,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Jalaybee,C D Hayes,0,D K Weld,5th,1 3/4 l,3,9-8v1,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Limoncello Lady (IRE),S Foley,0,Mrs J Harrington,4th,2 l,3,9-3b1,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Ace In The Pack (IRE),G P Halpin,0,K Prendergast,3rd,3 3/4 l,3,9-8,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Emerald Harmony (IRE),B M Coen,0,J P Murtagh,2nd,3 3/4 l,3,9-3p1,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Yefimenko (IRE),C T Keane,0,G M Lyons,1st,N/A,3,9-3,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Pink Oxalis (IRE),G F Carroll,0,J G Murphy,NR,N/A,3,9-3,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Turn And Burn (IRE),N M Crosse,0,Daniel Murphy,9th,7 1/2 l,3,9-8,-,True,126,1
