track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Vittorio Micheli (IRE),P A Harnett,5,P F McEnery,9th,1/2 l,3,9-6,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Your Day To Shine (IRE),W Joyce,5,M Mulvany,8th,3 1/4 l,3,9-6,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Moutarde (IRE),G F Carroll,0,G P Cromwell,7th,1 1/4 l,3,9-6h,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Kilbarry Jack (IRE),R P Whelan,0,A McGuinness,6th,1/2 l,3,8-13p1,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Guest Star,S Foley,0,M Fahey,5th,1 3/4 l,3,9-9b,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Chou Chou (IRE),C D Hayes,0,N Meade,4th,Short Head,3,8-13,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Tartaraghan (IRE),Siobhan Rutledge,3,J C McConnell,3rd,Short Head,3,9-1,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Latin (IRE),J M Sheridan,0,D Hogan,2nd,Neck,3,10-0t,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Signor Ferrari (IRE),H J Horgan,5,J Feane,1st,N/A,3,9-9,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Vittorio Micheli (IRE),P A Harnett,5,P F McEnery,9th,1/2 l,3,9-6,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Your Day To Shine (IRE),W Joyce,5,M Mulvany,8th,3 1/4 l,3,9-6,-,True,127,1
