track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Downpatrick Racing Results | 15th July 2024 17:30,N/A,17:30,Good,2m 5f 185y,Warmer Days Ahead (FR),P T Enright,0,O McKiernan,NR,N/A,5,11-11tp,92,True,128,1
Downpatrick Racing Results | 15th July 2024 17:30,N/A,17:30,Good,2m 5f 185y,Townhill Penny (IRE),J C Gainford,0,G Elliott,PU,N/A,8,11-12b,93,True,128,1
Downpatrick Racing Results | 15th July 2024 17:30,N/A,17:30,Good,2m 5f 185y,Little Hero (IRE),S F O'Keeffe,0,Paul Mulligan,PU,N/A,5,11-4p1,85,True,128,1
Downpatrick Racing Results | 15th July 2024 17:30,N/A,17:30,Good,2m 5f 185y,Oldtown To Emly (IRE),J G Gilligan,7,K A Heffernan,12th,9 l,6,10-13t,80,True,128,1
Downpatrick Racing Results | 15th July 2024 17:30,N/A,17:30,Good,2m 5f 185y,Stockdale (IRE),A Harvey,7,Patrick Turley,11th,1/2 l,8,11-9t1,90,True,128,1
Downpatrick Racing Results | 15th July 2024 17:30,N/A,17:30,Good,2m 5f 185y,Mabel In May (IRE),K E Buckley,0,Conor Maxwell,10th,3/4 l,5,11-0,81,True,128,1
Downpatrick Racing Results | 15th July 2024 17:30,N/A,17:30,Good,2m 5f 185y,Hardy Buck (IRE),P Hanlon,7,J J Hanlon,9th,1 1/4 l,6,11-6b,87,True,128,1
Downpatrick Racing Results | 15th July 2024 17:30,N/A,17:30,Good,2m 5f 185y,Appian Way (FR),E M O'Sullivan,7,Robert Widger,8th,Short Head,8,11-5,86,True,128,1
Downpatrick Racing Results | 15th July 2024 17:30,N/A,17:30,Good,2m 5f 185y,Due Course (IRE),K M Donoghue,0,G P Cromwell,7th,3/4 l,6,11-10,91,True,128,1
Downpatrick Racing Results | 15th July 2024 17:30,N/A,17:30,Good,2m 5f 185y,Nomadic Star (IRE),J Smith,7,L Young,6th,6 1/2 l,9,10-13p,80,True,128,1
Downpatrick Racing Results | 15th July 2024 17:30,N/A,17:30,Good,2m 5f 185y,Cullenwaine (IRE),C Owens,7,P J Rothwell,5th,3 1/4 l,6,11-11p,92,True,128,1
Downpatrick Racing Results | 15th July 2024 17:30,N/A,17:30,Good,2m 5f 185y,Georgia Celena (IRE),B W Harvey,0,J C McConnell,4th,1 1/2 l,6,11-4,85,True,128,1
Downpatrick Racing Results | 15th July 2024 17:30,N/A,17:30,Good,2m 5f 185y,Meadow Soprano (DEN),D A Kidd,7,J C McConnell,3rd,2 1/2 l,6,11-6p,87,True,128,1
Downpatrick Racing Results | 15th July 2024 17:30,N/A,17:30,Good,2m 5f 185y,Mrs Biddle (IRE),J J Slevin,0,G J Power,2nd,1 1/2 l,6,11-5t,86,True,128,1
Downpatrick Racing Results | 15th July 2024 17:30,N/A,17:30,Good,2m 5f 185y,Scottish Dancer (IRE),H Morgan,0,E Doyle,1st,N/A,5,11-5b,86,True,128,1
Downpatrick Racing Results | 15th July 2024 17:30,N/A,17:30,Good,2m 5f 185y,Warmer Days Ahead (FR),P T Enright,0,O McKiernan,NR,N/A,5,11-11tp,92,True,128,1
Downpatrick Racing Results | 15th July 2024 17:30,N/A,17:30,Good,2m 5f 185y,Townhill Penny (IRE),J C Gainford,0,G Elliott,PU,N/A,8,11-12b,93,True,128,1
