track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Down Royal Racing Results | 19th July 2024 19:27,N/A,19:27,Good,1m 5f,Rushford,Amy Jo Hayes,2,T R Hughes,NR,N/A,5,9-0b1,56,True,129,1
Down Royal Racing Results | 19th July 2024 19:27,N/A,19:27,Good,1m 5f,Calmafterthestorm (IRE),C D Fahy,7,J C McConnell,NR,N/A,4,9-2,58,True,129,1
Down Royal Racing Results | 19th July 2024 19:27,N/A,19:27,Good,1m 5f,Falvio (POL),C M Hogan,7,C A McBratney,12th,36 l,6,10-9tp,79,True,129,1
Down Royal Racing Results | 19th July 2024 19:27,N/A,19:27,Good,1m 5f,My Kurkum,D S O'Sullivan,7,R K Watson,11th,6 1/2 l,6,9-3h,59,True,129,1
Down Royal Racing Results | 19th July 2024 19:27,N/A,19:27,Good,1m 5f,Whiskey Sour (IRE),S P Bird,7,S Wilson,10th,6 1/2 l,11,10-0,70,True,129,1
Down Royal Racing Results | 19th July 2024 19:27,N/A,19:27,Good,1m 5f,Dabana (IRE),C Horgan,2,J C McConnell,9th,2 l,5,9-10ht1,66,True,129,1
Down Royal Racing Results | 19th July 2024 19:27,N/A,19:27,Good,1m 5f,Beautiful Chaos (IRE),S R Markey,7,R O'Sullivan,8th,1 1/4 l,6,9-12,68,True,129,1
Down Royal Racing Results | 19th July 2024 19:27,N/A,19:27,Good,1m 5f,Whatcouldhavebeen (IRE),Neve Bennett,4,J P Fahey,7th,1 l,6,9-12p,68,True,129,1
Down Royal Racing Results | 19th July 2024 19:27,N/A,19:27,Good,1m 5f,Wild Shot,C Geerdharry,7,J C McConnell,6th,2 l,10,9-0t,56,True,129,1
Down Royal Racing Results | 19th July 2024 19:27,N/A,19:27,Good,1m 5f,Butterfly Garden (IRE),J Cleary,2,K Prendergast,5th,1/2 l,5,9-0,56,True,129,1
Down Royal Racing Results | 19th July 2024 19:27,N/A,19:27,Good,1m 5f,Jabbar (IRE),K G Kennedy,2,Gerard O'Leary,4th,3/4 l,5,10-5,75,True,129,1
Down Royal Racing Results | 19th July 2024 19:27,N/A,19:27,Good,1m 5f,Not Just Any Eagle (IRE),R Donaghue-Leahy,7,P J Flynn,3rd,1 3/4 l,5,9-13,69,True,129,1
Down Royal Racing Results | 19th July 2024 19:27,N/A,19:27,Good,1m 5f,Vidisha (FR),R M Mulligan,4,J P Murtagh,2nd,Short Head,4,9-12,68,True,129,1
