track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Spanish Maid (IRE),D Meyler,0,F J Flood,NR,N/A,6,10-13,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Intheblinkofaneye (IRE),Mr J L Gleeson,5,John E & Kiely,UR,N/A,6,10-13,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Stradbally Village (IRE),A M King,7,Ms M Flynn,PU,N/A,7,10-13p,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Ravenpoint (IRE),R Deegan,0,Liz Doyle,PU,N/A,5,10-13,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Meet My Loreley (IRE),M J M O'Sullivan,0,B Connell,PU,N/A,7,11-7t,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Yougoingforone (IRE),M Hamill,0,Shane O'Brien,PU,N/A,6,10-13,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Mother Ship (IRE),P Hanlon,7,J J Hanlon,8th,19 l,4,10-8,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Glorious Singer (IRE),D J O'Keeffe,0,Ms M Flynn,7th,3/4 l,9,10-13p,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Doyen Magic (IRE),C Stone-Walsh,5,P Nolan,6th,6 l,5,10-13t,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Sights Unseen (IRE),J J Slevin,0,S Slevin,5th,2 3/4 l,5,10-13,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Ballinvasas Best (IRE),L Quinlan,3,S Ryan,4th,15 l,6,10-13,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Workinonadream (IRE),S D Torrens,0,P J Rothwell,3rd,5 1/2 l,6,10-13,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Birmingham Alabama (IRE),E Walsh,0,E D Delany,2nd,N/A,5,10-13,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Gers Gigi (IRE),J W Kennedy,0,G Elliott,1st,Nose,5,11-7,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Spanish Maid (IRE),D Meyler,0,F J Flood,NR,N/A,6,10-13,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Intheblinkofaneye (IRE),Mr J L Gleeson,5,John E & Kiely,UR,N/A,6,10-13,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Stradbally Village (IRE),A M King,7,Ms M Flynn,PU,N/A,7,10-13p,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Ravenpoint (IRE),R Deegan,0,Liz Doyle,PU,N/A,5,10-13,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Meet My Loreley (IRE),M J M O'Sullivan,0,B Connell,PU,N/A,7,11-7t,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Yougoingforone (IRE),M Hamill,0,Shane O'Brien,PU,N/A,6,10-13,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Mother Ship (IRE),P Hanlon,7,J J Hanlon,8th,19 l,4,10-8,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Glorious Singer (IRE),D J O'Keeffe,0,Ms M Flynn,7th,3/4 l,9,10-13p,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Doyen Magic (IRE),C Stone-Walsh,5,P Nolan,6th,6 l,5,10-13t,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Sights Unseen (IRE),J J Slevin,0,S Slevin,5th,2 3/4 l,5,10-13,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Ballinvasas Best (IRE),L Quinlan,3,S Ryan,4th,15 l,6,10-13,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Workinonadream (IRE),S D Torrens,0,P J Rothwell,3rd,5 1/2 l,6,10-13,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Birmingham Alabama (IRE),E Walsh,0,E D Delany,2nd,N/A,5,10-13,-,True,130,1
Wexford Racing Results | 25th July 2024 17:00,N/A,17:00,Good To Yielding (Good In Places),2m 4f 100y,Gers Gigi (IRE),J W Kennedy,0,G Elliott,1st,Nose,5,11-7,-,True,130,1
Wexford Racing Results | 25th July 2024 17:35,N/A,17:35,Good To Yielding (Good In Places),2m 4f 100y,Gonetomillgrove (IRE),Aileen O'Sullivan,7,P J Rothwell,UR,N/A,6,10-11,89,True,130,2
Wexford Racing Results | 25th July 2024 17:35,N/A,17:35,Good To Yielding (Good In Places),2m 4f 100y,Schiehallion (IRE),Miss J Townend,0,D A McLoughlin,PU,N/A,7,11-5,97,True,130,2
Wexford Racing Results | 25th July 2024 17:35,N/A,17:35,Good To Yielding (Good In Places),2m 4f 100y,Duchamps Art (IRE),Maite Sarah Laubies,7,W P Mullins,F,N/A,4,10-5,88,True,130,2
