track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Grand Citadel (IRE),D S O'Sullivan,7,M Fenton,NR,N/A,3,9-5b,57,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Net A Porter Queen (IRE),K G Kennedy,4,Mrs J Harrington,NR,N/A,4,8-12p1,46,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Jackie Brown (IRE),M W Hassett,2,Mrs C O'Leary,NR,N/A,4,9-1t,50,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Conversant (IRE),C Horgan,4,Ciaran Murphy,NR,N/A,9,9-3tp,52,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Platino Bianco (IRE),P A Harnett,2,C Timmons,NR,N/A,3,9-12ht,64,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Grigal (IRE),Non Runner,0,R Brabazon,NR,N/A,5,9-11,60,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Sunday Sovereign,R Whearty,0,G A Kingston,NR,N/A,7,10-2,65,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Born Invincible (IRE),C Geerdharry,7,S M Duffy,11th,17 l,8,8-12t,37,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Cool Dan (IRE),S T McCullagh,0,L Breen,10th,3 1/4 l,3,9-9tp1,61,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Wayne R Walker,S P Bird,7,D Kinsella,9th,Neck,5,8-12t,46,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Elliott (IRE),H J Horgan,2,M G Quinn,8th,1 l,3,9-7,59,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Step Back In Time (IRE),C J MacRedmond,0,C Timmons,7th,1/2 l,6,9-3p,52,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Seas And Oceans (IRE),J Cleary,4,Eoghan O'Neill,6th,1 1/2 l,3,8-13b1,51,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Eriskay (IRE),Adam Caffrey,0,D K Weld,5th,3 l,5,8-13tp,48,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Livingston Range (IRE),D A Kidd,7,R Donohoe,4th,1 3/4 l,6,10-0t,63,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Theriverrunsdeep (IRE),W Joyce,0,S G O'Donnell,3rd,3/4 l,8,8-12p,46,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Viva Voce (IRE),R M Mulligan,7,Tom McGuinness,2nd,1/2 l,7,9-2,51,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Hero Of The Hour,J J G Ryan,0,T G McCourt,1st,N/A,7,9-13v,62,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Grand Citadel (IRE),D S O'Sullivan,7,M Fenton,NR,N/A,3,9-5b,57,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Net A Porter Queen (IRE),K G Kennedy,4,Mrs J Harrington,NR,N/A,4,8-12p1,46,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Jackie Brown (IRE),M W Hassett,2,Mrs C O'Leary,NR,N/A,4,9-1t,50,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Conversant (IRE),C Horgan,4,Ciaran Murphy,NR,N/A,9,9-3tp,52,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Platino Bianco (IRE),P A Harnett,2,C Timmons,NR,N/A,3,9-12ht,64,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Grigal (IRE),Non Runner,0,R Brabazon,NR,N/A,5,9-11,60,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Sunday Sovereign,R Whearty,0,G A Kingston,NR,N/A,7,10-2,65,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Born Invincible (IRE),C Geerdharry,7,S M Duffy,11th,17 l,8,8-12t,37,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Cool Dan (IRE),S T McCullagh,0,L Breen,10th,3 1/4 l,3,9-9tp1,61,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Wayne R Walker,S P Bird,7,D Kinsella,9th,Neck,5,8-12t,46,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Elliott (IRE),H J Horgan,2,M G Quinn,8th,1 l,3,9-7,59,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Step Back In Time (IRE),C J MacRedmond,0,C Timmons,7th,1/2 l,6,9-3p,52,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Seas And Oceans (IRE),J Cleary,4,Eoghan O'Neill,6th,1 1/2 l,3,8-13b1,51,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Eriskay (IRE),Adam Caffrey,0,D K Weld,5th,3 l,5,8-13tp,48,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Livingston Range (IRE),D A Kidd,7,R Donohoe,4th,1 3/4 l,6,10-0t,63,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Theriverrunsdeep (IRE),W Joyce,0,S G O'Donnell,3rd,3/4 l,8,8-12p,46,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Viva Voce (IRE),R M Mulligan,7,Tom McGuinness,2nd,1/2 l,7,9-2,51,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Hero Of The Hour,J J G Ryan,0,T G McCourt,1st,N/A,7,9-13v,62,True,132,1
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Distillate,Adam Caffrey,3,A McGuinness,NR,N/A,4,9-6t,67,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Mile End,B M Coen,0,Ciaran Murphy,NR,N/A,4,9-13b,74,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Loingseoir (IRE),D E Sheehy,0,M C Grassick,NR,N/A,8,9-12t,73,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Queenie St Clair (IRE),Kyle Faulkner,10,E D Delany,15th,3/4 l,4,9-4tp1,65,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Al Yasat (IRE),D E Sheehy,0,Miss K McGivern,14th,9 1/2 l,4,8-7,52,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Prisoner's Dilemma,D W O'Connor,0,J F Levins,13th,3 3/4 l,8,9-13p,74,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Still Rolling (IRE),R P Cleary,0,J S Bolger,12th,1 1/2 l,3,8-10,63,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Not Forgotten (IRE),R P Whelan,0,M Halford & T Collins,11th,4 1/2 l,4,10-2b,77,True,132,2
