track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Hastily,D Robinson,0,Tom McGuinness,PU,N/A,5,11-5,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,She's No Fool (IRE),Niall Moore,7,Frank Hayes,PU,N/A,6,10-11,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Big Reggie,L A McKenna,5,J G Cosgrave,12th,51 l,8,11-4,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Back O' The Net (IRE),B P Kennedy,7,Miss S J Harty,11th,1 3/4 l,8,11-4,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Backonthegoagain (IRE),A P Kelly,5,C Bowe,10th,Head,6,11-4,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Mullanour (IRE),J J Slevin,0,W J Martin,9th,20 l,5,11-4,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Jackson Lamb (IRE),A Harvey,7,J C McConnell,8th,1 l,5,11-12h,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Avalo (IRE),J Coen,3,Peter Fahey,7th,2 1/2 l,5,11-4,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Walmix (FR),D E Mullins,0,A Mullins,6th,10 l,6,11-12h,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Iamagetaway (IRE),K C Sexton,0,James Andrew Fahey,5th,3/4 l,5,11-4,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Sir Jimmy Mac (IRE),Sam Ewing,0,P W Flynn,4th,9 1/2 l,8,11-12,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Crooked Tannie (IRE),D J Gilligan,0,C Collins,3rd,5 l,5,11-12h,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Moonlight Jazz,Rachael Blackmore,0,H De Bromhead,2nd,1 3/4 l,5,11-4t,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Sunchart,C M Quirke,5,A Slattery,1st,N/A,7,11-12,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Hastily,D Robinson,0,Tom McGuinness,PU,N/A,5,11-5,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,She's No Fool (IRE),Niall Moore,7,Frank Hayes,PU,N/A,6,10-11,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Big Reggie,L A McKenna,5,J G Cosgrave,12th,51 l,8,11-4,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Back O' The Net (IRE),B P Kennedy,7,Miss S J Harty,11th,1 3/4 l,8,11-4,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Backonthegoagain (IRE),A P Kelly,5,C Bowe,10th,Head,6,11-4,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Mullanour (IRE),J J Slevin,0,W J Martin,9th,20 l,5,11-4,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Jackson Lamb (IRE),A Harvey,7,J C McConnell,8th,1 l,5,11-12h,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Avalo (IRE),J Coen,3,Peter Fahey,7th,2 1/2 l,5,11-4,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Walmix (FR),D E Mullins,0,A Mullins,6th,10 l,6,11-12h,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Iamagetaway (IRE),K C Sexton,0,James Andrew Fahey,5th,3/4 l,5,11-4,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Sir Jimmy Mac (IRE),Sam Ewing,0,P W Flynn,4th,9 1/2 l,8,11-12,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Crooked Tannie (IRE),D J Gilligan,0,C Collins,3rd,5 l,5,11-12h,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Moonlight Jazz,Rachael Blackmore,0,H De Bromhead,2nd,1 3/4 l,5,11-4t,-,True,133,1
Wexford Racing Results | 9th August 2024 16:55,N/A,16:55,Good To Yielding,2m 160y,Sunchart,C M Quirke,5,A Slattery,1st,N/A,7,11-12,-,True,133,1
Wexford Racing Results | 9th August 2024 17:30,N/A,17:30,Good To Yielding,2m 160y,Shana Cloon (IRE),K M Donoghue,0,G P Cromwell,NR,N/A,5,11-7,95,True,133,2
Wexford Racing Results | 9th August 2024 17:30,N/A,17:30,Good To Yielding,2m 160y,Ballycommon Chapel (IRE),R Deegan,0,R Donohoe,NR,N/A,6,11-0,88,True,133,2
Wexford Racing Results | 9th August 2024 17:30,N/A,17:30,Good To Yielding,2m 160y,Tropical Image (IRE),G B Noonan,5,E McCarthy,NR,N/A,7,11-0p1,88,True,133,2
Wexford Racing Results | 9th August 2024 17:30,N/A,17:30,Good To Yielding,2m 160y,Dreamz (IRE),J P Shinnick,7,T O'Brien,NR,N/A,7,11-8h,96,True,133,2
