track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Tramore Racing Results | 15th August 2024 17:20,N/A,17:20,Good (Good To Yielding In Places),1m 7f 120y,Bukhill (IRE),D E Mullins,0,Peter Fahey,UR,N/A,6,11-5p1,-,True,134,1
Tramore Racing Results | 15th August 2024 17:20,N/A,17:20,Good (Good To Yielding In Places),1m 7f 120y,Miss Oreo (IRE),J C Gainford,0,J J Hanlon,5th,15 l,6,11-5,-,True,134,1
Tramore Racing Results | 15th August 2024 17:20,N/A,17:20,Good (Good To Yielding In Places),1m 7f 120y,Varna Gold (IRE),K M Donoghue,0,P J Gilligan,4th,15 l,7,11-5t1,-,True,134,1
Tramore Racing Results | 15th August 2024 17:20,N/A,17:20,Good (Good To Yielding In Places),1m 7f 120y,Faux Fur (FR),J W Kennedy,0,G Elliott,3rd,1 1/4 l,5,11-5,-,True,134,1
Tramore Racing Results | 15th August 2024 17:20,N/A,17:20,Good (Good To Yielding In Places),1m 7f 120y,Still Ciel (IRE),Rachael Blackmore,0,H De Bromhead,2nd,Neck,7,11-5t,-,True,134,1
Tramore Racing Results | 15th August 2024 17:20,N/A,17:20,Good (Good To Yielding In Places),1m 7f 120y,Presenting Lad (IRE),P T Enright,0,M M McNiff,1st,N/A,8,11-9t,-,True,134,1
Tramore Racing Results | 15th August 2024 17:20,N/A,17:20,Good (Good To Yielding In Places),1m 7f 120y,Bukhill (IRE),D E Mullins,0,Peter Fahey,UR,N/A,6,11-5p1,-,True,134,1
Tramore Racing Results | 15th August 2024 17:20,N/A,17:20,Good (Good To Yielding In Places),1m 7f 120y,Miss Oreo (IRE),J C Gainford,0,J J Hanlon,5th,15 l,6,11-5,-,True,134,1
Tramore Racing Results | 15th August 2024 17:20,N/A,17:20,Good (Good To Yielding In Places),1m 7f 120y,Varna Gold (IRE),K M Donoghue,0,P J Gilligan,4th,15 l,7,11-5t1,-,True,134,1
Tramore Racing Results | 15th August 2024 17:20,N/A,17:20,Good (Good To Yielding In Places),1m 7f 120y,Faux Fur (FR),J W Kennedy,0,G Elliott,3rd,1 1/4 l,5,11-5,-,True,134,1
Tramore Racing Results | 15th August 2024 17:20,N/A,17:20,Good (Good To Yielding In Places),1m 7f 120y,Still Ciel (IRE),Rachael Blackmore,0,H De Bromhead,2nd,Neck,7,11-5t,-,True,134,1
Tramore Racing Results | 15th August 2024 17:20,N/A,17:20,Good (Good To Yielding In Places),1m 7f 120y,Presenting Lad (IRE),P T Enright,0,M M McNiff,1st,N/A,8,11-9t,-,True,134,1
Tramore Racing Results | 15th August 2024 17:50,N/A,17:50,Good (Good To Yielding In Places),2m 5f 180y,Mag Dillane (IRE),C P McNamara,0,E McNamara,7th,67 l,6,11-5,-,True,134,2
Tramore Racing Results | 15th August 2024 17:50,N/A,17:50,Good (Good To Yielding In Places),2m 5f 180y,Idol (FR),P T Enright,0,S Curling,6th,35 l,6,11-5,-,True,134,2
Tramore Racing Results | 15th August 2024 17:50,N/A,17:50,Good (Good To Yielding In Places),2m 5f 180y,Riggs (IRE),D Meyler,0,P Cluskey,5th,2 1/2 l,9,11-12b1,-,True,134,2
Tramore Racing Results | 15th August 2024 17:50,N/A,17:50,Good (Good To Yielding In Places),2m 5f 180y,Moon Rise Beauty (FR),P Townend,0,W P Mullins,4th,3 3/4 l,7,11-5t,-,True,134,2
Tramore Racing Results | 15th August 2024 17:50,N/A,17:50,Good (Good To Yielding In Places),2m 5f 180y,Just Three (IRE),J G Gilligan,7,P J Gilligan,3rd,10 l,7,11-12,-,True,134,2
Tramore Racing Results | 15th August 2024 17:50,N/A,17:50,Good (Good To Yielding In Places),2m 5f 180y,Killinure Lass (IRE),K M Donoghue,0,J P Dempsey,2nd,2 l,7,11-5,-,True,134,2
Tramore Racing Results | 15th August 2024 17:50,N/A,17:50,Good (Good To Yielding In Places),2m 5f 180y,Clifftop,K E Buckley,0,H Rogers,1st,N/A,8,11-12,-,True,134,2
Tramore Racing Results | 15th August 2024 17:50,N/A,17:50,Good (Good To Yielding In Places),2m 5f 180y,Mag Dillane (IRE),C P McNamara,0,E McNamara,7th,67 l,6,11-5,-,True,134,2
Tramore Racing Results | 15th August 2024 17:50,N/A,17:50,Good (Good To Yielding In Places),2m 5f 180y,Idol (FR),P T Enright,0,S Curling,6th,35 l,6,11-5,-,True,134,2
Tramore Racing Results | 15th August 2024 17:50,N/A,17:50,Good (Good To Yielding In Places),2m 5f 180y,Riggs (IRE),D Meyler,0,P Cluskey,5th,2 1/2 l,9,11-12b1,-,True,134,2
Tramore Racing Results | 15th August 2024 17:50,N/A,17:50,Good (Good To Yielding In Places),2m 5f 180y,Moon Rise Beauty (FR),P Townend,0,W P Mullins,4th,3 3/4 l,7,11-5t,-,True,134,2
