track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Rushford,C D Hayes,0,T R Hughes,NR,N/A,5,9-1,55,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Lady Christa (IRE),W J Lee,0,S Lavery,NR,N/A,4,10-0,68,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Polemon,A J Casey,10,D Hogan,NR,N/A,5,9-12tp,66,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Highland King (IRE),Siobhan Rutledge,3,J C McConnell,NR,N/A,5,9-11,65,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Tujjaar,S Foley,0,R O'Brien,15th,91 l,4,9-10,64,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Dakota Chief (IRE),C Horgan,7,Louise G Lyons,14th,52 l,4,10-0,68,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Jawhary,C J MacRedmond,5,A McGuinness,13th,4 1/2 l,6,9-8v,62,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Latinised,M W Hassett,5,M Hassett,12th,1 1/2 l,4,8-10,50,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Secret Rock (IRE),B M Coen,0,Mrs C O'Leary,11th,1 l,5,9-11t,65,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Bright Start (USA),K G Kennedy,7,S M Duffy,10th,4 1/2 l,7,9-0,54,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Numidia (IRE),K J Leonard,0,P Lawlor,9th,4 1/4 l,6,9-10v,64,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Status Green (IRE),G F Carroll,0,J G Murphy,8th,1/2 l,4,9-7p,61,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,King Arthurs Sword (IRE),C T Keane,0,M O'Callaghan,7th,4 1/4 l,7,9-5t,59,True,135,1
Roscommon Racing Results | 20th August 2024 20:20,N/A,20:20,Heavy,1m 4f 46y,Patrick Street,J J G Ryan,5,P Martin,6th,2 1/4 l,5,9-3tp,57,True,135,1
