track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Killarney Racing Results | 24th August 2024 16:50,N/A,16:50,Yielding,2m 7f 80y,Duffle Coat (IRE),J W Kennedy,0,G Elliott,NR,N/A,7,11-10p,-,True,136,1
Killarney Racing Results | 24th August 2024 16:50,N/A,16:50,Yielding,2m 7f 80y,Horantzau D'airy (FR),P Townend,0,W P Mullins,F,N/A,7,11-10t,-,True,136,1
Killarney Racing Results | 24th August 2024 16:50,N/A,16:50,Yielding,2m 7f 80y,Popova (IRE),Sam Ewing,0,H De Bromhead,5th,29 l,7,10-13t,-,True,136,1
Killarney Racing Results | 24th August 2024 16:50,N/A,16:50,Yielding,2m 7f 80y,Pink In The Park (IRE),D E Mullins,0,W P Mullins,4th,3 1/2 l,7,10-13,-,True,136,1
Killarney Racing Results | 24th August 2024 16:50,N/A,16:50,Yielding,2m 7f 80y,Magnor Glory (IRE),J P Shinnick,5,T O'Brien,3rd,30 l,8,11-6h,-,True,136,1
Killarney Racing Results | 24th August 2024 16:50,N/A,16:50,Yielding,2m 7f 80y,Solitary Man (IRE),D J O'Keeffe,0,E Bolger,2nd,4 3/4 l,6,11-10,-,True,136,1
Killarney Racing Results | 24th August 2024 16:50,N/A,16:50,Yielding,2m 7f 80y,Easy Fella (IRE),Rachael Blackmore,0,H De Bromhead,1st,N/A,7,11-6,-,True,136,1
Killarney Racing Results | 24th August 2024 16:50,N/A,16:50,Yielding,2m 7f 80y,Duffle Coat (IRE),J W Kennedy,0,G Elliott,NR,N/A,7,11-10p,-,True,136,1
Killarney Racing Results | 24th August 2024 16:50,N/A,16:50,Yielding,2m 7f 80y,Horantzau D'airy (FR),P Townend,0,W P Mullins,F,N/A,7,11-10t,-,True,136,1
Killarney Racing Results | 24th August 2024 16:50,N/A,16:50,Yielding,2m 7f 80y,Popova (IRE),Sam Ewing,0,H De Bromhead,5th,29 l,7,10-13t,-,True,136,1
Killarney Racing Results | 24th August 2024 16:50,N/A,16:50,Yielding,2m 7f 80y,Pink In The Park (IRE),D E Mullins,0,W P Mullins,4th,3 1/2 l,7,10-13,-,True,136,1
Killarney Racing Results | 24th August 2024 16:50,N/A,16:50,Yielding,2m 7f 80y,Magnor Glory (IRE),J P Shinnick,5,T O'Brien,3rd,30 l,8,11-6h,-,True,136,1
Killarney Racing Results | 24th August 2024 16:50,N/A,16:50,Yielding,2m 7f 80y,Solitary Man (IRE),D J O'Keeffe,0,E Bolger,2nd,4 3/4 l,6,11-10,-,True,136,1
Killarney Racing Results | 24th August 2024 16:50,N/A,16:50,Yielding,2m 7f 80y,Easy Fella (IRE),Rachael Blackmore,0,H De Bromhead,1st,N/A,7,11-6,-,True,136,1
Killarney Racing Results | 24th August 2024 17:25,N/A,17:25,Yielding,2m 4f 180y,Balkito (FR),J J Slevin,0,John F O'Neill,PU,N/A,9,10-6,120,True,136,2
Killarney Racing Results | 24th August 2024 17:25,N/A,17:25,Yielding,2m 4f 180y,Francky Du Berlais (FR),Mr J L Gleeson,5,P & M Bowen,13th,15 l,11,10-12tp,126,True,136,2
Killarney Racing Results | 24th August 2024 17:25,N/A,17:25,Yielding,2m 4f 180y,Grange Walk (IRE),D E Mullins,0,J P Ryan,12th,5 1/2 l,9,11-7b,135,True,136,2
Killarney Racing Results | 24th August 2024 17:25,N/A,17:25,Yielding,2m 4f 180y,Railway Hurricane (IRE),C Stone-Walsh,5,G P Cromwell,11th,21 l,9,11-6tb,134,True,136,2
Killarney Racing Results | 24th August 2024 17:25,N/A,17:25,Yielding,2m 4f 180y,Final Orders,K M Donoghue,0,G P Cromwell,10th,4 3/4 l,8,11-10,138,True,136,2
Killarney Racing Results | 24th August 2024 17:25,N/A,17:25,Yielding,2m 4f 180y,Tullybeg (IRE),C P Millar,7,G Elliott,9th,8 l,9,11-12t,140,True,136,2
Killarney Racing Results | 24th August 2024 17:25,N/A,17:25,Yielding,2m 4f 180y,Mars Harper,J W Kennedy,0,G Elliott,8th,4 1/2 l,8,11-9tp,137,True,136,2
Killarney Racing Results | 24th August 2024 17:25,N/A,17:25,Yielding,2m 4f 180y,Galon De Vauzelle (FR),S D Torrens,0,P J Rothwell,7th,7 1/2 l,8,10-0b,114,True,136,2
Killarney Racing Results | 24th August 2024 17:25,N/A,17:25,Yielding,2m 4f 180y,The Dasher Conway (IRE),D Meyler,0,Mrs G Callaghan,6th,9 l,9,11-5,133,True,136,2
