track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Applejack Poet (IRE),Non Runner,7,Liz Doyle,NR,N/A,7,11-11tb1,92,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Kartel And Co (FR),S D Torrens,0,P J Rothwell,NR,N/A,4,11-5p,89,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Forgothekeys (IRE),T Ryan,5,J F Gleeson,PU,N/A,5,11-6h,87,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Mr Macphisto (IRE),R A Doyle,0,E Griffin,12th,12 l,8,11-10t,91,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Duke Silver (IRE),R Deegan,0,J P O'Brien,11th,7 l,4,11-11,95,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Ordered Lives (IRE),Mr D M Fitzgerald,7,M P Fitzgerald,10th,18 l,9,11-6t,87,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Inchiquin Maid (IRE),D J O'Keeffe,0,D Budds,9th,1 l,5,11-8t,89,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,King In Love (FR),P T Enright,0,S Aherne,8th,9 1/2 l,4,11-9,93,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Get Down To It (IRE),K E Buckley,0,T Gibney,7th,2 l,5,11-13,94,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Fox Leicester (IRE),E Walsh,0,J M Burke,6th,3 l,8,11-12tp1,93,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Hatfield Hammer (IRE),J C Gainford,0,P Nolan,5th,1 1/4 l,5,11-6,87,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Katherine (IRE),H E Sexton,7,A Sexton,4th,5 1/2 l,7,11-9,90,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Dream Once More (IRE),S Fitzgerald,0,D Queally,3rd,1 1/4 l,5,11-7ht,88,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Bayou Belle (IRE),P T Smithers,7,J P Fahey,2nd,4 l,5,12-0,95,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Chutzpal (IRE),Ethan O'Sullivan,7,H De Bromhead,1st,N/A,5,12-7b,102,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Applejack Poet (IRE),Non Runner,7,Liz Doyle,NR,N/A,7,11-11tb1,92,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Kartel And Co (FR),S D Torrens,0,P J Rothwell,NR,N/A,4,11-5p,89,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Forgothekeys (IRE),T Ryan,5,J F Gleeson,PU,N/A,5,11-6h,87,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Mr Macphisto (IRE),R A Doyle,0,E Griffin,12th,12 l,8,11-10t,91,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Duke Silver (IRE),R Deegan,0,J P O'Brien,11th,7 l,4,11-11,95,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Ordered Lives (IRE),Mr D M Fitzgerald,7,M P Fitzgerald,10th,18 l,9,11-6t,87,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Inchiquin Maid (IRE),D J O'Keeffe,0,D Budds,9th,1 l,5,11-8t,89,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,King In Love (FR),P T Enright,0,S Aherne,8th,9 1/2 l,4,11-9,93,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Get Down To It (IRE),K E Buckley,0,T Gibney,7th,2 l,5,11-13,94,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Fox Leicester (IRE),E Walsh,0,J M Burke,6th,3 l,8,11-12tp1,93,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Hatfield Hammer (IRE),J C Gainford,0,P Nolan,5th,1 1/4 l,5,11-6,87,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Katherine (IRE),H E Sexton,7,A Sexton,4th,5 1/2 l,7,11-9,90,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Dream Once More (IRE),S Fitzgerald,0,D Queally,3rd,1 1/4 l,5,11-7ht,88,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Bayou Belle (IRE),P T Smithers,7,J P Fahey,2nd,4 l,5,12-0,95,True,137,1
Wexford Racing Results | 30th August 2024 16:30,N/A,16:30,Yielding,2m 190y,Chutzpal (IRE),Ethan O'Sullivan,7,H De Bromhead,1st,N/A,5,12-7b,102,True,137,1
Wexford Racing Results | 30th August 2024 17:05,N/A,17:05,Good To Yielding,2m 4f 100y,Rockbrook (IRE),S D Torrens,0,P J Rothwell,NR,N/A,7,11-6,94,True,137,2
Wexford Racing Results | 30th August 2024 17:05,N/A,17:05,Good To Yielding,2m 4f 100y,Whatsitabout (FR),C G O'Dwyer,5,M F Morris,NR,N/A,6,11-7t1,95,True,137,2
Wexford Racing Results | 30th August 2024 17:05,N/A,17:05,Good To Yielding,2m 4f 100y,Bobbi Gin Tree (IRE),D J O'Keeffe,0,H De Bromhead,F,N/A,5,12-0,102,True,137,2
Wexford Racing Results | 30th August 2024 17:05,N/A,17:05,Good To Yielding,2m 4f 100y,Francois (FR),Mr S J Butler,7,Mary Ellen Doyle,12th,31 l,9,11-11b,99,True,137,2
Wexford Racing Results | 30th August 2024 17:05,N/A,17:05,Good To Yielding,2m 4f 100y,Jeronimo De L'ouch (FR),J P Shinnick,5,M Kennedy,11th,17 l,5,11-5,93,True,137,2
Wexford Racing Results | 30th August 2024 17:05,N/A,17:05,Good To Yielding,2m 4f 100y,Sammy Smart,K E Buckley,0,T Gibney,10th,3 1/2 l,8,12-0,102,True,137,2
Wexford Racing Results | 30th August 2024 17:05,N/A,17:05,Good To Yielding,2m 4f 100y,Cruisin Susan (IRE),Mr J P Berry,7,J A Berry,9th,4 1/2 l,7,11-7,95,True,137,2
Wexford Racing Results | 30th August 2024 17:05,N/A,17:05,Good To Yielding,2m 4f 100y,Junot (IRE),B Hayes,0,M Winters,8th,2 1/4 l,5,11-7tp,95,True,137,2
Wexford Racing Results | 30th August 2024 17:05,N/A,17:05,Good To Yielding,2m 4f 100y,Glentruan (IRE),L Quinlan,3,Michael Flannery,7th,1 1/2 l,9,11-10tb,98,True,137,2
Wexford Racing Results | 30th August 2024 17:05,N/A,17:05,Good To Yielding,2m 4f 100y,Iridescent (IRE),K Callaghan,5,J Fogarty,6th,7 1/2 l,10,12-0,102,True,137,2
Wexford Racing Results | 30th August 2024 17:05,N/A,17:05,Good To Yielding,2m 4f 100y,Gekkota (FR),P T Enright,0,T J O'Mara,5th,4 1/2 l,8,11-9,97,True,137,2
Wexford Racing Results | 30th August 2024 17:05,N/A,17:05,Good To Yielding,2m 4f 100y,The Striker Dylan (IRE),R Deegan,0,L P Cusack,4th,1 1/2 l,6,11-7,95,True,137,2
Wexford Racing Results | 30th August 2024 17:05,N/A,17:05,Good To Yielding,2m 4f 100y,Intersky Sunset (IRE),S Fitzgerald,0,D Queally,3rd,1 l,7,11-8,96,True,137,2
Wexford Racing Results | 30th August 2024 17:05,N/A,17:05,Good To Yielding,2m 4f 100y,Technology (IRE),B W Harvey,0,J C McConnell,2nd,3 3/4 l,7,11-7t1,95,True,137,2
Wexford Racing Results | 30th August 2024 17:05,N/A,17:05,Good To Yielding,2m 4f 100y,Rampere West (IRE),R A Doyle,0,M Fahey,1st,N/A,4,11-5,97,True,137,2
Wexford Racing Results | 30th August 2024 17:05,N/A,17:05,Good To Yielding,2m 4f 100y,Rockbrook (IRE),S D Torrens,0,P J Rothwell,NR,N/A,7,11-6,94,True,137,2
