track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Tipperary Racing Results | 6th October 2024 13:20,N/A,13:20,Soft,1m 1f,Ro Ro (IRE),J A Heffernan,0,Kevin Coleman,10th,16 l,2,9-2,-,True,144,1
Tipperary Racing Results | 6th October 2024 13:20,N/A,13:20,Soft,1m 1f,Second Guess (IRE),J Cleary,7,A P O'Brien,9th,4 1/2 l,2,9-7,-,True,144,1
Tipperary Racing Results | 6th October 2024 13:20,N/A,13:20,Soft,1m 1f,Junkyard Dog (IRE),M P Sheehy,0,J P O'Brien,8th,6 l,2,9-7,-,True,144,1
Tipperary Racing Results | 6th October 2024 13:20,N/A,13:20,Soft,1m 1f,Medieval Night (IRE),C T Keane,0,D K Weld,7th,3 l,2,9-7b1,-,True,144,1
Tipperary Racing Results | 6th October 2024 13:20,N/A,13:20,Soft,1m 1f,Maarisha,M W Hassett,5,W P Browne,6th,1/2 l,2,9-2,-,True,144,1
Tipperary Racing Results | 6th October 2024 13:20,N/A,13:20,Soft,1m 1f,Minella Study,G F Carroll,0,J Nallen,5th,1 l,2,9-7,-,True,144,1
Tipperary Racing Results | 6th October 2024 13:20,N/A,13:20,Soft,1m 1f,Wackestone (IRE),R P Whelan,0,G Elliott,4th,1/2 l,2,9-7,-,True,144,1
Tipperary Racing Results | 6th October 2024 13:20,N/A,13:20,Soft,1m 1f,Eastwatch (IRE),A J Slattery,0,A Slattery,3rd,2 3/4 l,2,9-7,-,True,144,1
Tipperary Racing Results | 6th October 2024 13:20,N/A,13:20,Soft,1m 1f,Serious Contender (IRE),W M Lordan,0,A P O'Brien,2nd,2 1/2 l,2,9-7,-,True,144,1
Tipperary Racing Results | 6th October 2024 13:20,N/A,13:20,Soft,1m 1f,Emit (IRE),D P McDonogh,0,J P O'Brien,1st,N/A,2,9-7,-,True,144,1
Tipperary Racing Results | 6th October 2024 13:20,N/A,13:20,Soft,1m 1f,Ro Ro (IRE),J A Heffernan,0,Kevin Coleman,10th,16 l,2,9-2,-,True,144,1
Tipperary Racing Results | 6th October 2024 13:20,N/A,13:20,Soft,1m 1f,Second Guess (IRE),J Cleary,7,A P O'Brien,9th,4 1/2 l,2,9-7,-,True,144,1
Tipperary Racing Results | 6th October 2024 13:20,N/A,13:20,Soft,1m 1f,Junkyard Dog (IRE),M P Sheehy,0,J P O'Brien,8th,6 l,2,9-7,-,True,144,1
Tipperary Racing Results | 6th October 2024 13:20,N/A,13:20,Soft,1m 1f,Medieval Night (IRE),C T Keane,0,D K Weld,7th,3 l,2,9-7b1,-,True,144,1
Tipperary Racing Results | 6th October 2024 13:20,N/A,13:20,Soft,1m 1f,Maarisha,M W Hassett,5,W P Browne,6th,1/2 l,2,9-2,-,True,144,1
Tipperary Racing Results | 6th October 2024 13:20,N/A,13:20,Soft,1m 1f,Minella Study,G F Carroll,0,J Nallen,5th,1 l,2,9-7,-,True,144,1
Tipperary Racing Results | 6th October 2024 13:20,N/A,13:20,Soft,1m 1f,Wackestone (IRE),R P Whelan,0,G Elliott,4th,1/2 l,2,9-7,-,True,144,1
Tipperary Racing Results | 6th October 2024 13:20,N/A,13:20,Soft,1m 1f,Eastwatch (IRE),A J Slattery,0,A Slattery,3rd,2 3/4 l,2,9-7,-,True,144,1
Tipperary Racing Results | 6th October 2024 13:20,N/A,13:20,Soft,1m 1f,Serious Contender (IRE),W M Lordan,0,A P O'Brien,2nd,2 1/2 l,2,9-7,-,True,144,1
Tipperary Racing Results | 6th October 2024 13:20,N/A,13:20,Soft,1m 1f,Emit (IRE),D P McDonogh,0,J P O'Brien,1st,N/A,2,9-7,-,True,144,1
Tipperary Racing Results | 6th October 2024 13:55,N/A,13:55,Soft,1m 1f,Passionate (IRE),A J Slattery,0,A Slattery,9th,11 l,4,8-12v1,72,True,144,2
Tipperary Racing Results | 6th October 2024 13:55,N/A,13:55,Soft,1m 1f,Casanova,Adam Caffrey,3,A McGuinness,8th,Neck,8,9-11v,85,True,144,2
Tipperary Racing Results | 6th October 2024 13:55,N/A,13:55,Soft,1m 1f,Camelot Alexander (IRE),R P Whelan,0,Mrs J Harrington,7th,3 3/4 l,3,9-2,80,True,144,2
Tipperary Racing Results | 6th October 2024 13:55,N/A,13:55,Soft,1m 1f,Complete Fiction (IRE),Neve Bennett,7,J P Fahey,6th,1/2 l,7,9-6,80,True,144,2
Tipperary Racing Results | 6th October 2024 13:55,N/A,13:55,Soft,1m 1f,Titanium (FR),C T Keane,0,Ciaran Murphy,5th,2 3/4 l,5,10-2t,90,True,144,2
Tipperary Racing Results | 6th October 2024 13:55,N/A,13:55,Soft,1m 1f,Simply Sideways (IRE),M W Hassett,5,T Doyle,4th,1/2 l,7,9-9,83,True,144,2
Tipperary Racing Results | 6th October 2024 13:55,N/A,13:55,Soft,1m 1f,Vasda (IRE),H J Horgan,5,J P O'Brien,3rd,3/4 l,4,9-8t,82,True,144,2
Tipperary Racing Results | 6th October 2024 13:55,N/A,13:55,Soft,1m 1f,Fleetfoot (IRE),R P Cleary,0,J S Bolger,2nd,1 1/2 l,4,10-2t,90,True,144,2
Tipperary Racing Results | 6th October 2024 13:55,N/A,13:55,Soft,1m 1f,Kortez Bay (IRE),G F Carroll,0,S Lavery,1st,N/A,3,9-12,90,True,144,2
Tipperary Racing Results | 6th October 2024 13:55,N/A,13:55,Soft,1m 1f,Passionate (IRE),A J Slattery,0,A Slattery,9th,11 l,4,8-12v1,72,True,144,2
Tipperary Racing Results | 6th October 2024 13:55,N/A,13:55,Soft,1m 1f,Casanova,Adam Caffrey,3,A McGuinness,8th,Neck,8,9-11v,85,True,144,2
Tipperary Racing Results | 6th October 2024 13:55,N/A,13:55,Soft,1m 1f,Camelot Alexander (IRE),R P Whelan,0,Mrs J Harrington,7th,3 3/4 l,3,9-2,80,True,144,2
Tipperary Racing Results | 6th October 2024 13:55,N/A,13:55,Soft,1m 1f,Complete Fiction (IRE),Neve Bennett,7,J P Fahey,6th,1/2 l,7,9-6,80,True,144,2
Tipperary Racing Results | 6th October 2024 13:55,N/A,13:55,Soft,1m 1f,Titanium (FR),C T Keane,0,Ciaran Murphy,5th,2 3/4 l,5,10-2t,90,True,144,2
Tipperary Racing Results | 6th October 2024 13:55,N/A,13:55,Soft,1m 1f,Simply Sideways (IRE),M W Hassett,5,T Doyle,4th,1/2 l,7,9-9,83,True,144,2
Tipperary Racing Results | 6th October 2024 13:55,N/A,13:55,Soft,1m 1f,Vasda (IRE),H J Horgan,5,J P O'Brien,3rd,3/4 l,4,9-8t,82,True,144,2
Tipperary Racing Results | 6th October 2024 13:55,N/A,13:55,Soft,1m 1f,Fleetfoot (IRE),R P Cleary,0,J S Bolger,2nd,1 1/2 l,4,10-2t,90,True,144,2
Tipperary Racing Results | 6th October 2024 13:55,N/A,13:55,Soft,1m 1f,Kortez Bay (IRE),G F Carroll,0,S Lavery,1st,N/A,3,9-12,90,True,144,2
