track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Make Good (IRE),C D Hayes,0,S Crawley,NR,N/A,9,9-11tp,65,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Tudor Manor (IRE),R Donaghue-Leahy,7,P J Flynn,NR,N/A,8,9-10,64,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Bold Approach (IRE),R P Cleary,0,J S Bolger,NR,N/A,8,9-8t,62,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Spanish John (IRE),S Foley,0,P A Fahy,11th,3 1/2 l,6,9-3t,57,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Plains Indian (IRE),S Coen,10,A Slattery,10th,2 l,8,9-13,67,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Bynx (IRE),M W Hassett,5,M Hassett,9th,Neck,6,9-1t1,55,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Lilac Lady (IRE),D E Sheehy,0,M C Grassick,8th,1/2 l,4,8-7b,47,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Black Soul (IRE),C T Keane,0,John E & Kiely,7th,1/2 l,5,9-2t1,56,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Charlie Darling (FR),R Whearty,3,G P Cromwell,6th,Neck,4,9-6,60,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Autocrat (IRE),J M Sheridan,0,D Hogan,5th,3/4 l,4,9-8tp,62,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Cafe Con Leche (IRE),Adam Caffrey,3,C Byrnes,4th,2 3/4 l,8,9-5,59,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Building Bridges,W J Lee,0,Gary McGill,3rd,1 1/4 l,8,9-10p,64,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Sir Allen,A J Slattery,0,A Slattery,2nd,Neck,5,10-2p,70,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Empress Alma (IRE),G F Carroll,0,G P Cromwell,1st,N/A,3,9-4,67,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Make Good (IRE),C D Hayes,0,S Crawley,NR,N/A,9,9-11tp,65,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Tudor Manor (IRE),R Donaghue-Leahy,7,P J Flynn,NR,N/A,8,9-10,64,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Bold Approach (IRE),R P Cleary,0,J S Bolger,NR,N/A,8,9-8t,62,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Spanish John (IRE),S Foley,0,P A Fahy,11th,3 1/2 l,6,9-3t,57,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Plains Indian (IRE),S Coen,10,A Slattery,10th,2 l,8,9-13,67,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Bynx (IRE),M W Hassett,5,M Hassett,9th,Neck,6,9-1t1,55,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Lilac Lady (IRE),D E Sheehy,0,M C Grassick,8th,1/2 l,4,8-7b,47,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Black Soul (IRE),C T Keane,0,John E & Kiely,7th,1/2 l,5,9-2t1,56,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Charlie Darling (FR),R Whearty,3,G P Cromwell,6th,Neck,4,9-6,60,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Autocrat (IRE),J M Sheridan,0,D Hogan,5th,3/4 l,4,9-8tp,62,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Cafe Con Leche (IRE),Adam Caffrey,3,C Byrnes,4th,2 3/4 l,8,9-5,59,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Building Bridges,W J Lee,0,Gary McGill,3rd,1 1/4 l,8,9-10p,64,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Sir Allen,A J Slattery,0,A Slattery,2nd,Neck,5,10-2p,70,True,145,1
Thurles Racing Results | 10th October 2024 17:25,N/A,17:25,Good,2m 89y,Empress Alma (IRE),G F Carroll,0,G P Cromwell,1st,N/A,3,9-4,67,True,145,1
Tramore Racing Results | 10th October 2024 14:05,N/A,14:05,Yielding (Soft In Places),2m,Kathy Choice (IRE),P T Enright,0,J Dullea,NR,N/A,6,11-5,-,True,145,2
Tramore Racing Results | 10th October 2024 14:05,N/A,14:05,Yielding (Soft In Places),2m,King In Love (FR),S F O'Keeffe,0,S Aherne,NR,N/A,4,11-11,-,True,145,2
Tramore Racing Results | 10th October 2024 14:05,N/A,14:05,Yielding (Soft In Places),2m,Polly Poppins (IRE),G Brouder,5,Bernard Crowley,F,N/A,4,11-4h,-,True,145,2
Tramore Racing Results | 10th October 2024 14:05,N/A,14:05,Yielding (Soft In Places),2m,Shining Silver (IRE),S Fitzgerald,0,J P Ryan,F,N/A,6,11-5,-,True,145,2
Tramore Racing Results | 10th October 2024 14:05,N/A,14:05,Yielding (Soft In Places),2m,Shantou Princess (IRE),K M Donoghue,0,G P Cromwell,BD,N/A,5,11-5p1,-,True,145,2
Tramore Racing Results | 10th October 2024 14:05,N/A,14:05,Yielding (Soft In Places),2m,Finnicky Filly (IRE),D E Mullins,0,J P Ryan,8th,6 l,6,11-5,-,True,145,2
