track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Romantic Samurai (IRE),C D Hayes,0,Eoghan O'Neill,14th,11 l,3,8-13p1,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,A Daughtersdelight (IRE),S Coen,10,P Magee,13th,2 1/2 l,3,9-5tb,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Saxon Kingdom (IRE),D E Sheehy,0,P J Rothwell,12th,Head,3,9-0b,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Tassarolo,A J Casey,10,D Hogan,11th,Neck,3,9-10,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Belles Feuilles (FR),D McMonagle,0,Mrs C O'Leary,10th,2 l,4,9-3t,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Munroh,D S O'Sullivan,7,Mrs C O'Leary,9th,1/2 l,4,9-3t,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Academy Winner (USA),J M Sheridan,0,D Hogan,8th,1 1/2 l,3,9-5b1,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Zahee (IRE),K G Kennedy,7,J C McConnell,7th,1 1/2 l,9,9-4ht,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Nedita (IRE),L T McAteer,0,D Marnane,6th,1 1/2 l,3,9-10h1,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Red Special (USA),W J Lee,0,W McCreery,5th,1/2 l,4,9-3b1,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Shining Aitch,J J G Ryan,3,T G McCourt,4th,1/2 l,7,9-6tv,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Distillate,Adam Caffrey,3,A McGuinness,3rd,4 l,4,9-10t,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Dark Viper,S Foley,0,Mrs J Harrington,2nd,1/2 l,3,9-13p,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Redemptive Power (IRE),R Whearty,3,G P Cromwell,1st,N/A,3,9-7,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Romantic Samurai (IRE),C D Hayes,0,Eoghan O'Neill,14th,11 l,3,8-13p1,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,A Daughtersdelight (IRE),S Coen,10,P Magee,13th,2 1/2 l,3,9-5tb,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Saxon Kingdom (IRE),D E Sheehy,0,P J Rothwell,12th,Head,3,9-0b,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Tassarolo,A J Casey,10,D Hogan,11th,Neck,3,9-10,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Belles Feuilles (FR),D McMonagle,0,Mrs C O'Leary,10th,2 l,4,9-3t,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Munroh,D S O'Sullivan,7,Mrs C O'Leary,9th,1/2 l,4,9-3t,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Academy Winner (USA),J M Sheridan,0,D Hogan,8th,1 1/2 l,3,9-5b1,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Zahee (IRE),K G Kennedy,7,J C McConnell,7th,1 1/2 l,9,9-4ht,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Nedita (IRE),L T McAteer,0,D Marnane,6th,1 1/2 l,3,9-10h1,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Red Special (USA),W J Lee,0,W McCreery,5th,1/2 l,4,9-3b1,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Shining Aitch,J J G Ryan,3,T G McCourt,4th,1/2 l,7,9-6tv,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Distillate,Adam Caffrey,3,A McGuinness,3rd,4 l,4,9-10t,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Dark Viper,S Foley,0,Mrs J Harrington,2nd,1/2 l,3,9-13p,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:14,N/A,14:14,Standard,1m,Redemptive Power (IRE),R Whearty,3,G P Cromwell,1st,N/A,3,9-7,-,True,149,1
Dundalk Racing Results | 30th October 2024 14:44,N/A,14:44,Standard,1m,Signor Ferrari (IRE),B M Coen,0,P J F Murphy,NR,N/A,3,9-10,67,True,149,2
Dundalk Racing Results | 30th October 2024 14:44,N/A,14:44,Standard,1m,Del Posto,K G Kennedy,7,W J Lanigan,11th,12 l,3,8-7b,42,True,149,2
Dundalk Racing Results | 30th October 2024 14:44,N/A,14:44,Standard,1m,The Bog Bank (IRE),J J G Ryan,3,T G McCourt,10th,Neck,7,9-13tp,67,True,149,2
Dundalk Racing Results | 30th October 2024 14:44,N/A,14:44,Standard,1m,Timana (IRE),G M Ryan,0,Ms J Morgan,9th,1 1/2 l,3,9-9,66,True,149,2
Dundalk Racing Results | 30th October 2024 14:44,N/A,14:44,Standard,1m,Rodeeve,M W Hassett,5,M J Browne,8th,3 1/2 l,3,9-8t1,65,True,149,2
Dundalk Racing Results | 30th October 2024 14:44,N/A,14:44,Standard,1m,Lauroline,D McMonagle,0,P W Flynn,7th,1/2 l,5,9-5,59,True,149,2
Dundalk Racing Results | 30th October 2024 14:44,N/A,14:44,Standard,1m,Profit Surge (IRE),N M Crosse,0,J Geoghegan,6th,1/2 l,3,9-5,62,True,149,2
Dundalk Racing Results | 30th October 2024 14:44,N/A,14:44,Standard,1m,Thompson Gunner (IRE),S Foley,0,Cian Hughes,5th,1 l,3,9-12,69,True,149,2
Dundalk Racing Results | 30th October 2024 14:44,N/A,14:44,Standard,1m,Chet's Fancy (IRE),C D Hayes,0,D K Weld,4th,2 1/2 l,3,8-7b1,50,True,149,2
Dundalk Racing Results | 30th October 2024 14:44,N/A,14:44,Standard,1m,Encosta (IRE),R Whearty,3,N Meade,3rd,Short Head,4,10-2,70,True,149,2
Dundalk Racing Results | 30th October 2024 14:44,N/A,14:44,Standard,1m,Zabeir (IRE),D P McDonogh,0,D Kinsella,2nd,Short Head,5,9-13tp,67,True,149,2
Dundalk Racing Results | 30th October 2024 14:44,N/A,14:44,Standard,1m,Skontonovski,Adam Caffrey,3,A McGuinness,1st,N/A,7,9-13v,67,True,149,2
Dundalk Racing Results | 30th October 2024 14:44,N/A,14:44,Standard,1m,Signor Ferrari (IRE),B M Coen,0,P J F Murphy,NR,N/A,3,9-10,67,True,149,2
Dundalk Racing Results | 30th October 2024 14:44,N/A,14:44,Standard,1m,Del Posto,K G Kennedy,7,W J Lanigan,11th,12 l,3,8-7b,42,True,149,2
Dundalk Racing Results | 30th October 2024 14:44,N/A,14:44,Standard,1m,The Bog Bank (IRE),J J G Ryan,3,T G McCourt,10th,Neck,7,9-13tp,67,True,149,2
Dundalk Racing Results | 30th October 2024 14:44,N/A,14:44,Standard,1m,Timana (IRE),G M Ryan,0,Ms J Morgan,9th,1 1/2 l,3,9-9,66,True,149,2
Dundalk Racing Results | 30th October 2024 14:44,N/A,14:44,Standard,1m,Rodeeve,M W Hassett,5,M J Browne,8th,3 1/2 l,3,9-8t1,65,True,149,2
Dundalk Racing Results | 30th October 2024 14:44,N/A,14:44,Standard,1m,Lauroline,D McMonagle,0,P W Flynn,7th,1/2 l,5,9-5,59,True,149,2
Dundalk Racing Results | 30th October 2024 14:44,N/A,14:44,Standard,1m,Profit Surge (IRE),N M Crosse,0,J Geoghegan,6th,1/2 l,3,9-5,62,True,149,2
Dundalk Racing Results | 30th October 2024 14:44,N/A,14:44,Standard,1m,Thompson Gunner (IRE),S Foley,0,Cian Hughes,5th,1 l,3,9-12,69,True,149,2
Dundalk Racing Results | 30th October 2024 14:44,N/A,14:44,Standard,1m,Chet's Fancy (IRE),C D Hayes,0,D K Weld,4th,2 1/2 l,3,8-7b1,50,True,149,2
Dundalk Racing Results | 30th October 2024 14:44,N/A,14:44,Standard,1m,Encosta (IRE),R Whearty,3,N Meade,3rd,Short Head,4,10-2,70,True,149,2
Dundalk Racing Results | 30th October 2024 14:44,N/A,14:44,Standard,1m,Zabeir (IRE),D P McDonogh,0,D Kinsella,2nd,Short Head,5,9-13tp,67,True,149,2
Dundalk Racing Results | 30th October 2024 14:44,N/A,14:44,Standard,1m,Skontonovski,Adam Caffrey,3,A McGuinness,1st,N/A,7,9-13v,67,True,149,2
Dundalk Racing Results | 30th October 2024 15:14,N/A,15:14,Standard,6f,Little Lando (IRE),L T McAteer,0,D Marnane,12th,2 l,2,9-5,-,True,149,3
Dundalk Racing Results | 30th October 2024 15:14,N/A,15:14,Standard,6f,Muine Mor (IRE),R Whearty,3,G P Cromwell,11th,1 1/4 l,2,8-10,-,True,149,3
