track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Harry's Bar,R P Whelan,0,Stephen Thorne,NR,N/A,9,10-0tp,97,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Jered Maddox,N M Crosse,0,D Marnane,8th,2 1/2 l,8,8-9,78,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Moltophino (IRE),K G Kennedy,7,J A Kinsella,7th,1/2 l,3,8-8tv,77,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Inishmot Prince (IRE),J J G Ryan,3,T G McCourt,6th,1 1/2 l,6,9-3v,86,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Dream Today (IRE),J A Powell,3,Stephen Thorne,5th,2 1/2 l,9,8-12tp,81,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,James Henry (IRE),C D Hayes,0,L Breen,4th,1/2 l,5,8-7,76,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Daamberdiplomat (IRE),R M Mulligan,7,J P Murtagh,3rd,1/2 l,4,9-7,90,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Dontspoilasale (IRE),Adam Caffrey,3,A McGuinness,2nd,3/4 l,4,9-4,87,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Apache Outlaw (IRE),C T Keane,0,A McGuinness,1st,N/A,4,9-6,89,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Harry's Bar,R P Whelan,0,Stephen Thorne,NR,N/A,9,10-0tp,97,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Jered Maddox,N M Crosse,0,D Marnane,8th,2 1/2 l,8,8-9,78,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Moltophino (IRE),K G Kennedy,7,J A Kinsella,7th,1/2 l,3,8-8tv,77,True,153,1
Dundalk Racing Results | 27th November 2024 15:55,N/A,15:55,Standard,6f,Inishmot Prince (IRE),J J G Ryan,3,T G McCourt,6th,1 1/2 l,6,9-3v,86,True,153,1
