track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Hi George (IRE),Non Runner,0,N Slevin,NR,N/A,2,9-7,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Argent Rapide (IRE),J M Sheridan,0,A McCann,9th,32 l,2,9-2,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,The Duke Mardukas,D E Sheehy,0,J P Murtagh,8th,1/2 l,2,9-7b,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Cali Case,L F Roche,0,M O'Callaghan,7th,1 l,2,9-7ht1,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Little Lando (IRE),L T McAteer,0,D Marnane,6th,3 1/4 l,2,9-7,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Tino Pai (IRE),R P Cleary,0,S Lavery,5th,1 l,2,9-2,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Bansha Belle (IRE),J J G Ryan,3,Stephen Thorne,4th,Neck,2,9-2b1,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Hello Luna (FR),D P McDonogh,0,J P O'Brien,3rd,1 1/2 l,2,9-2,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Sharkii (IRE),R P Whelan,0,D Dias,2nd,1/2 l,2,9-7t,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Ohmyviette (FR),M Santos,0,W P Browne,1st,N/A,2,9-7,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Hi George (IRE),Non Runner,0,N Slevin,NR,N/A,2,9-7,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Argent Rapide (IRE),J M Sheridan,0,A McCann,9th,32 l,2,9-2,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,The Duke Mardukas,D E Sheehy,0,J P Murtagh,8th,1/2 l,2,9-7b,-,True,154,1
Dundalk Racing Results | 4th December 2024 15:30,N/A,15:30,Standard,5f,Cali Case,L F Roche,0,M O'Callaghan,7th,1 l,2,9-7ht1,-,True,154,1
