track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Cork Racing Results | 13th December 2024 14:12,N/A,14:12,Yielding,2m 4f,Spatman De Cerisy (FR),S F O'Keeffe,0,P Nolan,NR,N/A,5,11-11,92,True,155,1
Cork Racing Results | 13th December 2024 14:12,N/A,14:12,Yielding,2m 4f,Who Ate The Jam (IRE),Mr P W Gleeson,7,J F Gleeson,PU,N/A,6,11-4,85,True,155,1
Cork Racing Results | 13th December 2024 14:12,N/A,14:12,Yielding,2m 4f,Volez Vous (IRE),C Stone-Walsh,5,D Deacon,PU,N/A,5,10-13,80,True,155,1
Cork Racing Results | 13th December 2024 14:12,N/A,14:12,Yielding,2m 4f,Sea The Sunset,T P Harney,7,J Morrison,PU,N/A,5,11-11,92,True,155,1
Cork Racing Results | 13th December 2024 14:12,N/A,14:12,Yielding,2m 4f,Ballycommon Chapel (IRE),D E Mullins,0,R Donohoe,PU,N/A,6,11-5b,86,True,155,1
Cork Racing Results | 13th December 2024 14:12,N/A,14:12,Yielding,2m 4f,Glorious Singer (IRE),E M O'Sullivan,7,Ms M Flynn,PU,N/A,9,10-13p,80,True,155,1
Cork Racing Results | 13th December 2024 14:12,N/A,14:12,Yielding,2m 4f,Manhattan Brook (IRE),Eoin G Kelly,7,A Murray,14th,11 l,6,10-13t1,80,True,155,1
Cork Racing Results | 13th December 2024 14:12,N/A,14:12,Yielding,2m 4f,Callmedusty (IRE),J C Gainford,0,C Collins,13th,7 l,6,11-10t,91,True,155,1
Cork Racing Results | 13th December 2024 14:12,N/A,14:12,Yielding,2m 4f,Mr Mcwhinny (IRE),J G Gilligan,5,P J Gilligan,12th,3/4 l,6,11-6t,87,True,155,1
Cork Racing Results | 13th December 2024 14:12,N/A,14:12,Yielding,2m 4f,I'vedoneitall (IRE),H E Sexton,7,E Sheehy,11th,1 1/2 l,7,10-13b,80,True,155,1
Cork Racing Results | 13th December 2024 14:12,N/A,14:12,Yielding,2m 4f,A Nod To Getaway (IRE),T Power Roche,7,P O'Flynn,10th,1 3/4 l,7,11-5t,86,True,155,1
Cork Racing Results | 13th December 2024 14:12,N/A,14:12,Yielding,2m 4f,The Mass Path (IRE),R P Treacy,0,C Byrnes,9th,1 1/2 l,7,12-0,95,True,155,1
Cork Racing Results | 13th December 2024 14:12,N/A,14:12,Yielding,2m 4f,Likable Chancer (IRE),D King,0,D Howard,8th,3 3/4 l,10,10-13tb,80,True,155,1
Cork Racing Results | 13th December 2024 14:12,N/A,14:12,Yielding,2m 4f,Nevereverever (IRE),R A Doyle,0,J J Murphy,7th,8 l,5,11-13,94,True,155,1
Cork Racing Results | 13th December 2024 14:12,N/A,14:12,Yielding,2m 4f,Donegal Danny (IRE),C M Quirke,5,M J McDonagh,6th,4 1/4 l,6,11-9t,90,True,155,1
Cork Racing Results | 13th December 2024 14:12,N/A,14:12,Yielding,2m 4f,Garcon Doux (IRE),D J O'Keeffe,0,P Fenton,5th,6 1/2 l,8,11-6b,87,True,155,1
Cork Racing Results | 13th December 2024 14:12,N/A,14:12,Yielding,2m 4f,Lilian Bland (IRE),J P Shinnick,5,N P Hennessy,4th,1 1/2 l,8,11-7h,88,True,155,1
Cork Racing Results | 13th December 2024 14:12,N/A,14:12,Yielding,2m 4f,Knocknagoran Lady (IRE),S W Flanagan,0,Cian Hughes,3rd,8 l,5,11-5t1,86,True,155,1
Cork Racing Results | 13th December 2024 14:12,N/A,14:12,Yielding,2m 4f,One And Only (IRE),P T Enright,0,O McKiernan,2nd,1/2 l,6,11-13tp,94,True,155,1
Cork Racing Results | 13th December 2024 14:12,N/A,14:12,Yielding,2m 4f,Crowsatedappletart (IRE),G Brouder,5,M Winters,1st,N/A,7,12-0,95,True,155,1
Cork Racing Results | 13th December 2024 14:12,N/A,14:12,Yielding,2m 4f,Spatman De Cerisy (FR),S F O'Keeffe,0,P Nolan,NR,N/A,5,11-11,92,True,155,1
Cork Racing Results | 13th December 2024 14:12,N/A,14:12,Yielding,2m 4f,Who Ate The Jam (IRE),Mr P W Gleeson,7,J F Gleeson,PU,N/A,6,11-4,85,True,155,1
Cork Racing Results | 13th December 2024 14:12,N/A,14:12,Yielding,2m 4f,Volez Vous (IRE),C Stone-Walsh,5,D Deacon,PU,N/A,5,10-13,80,True,155,1
