track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Cork Racing Results | 17th January 2025 14:15,N/A,14:15,Yielding To Soft,2m 4f,Finest Evermore (IRE),D E Mullins,0,P Hennessy,9th,16 l,9,12-0,132,True,159,1
Cork Racing Results | 17th January 2025 14:15,N/A,14:15,Yielding To Soft,2m 4f,Ad Caelum (IRE),S F O'Keeffe,0,J P Ryan,8th,29 l,6,10-6,110,True,159,1
Cork Racing Results | 17th January 2025 14:15,N/A,14:15,Yielding To Soft,2m 4f,Cooltubrid Eva (IRE),M P O'Connor,0,Diarmuid P Ryan,7th,3 1/4 l,6,10-0,104,True,159,1
Cork Racing Results | 17th January 2025 14:15,N/A,14:15,Yielding To Soft,2m 4f,Bynx (IRE),R P Treacy,0,M Hassett,6th,4 1/4 l,7,10-6,110,True,159,1
Cork Racing Results | 17th January 2025 14:15,N/A,14:15,Yielding To Soft,2m 4f,Lucky Viv (IRE),C Stone-Walsh,5,Michael Barry,5th,1/2 l,7,10-0,104,True,159,1
Cork Racing Results | 17th January 2025 14:15,N/A,14:15,Yielding To Soft,2m 4f,Deons Diamond (IRE),T Power Roche,7,P J Rothwell,4th,3 1/2 l,6,10-4,108,True,159,1
Cork Racing Results | 17th January 2025 14:15,N/A,14:15,Yielding To Soft,2m 4f,Gers Gigi (IRE),Sam Ewing,0,G Elliott,3rd,2 1/2 l,6,10-11,115,True,159,1
Cork Racing Results | 17th January 2025 14:15,N/A,14:15,Yielding To Soft,2m 4f,Slim Marvel (FR),P K Donovan,5,A Slattery,2nd,1 1/4 l,7,10-0,104,True,159,1
Cork Racing Results | 17th January 2025 14:15,N/A,14:15,Yielding To Soft,2m 4f,Cast A Spell (IRE),C M Quirke,5,T Hogan,1st,N/A,7,10-9v,113,True,159,1
Cork Racing Results | 17th January 2025 14:15,N/A,14:15,Yielding To Soft,2m 4f,Finest Evermore (IRE),D E Mullins,0,P Hennessy,9th,16 l,9,12-0,132,True,159,1
Cork Racing Results | 17th January 2025 14:15,N/A,14:15,Yielding To Soft,2m 4f,Ad Caelum (IRE),S F O'Keeffe,0,J P Ryan,8th,29 l,6,10-6,110,True,159,1
Cork Racing Results | 17th January 2025 14:15,N/A,14:15,Yielding To Soft,2m 4f,Cooltubrid Eva (IRE),M P O'Connor,0,Diarmuid P Ryan,7th,3 1/4 l,6,10-0,104,True,159,1
