track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Clonmel Racing Results | 13th February 2025 13:45,N/A,13:45,Soft (Yielding In Places),3m 24y,Kalnoo (IRE),C M Quirke,0,P Kiely,3rd,23 l,8,10-7,-,True,162,1
Clonmel Racing Results | 13th February 2025 13:45,N/A,13:45,Soft (Yielding In Places),3m 24y,Ballygunner Castle (IRE),P Townend,0,W P Mullins,2nd,1/2 l,6,11-0ht1,-,True,162,1
Clonmel Racing Results | 13th February 2025 13:45,N/A,13:45,Soft (Yielding In Places),3m 24y,Ballybow (IRE),Sam Ewing,0,G Elliott,1st,N/A,6,11-0,-,True,162,1
Clonmel Racing Results | 13th February 2025 13:45,N/A,13:45,Soft (Yielding In Places),3m 24y,Kalnoo (IRE),C M Quirke,0,P Kiely,3rd,23 l,8,10-7,-,True,162,1
Clonmel Racing Results | 13th February 2025 13:45,N/A,13:45,Soft (Yielding In Places),3m 24y,Ballygunner Castle (IRE),P Townend,0,W P Mullins,2nd,1/2 l,6,11-0ht1,-,True,162,1
Clonmel Racing Results | 13th February 2025 13:45,N/A,13:45,Soft (Yielding In Places),3m 24y,Ballybow (IRE),Sam Ewing,0,G Elliott,1st,N/A,6,11-0,-,True,162,1
Clonmel Racing Results | 13th February 2025 14:20,N/A,14:20,Soft (Yielding In Places),2m 21y,Royal Reprobate (IRE),K M Donoghue,0,G P Cromwell,14th,7 l,5,11-12,98,True,162,2
Clonmel Racing Results | 13th February 2025 14:20,N/A,14:20,Soft (Yielding In Places),2m 21y,Thats All (IRE),Mr D Doyle,7,T Doyle,13th,16 l,8,10-13t,85,True,162,2
Clonmel Racing Results | 13th February 2025 14:20,N/A,14:20,Soft (Yielding In Places),2m 21y,Big Dispute (IRE),P T Enright,0,Con McSweeney,12th,3 3/4 l,6,11-9,95,True,162,2
Clonmel Racing Results | 13th February 2025 14:20,N/A,14:20,Soft (Yielding In Places),2m 21y,I Dont Lie (IRE),S W Flanagan,0,Mrs D Foster,11th,4 3/4 l,5,11-1,87,True,162,2
Clonmel Racing Results | 13th February 2025 14:20,N/A,14:20,Soft (Yielding In Places),2m 21y,Tubberfinn Lady (IRE),J C Gainford,0,M Mulvany,10th,13 l,5,11-0t,86,True,162,2
