track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Beckistine (IRE),L A McKenna,5,M A Molloy,NR,N/A,6,11-12,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,The Sugarhill Lady (IRE),C P McNamara,0,E McNamara,PU,N/A,5,11-5t,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Captain Porridge (IRE),J C Gainford,0,E D Delany,13th,1 1/4 l,5,11-12h,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Mack The Chemist (IRE),Rachael Blackmore,0,H De Bromhead,12th,10 l,5,11-12,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Heather View (IRE),C M Quirke,3,D H Kelly,11th,2 l,5,11-5t,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,O' Bon Pardon (FR),S F O'Keeffe,0,P Nolan,10th,1/2 l,5,11-12,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,The Mail Train (IRE),R P Treacy,0,D H Kelly,9th,2 3/4 l,6,11-12b1,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Cyrus Field (IRE),D J Gilligan,0,C Collins,8th,11 l,5,11-12p1,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Dollymount (IRE),P K Donovan,5,C W J Farrell,7th,3 l,5,11-5,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Roxboro River (IRE),P Hanlon,7,J J Hanlon,6th,6 l,6,11-12,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Midnight Eagle (IRE),Cian Cullinan,7,Aengus King,5th,Neck,5,11-5,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Washington Parks (IRE),H Morgan,0,Bernard Crowley,4th,1 1/2 l,6,11-12,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Set My Love Free (IRE),D E Mullins,0,J P Ryan,3rd,1 1/4 l,8,11-5,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Stretchemout (IRE),J W Kennedy,0,G Elliott,2nd,Neck,5,11-5tp1,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Are You Busy (IRE),A P Kelly,5,R Sweeney,1st,N/A,6,11-5,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Beckistine (IRE),L A McKenna,5,M A Molloy,NR,N/A,6,11-12,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,The Sugarhill Lady (IRE),C P McNamara,0,E McNamara,PU,N/A,5,11-5t,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Captain Porridge (IRE),J C Gainford,0,E D Delany,13th,1 1/4 l,5,11-12h,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Mack The Chemist (IRE),Rachael Blackmore,0,H De Bromhead,12th,10 l,5,11-12,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Heather View (IRE),C M Quirke,3,D H Kelly,11th,2 l,5,11-5t,-,True,164,1
