track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,I Am Superman (IRE),J A Powell,3,M O'Callaghan,12th,12 l,9,9-10tb,96,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Rappell (IRE),Nicola Burns,7,P W Flynn,11th,3 3/4 l,4,8-7,79,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Merisi Diamond (IRE),R P Whelan,0,Ms J Morgan,10th,3/4 l,6,9-0t,86,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Go Athletico (FR),C T Keane,0,A McGuinness,9th,1/2 l,7,9-12tp1,98,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Emerald Harmony (IRE),R M Mulligan,7,J P Murtagh,8th,1 3/4 l,4,8-7,79,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Betsen,J J G Ryan,0,J Davison,7th,Neck,4,9-7,93,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Stag Night (IRE),W J Lee,0,W McCreery,6th,Head,7,9-7,93,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Staysound Susie (IRE),A J Slattery,0,A Slattery,5th,Short Head,4,8-11,83,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Apache Outlaw (IRE),Adam Caffrey,0,A McGuinness,4th,1 1/2 l,5,9-3,89,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Big Gossey (IRE),R Whearty,3,C O'Brien,3rd,1/2 l,8,10-5t,105,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Love Billy Boy (IRE),S Foley,0,Gerard O'Leary,2nd,Neck,4,8-12,84,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Laugh A Minute,C D Hayes,0,Stephen Thorne,1st,N/A,10,8-10,82,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,I Am Superman (IRE),J A Powell,3,M O'Callaghan,12th,12 l,9,9-10tb,96,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Rappell (IRE),Nicola Burns,7,P W Flynn,11th,3 3/4 l,4,8-7,79,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Merisi Diamond (IRE),R P Whelan,0,Ms J Morgan,10th,3/4 l,6,9-0t,86,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Go Athletico (FR),C T Keane,0,A McGuinness,9th,1/2 l,7,9-12tp1,98,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Emerald Harmony (IRE),R M Mulligan,7,J P Murtagh,8th,1 3/4 l,4,8-7,79,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Betsen,J J G Ryan,0,J Davison,7th,Neck,4,9-7,93,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Stag Night (IRE),W J Lee,0,W McCreery,6th,Head,7,9-7,93,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Staysound Susie (IRE),A J Slattery,0,A Slattery,5th,Short Head,4,8-11,83,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Apache Outlaw (IRE),Adam Caffrey,0,A McGuinness,4th,1 1/2 l,5,9-3,89,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Big Gossey (IRE),R Whearty,3,C O'Brien,3rd,1/2 l,8,10-5t,105,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Love Billy Boy (IRE),S Foley,0,Gerard O'Leary,2nd,Neck,4,8-12,84,True,165,1
Curragh Racing Results | 16th March 2025 14:40,N/A,14:40,Soft,6f,Laugh A Minute,C D Hayes,0,Stephen Thorne,1st,N/A,10,8-10,82,True,165,1
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Wannabe Royal (IRE),D McMonagle,0,J P O'Brien,NR,N/A,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Woodlea (FR),L F Roche,0,Eoghan O'Neill,20th,8 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Prime Sign (IRE),G F Carroll,0,A Oliver,19th,2 1/4 l,4,10-2,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Uluwatu (IRE),G M Ryan,0,K P Cotter,18th,3/4 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Oiche Rua (IRE),Adam Caffrey,0,A McGuinness,17th,1 3/4 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Onemorestar (IRE),J J G Ryan,3,J Motherway,16th,2 1/2 l,4,10-2,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Miss Crinshawn (IRE),R P Whelan,0,John O'Donoghue,15th,1 1/2 l,3,9-1h1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Real Petite (GER),R M Mulligan,7,T Mullins,14th,Neck,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Curroy Lady,L T McAteer,0,M M McNiff,13th,4 1/2 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Saol Nios Gile (IRE),R Coakley,0,J S Bolger,12th,Short Head,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Vega's Muse,S Foley,0,Mrs J Harrington,11th,1/2 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Kitty Rickets (IRE),J A Heffernan,0,David J Geary,10th,3/4 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Al What (IRE),J A Powell,3,N Meade,9th,1 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Aherla Rock (IRE),D E Sheehy,0,J P Murtagh,8th,Neck,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Thakheera (IRE),J M Sheridan,0,D Hogan,7th,3/4 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Echinacea,R C Colgan,0,Kevin Coleman,6th,Head,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Gotomylovely (IRE),D S O'Sullivan,7,J A Stack,5th,2 3/4 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Win Me Over (IRE),R L Moore,0,A P O'Brien,4th,Neck,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Murkala (IRE),B M Coen,0,J P Murtagh,3rd,4 1/2 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Copacabana Sands (IRE),C T Keane,0,M O'Callaghan,2nd,1 1/4 l,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Bint Queen Kindly (IRE),C D Hayes,0,D K Weld,1st,N/A,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Wannabe Royal (IRE),D McMonagle,0,J P O'Brien,NR,N/A,3,9-1,-,True,165,2
Curragh Racing Results | 16th March 2025 15:10,N/A,15:10,Soft,7f,Woodlea (FR),L F Roche,0,Eoghan O'Neill,20th,8 l,3,9-1,-,True,165,2
