track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Naas Racing Results | 23rd March 2025 17:30,N/A,17:30,Soft To Heavy,1m,Spicy Margarita (IRE),D Egan,0,A Murray,NR,N/A,3,9-4,-,True,166,1
Naas Racing Results | 23rd March 2025 17:30,N/A,17:30,Soft To Heavy,1m,Diamond Exchange (IRE),S Foley,0,Mrs J Harrington,6th,21 l,3,8-13,-,True,166,1
Naas Racing Results | 23rd March 2025 17:30,N/A,17:30,Soft To Heavy,1m,Dignam (IRE),D McMonagle,0,J P O'Brien,5th,4 1/2 l,3,9-9,-,True,166,1
Naas Racing Results | 23rd March 2025 17:30,N/A,17:30,Soft To Heavy,1m,One Smack Mac (IRE),C T Keane,0,G M Lyons,4th,3/4 l,3,9-9,-,True,166,1
Naas Racing Results | 23rd March 2025 17:30,N/A,17:30,Soft To Heavy,1m,Green Triangle (IRE),S T McCullagh,3,J P O'Brien,3rd,4 1/2 l,3,9-9t,-,True,166,1
Naas Racing Results | 23rd March 2025 17:30,N/A,17:30,Soft To Heavy,1m,Acapulco Bay (IRE),R P Whelan,0,A P O'Brien,2nd,2 l,3,9-9,-,True,166,1
Naas Racing Results | 23rd March 2025 17:30,N/A,17:30,Soft To Heavy,1m,Trinity College (IRE),W M Lordan,0,A P O'Brien,1st,N/A,3,9-9,-,True,166,1
Naas Racing Results | 23rd March 2025 17:30,N/A,17:30,Soft To Heavy,1m,Spicy Margarita (IRE),D Egan,0,A Murray,NR,N/A,3,9-4,-,True,166,1
Naas Racing Results | 23rd March 2025 17:30,N/A,17:30,Soft To Heavy,1m,Diamond Exchange (IRE),S Foley,0,Mrs J Harrington,6th,21 l,3,8-13,-,True,166,1
Naas Racing Results | 23rd March 2025 17:30,N/A,17:30,Soft To Heavy,1m,Dignam (IRE),D McMonagle,0,J P O'Brien,5th,4 1/2 l,3,9-9,-,True,166,1
Naas Racing Results | 23rd March 2025 17:30,N/A,17:30,Soft To Heavy,1m,One Smack Mac (IRE),C T Keane,0,G M Lyons,4th,3/4 l,3,9-9,-,True,166,1
Naas Racing Results | 23rd March 2025 17:30,N/A,17:30,Soft To Heavy,1m,Green Triangle (IRE),S T McCullagh,3,J P O'Brien,3rd,4 1/2 l,3,9-9t,-,True,166,1
Naas Racing Results | 23rd March 2025 17:30,N/A,17:30,Soft To Heavy,1m,Acapulco Bay (IRE),R P Whelan,0,A P O'Brien,2nd,2 l,3,9-9,-,True,166,1
Naas Racing Results | 23rd March 2025 17:30,N/A,17:30,Soft To Heavy,1m,Trinity College (IRE),W M Lordan,0,A P O'Brien,1st,N/A,3,9-9,-,True,166,1
Limerick Racing Results | 23rd March 2025 13:43,N/A,13:43,Yielding To Soft,2m 50y,Lep Around (IRE),J P Shinnick,5,Miss M Harding,3rd,30 l,7,11-7,-,True,166,2
Limerick Racing Results | 23rd March 2025 13:43,N/A,13:43,Yielding To Soft,2m 50y,Mongibello,J J Slevin,0,S R B Crawford,2nd,3 l,7,11-7,-,True,166,2
Limerick Racing Results | 23rd March 2025 13:43,N/A,13:43,Yielding To Soft,2m 50y,Jalila Moriviere (FR),M P Walsh,0,W P Mullins,1st,N/A,6,11-7t,-,True,166,2
Limerick Racing Results | 23rd March 2025 13:43,N/A,13:43,Yielding To Soft,2m 50y,Lep Around (IRE),J P Shinnick,5,Miss M Harding,3rd,30 l,7,11-7,-,True,166,2
Limerick Racing Results | 23rd March 2025 13:43,N/A,13:43,Yielding To Soft,2m 50y,Mongibello,J J Slevin,0,S R B Crawford,2nd,3 l,7,11-7,-,True,166,2
Limerick Racing Results | 23rd March 2025 13:43,N/A,13:43,Yielding To Soft,2m 50y,Jalila Moriviere (FR),M P Walsh,0,W P Mullins,1st,N/A,6,11-7t,-,True,166,2
Limerick Racing Results | 23rd March 2025 14:18,N/A,14:18,Yielding To Soft,2m 50y,Lacken Forest (IRE),C Owens,0,G M Doyle,NR,N/A,6,10-1ht,85,True,166,3
Limerick Racing Results | 23rd March 2025 14:18,N/A,14:18,Yielding To Soft,2m 50y,Jerrari (IRE),C D Smithers,0,Mrs J Harrington,NR,N/A,5,11-0,98,True,166,3
