track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Silent Flight (IRE),B Hayes,0,P Byrne,NR,N/A,9,10-9,91,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Chainofconsequence (IRE),S F O'Keeffe,0,M J McDonagh,PU,N/A,8,11-0,96,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Coole Arcade (IRE),S O'Callaghan,5,C Coakley,PU,N/A,11,10-3tb,85,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Love Like This (IRE),Conor Clarke,7,J P Ryan,F,N/A,7,10-8,90,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Another Ocana (IRE),E Walsh,0,L J Archdeacon,10th,18 l,8,11-3,99,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Dontdooddson (FR),P J O'Hanlon,0,D Collins,9th,14 l,12,10-1,83,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Junot (IRE),D J O'Keeffe,0,M Winters,8th,4 1/4 l,6,10-9,91,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Island Mccoo (IRE),P K Donovan,5,D Collins,7th,12 l,8,10-10,92,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Gabriel Ranger (IRE),D E Mullins,0,J G Murphy,6th,4 1/2 l,6,11-12,108,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Snow Punt (IRE),P T Enright,0,Brendan Walsh,5th,3/4 l,8,10-12t,94,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Must Be Dreaming (IRE),J P Shinnick,5,G Ahern,4th,3/4 l,8,11-3p,99,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Three In A Row (IRE),D Meyler,0,A L T Moore,3rd,6 l,7,11-9,105,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Big Island (IRE),C M Quirke,3,W J Lanigan,2nd,Head,8,11-3,99,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Birdsandthebees (IRE),A P Kelly,5,P Roche,1st,N/A,8,11-1h,97,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Silent Flight (IRE),B Hayes,0,P Byrne,NR,N/A,9,10-9,91,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Chainofconsequence (IRE),S F O'Keeffe,0,M J McDonagh,PU,N/A,8,11-0,96,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Coole Arcade (IRE),S O'Callaghan,5,C Coakley,PU,N/A,11,10-3tb,85,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Love Like This (IRE),Conor Clarke,7,J P Ryan,F,N/A,7,10-8,90,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Another Ocana (IRE),E Walsh,0,L J Archdeacon,10th,18 l,8,11-3,99,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Dontdooddson (FR),P J O'Hanlon,0,D Collins,9th,14 l,12,10-1,83,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Junot (IRE),D J O'Keeffe,0,M Winters,8th,4 1/4 l,6,10-9,91,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Island Mccoo (IRE),P K Donovan,5,D Collins,7th,12 l,8,10-10,92,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Gabriel Ranger (IRE),D E Mullins,0,J G Murphy,6th,4 1/2 l,6,11-12,108,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Snow Punt (IRE),P T Enright,0,Brendan Walsh,5th,3/4 l,8,10-12t,94,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Must Be Dreaming (IRE),J P Shinnick,5,G Ahern,4th,3/4 l,8,11-3p,99,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Three In A Row (IRE),D Meyler,0,A L T Moore,3rd,6 l,7,11-9,105,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Big Island (IRE),C M Quirke,3,W J Lanigan,2nd,Head,8,11-3,99,True,167,1
Limerick Racing Results | 1st April 2025 18:15,N/A,18:15,Good (Yielding In Places),2m 3f 128y,Birdsandthebees (IRE),A P Kelly,5,P Roche,1st,N/A,8,11-1h,97,True,167,1
Limerick Racing Results | 1st April 2025 18:45,N/A,18:45,Good (Yielding In Places),2m 1f 165y,Carlas Big Jim (IRE),P T Enright,0,L J Archdeacon,NR,N/A,7,10-1,95,True,167,2
Limerick Racing Results | 1st April 2025 18:45,N/A,18:45,Good (Yielding In Places),2m 1f 165y,American Money (IRE),K E Buckley,0,E & P Harty,NR,N/A,8,11-3,111,True,167,2
Limerick Racing Results | 1st April 2025 18:45,N/A,18:45,Good (Yielding In Places),2m 1f 165y,Battle Of Ridgeway (IRE),L A McKenna,5,M Hassett,NR,N/A,7,11-1t,109,True,167,2
