track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,Arion Soldier (IRE),R A Doyle,0,Eamon Courtney,NR,N/A,7,12-1,123,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,West Is Awake (IRE),E Walsh,0,E Cawley,PU,N/A,9,11-2ht,110,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,Brave Adam (IRE),T Joseph Kelly,7,T Cooper,PU,N/A,7,10-3t,97,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,Now Where Or When (IRE),J J Slevin,0,S R B Crawford,PU,N/A,10,11-8tp,116,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,Notkeepinyagoing (IRE),A Harvey,5,J C McConnell,10th,13 l,8,11-9t,117,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,Redstone (IRE),S W Flanagan,0,H Rogers,9th,57 l,7,12-2,124,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,Slanagaibhgoleir (IRE),F Brickley,7,G Elliott,8th,2 3/4 l,7,12-0,122,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,John Storey (IRE),D J Gilligan,0,L P Cusack,7th,1/2 l,7,10-7,101,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,Born Bright (IRE),J Smith,5,C O'Connell,6th,1 1/4 l,6,11-4,112,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,Crossing The Bar (IRE),Tiernan Power Roche,5,C Collins,5th,1 l,8,11-6tp,114,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,Young Lucy (IRE),C Stone-Walsh,3,A J Martin,4th,2 l,6,10-10t,104,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,Doctor Churchill (IRE),Cian Cullinan,7,P J Hayes,3rd,1/2 l,7,11-5p,113,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,Topgun Simmy (IRE),P Hanlon,7,J J Hanlon,2nd,1 1/4 l,6,12-0,122,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,The Miracle Man (IRE),D Meyler,0,A L T Moore,1st,N/A,7,10-7,101,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,Arion Soldier (IRE),R A Doyle,0,Eamon Courtney,NR,N/A,7,12-1,123,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,West Is Awake (IRE),E Walsh,0,E Cawley,PU,N/A,9,11-2ht,110,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,Brave Adam (IRE),T Joseph Kelly,7,T Cooper,PU,N/A,7,10-3t,97,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,Now Where Or When (IRE),J J Slevin,0,S R B Crawford,PU,N/A,10,11-8tp,116,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,Notkeepinyagoing (IRE),A Harvey,5,J C McConnell,10th,13 l,8,11-9t,117,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,Redstone (IRE),S W Flanagan,0,H Rogers,9th,57 l,7,12-2,124,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,Slanagaibhgoleir (IRE),F Brickley,7,G Elliott,8th,2 3/4 l,7,12-0,122,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,John Storey (IRE),D J Gilligan,0,L P Cusack,7th,1/2 l,7,10-7,101,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,Born Bright (IRE),J Smith,5,C O'Connell,6th,1 1/4 l,6,11-4,112,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,Crossing The Bar (IRE),Tiernan Power Roche,5,C Collins,5th,1 l,8,11-6tp,114,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,Young Lucy (IRE),C Stone-Walsh,3,A J Martin,4th,2 l,6,10-10t,104,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,Doctor Churchill (IRE),Cian Cullinan,7,P J Hayes,3rd,1/2 l,7,11-5p,113,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,Topgun Simmy (IRE),P Hanlon,7,J J Hanlon,2nd,1 1/4 l,6,12-0,122,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:12,N/A,16:12,Good To Yielding,3m,The Miracle Man (IRE),D Meyler,0,A L T Moore,1st,N/A,7,10-7,101,True,168,1
Fairyhouse Racing Results | 6th April 2025 16:47,N/A,16:47,Good To Yielding,2m,Pepperpots (IRE),Mr B J Walsh,7,B J Walsh,PU,N/A,7,11-7,91,True,168,2
Fairyhouse Racing Results | 6th April 2025 16:47,N/A,16:47,Good To Yielding,2m,Mooretown Lad (IRE),B W Harvey,0,J C McConnell,PU,N/A,5,11-2,86,True,168,2
Fairyhouse Racing Results | 6th April 2025 16:47,N/A,16:47,Good To Yielding,2m,Esticky End (IRE),D Robinson,0,Tom McGuinness,PU,N/A,7,10-11,81,True,168,2
Fairyhouse Racing Results | 6th April 2025 16:47,N/A,16:47,Good To Yielding,2m,Midnight Eugene (IRE),C M Quirke,3,T Doyle,PU,N/A,8,10-12b,82,True,168,2
Fairyhouse Racing Results | 6th April 2025 16:47,N/A,16:47,Good To Yielding,2m,Where's Nanny (IRE),Cian Cullinan,7,E & P Harty,F,N/A,6,11-11,95,True,168,2
Fairyhouse Racing Results | 6th April 2025 16:47,N/A,16:47,Good To Yielding,2m,Bhean Saibhre (IRE),P K Donovan,5,A A Howard,9th,1/2 l,4,11-6ht,98,True,168,2
Fairyhouse Racing Results | 6th April 2025 16:47,N/A,16:47,Good To Yielding,2m,My Policy (IRE),P M O'Brien,7,P Rooney,8th,3 1/2 l,6,11-10p,94,True,168,2
Fairyhouse Racing Results | 6th April 2025 16:47,N/A,16:47,Good To Yielding,2m,Woodford Warrior (IRE),C D Smithers,7,P T Foley,7th,3 1/4 l,5,11-13,97,True,168,2
Fairyhouse Racing Results | 6th April 2025 16:47,N/A,16:47,Good To Yielding,2m,Blue Reed (FR),Tiernan Power Roche,5,C Collins,6th,9 1/2 l,6,12-0t,98,True,168,2
Fairyhouse Racing Results | 6th April 2025 16:47,N/A,16:47,Good To Yielding,2m,King Of The Bronx (IRE),C Stone-Walsh,3,G P Cromwell,5th,Neck,4,11-0,92,True,168,2
Fairyhouse Racing Results | 6th April 2025 16:47,N/A,16:47,Good To Yielding,2m,Quinn The Eskimo (GER),R Deegan,0,P Nolan,4th,1 1/2 l,5,11-1,85,True,168,2
Fairyhouse Racing Results | 6th April 2025 16:47,N/A,16:47,Good To Yielding,2m,Oakley (GER),D E Mullins,0,A Mullins,3rd,3 3/4 l,7,12-0,98,True,168,2
Fairyhouse Racing Results | 6th April 2025 16:47,N/A,16:47,Good To Yielding,2m,Cleopatra's Needle (IRE),S W Flanagan,0,H Rogers,2nd,2 1/4 l,7,11-10ht,94,True,168,2
Fairyhouse Racing Results | 6th April 2025 16:47,N/A,16:47,Good To Yielding,2m,Malbas,K E Buckley,0,E Buckley,1st,N/A,9,11-7,91,True,168,2
