track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Kilbeggan Racing Results | 24th April 2025 16:40,N/A,16:40,Good (Good To Yielding In Places),1m 7f 110y,Marelly (IRE),A P Kelly,5,P J Rothwell,NR,N/A,8,11-12p,107,True,171,1
Kilbeggan Racing Results | 24th April 2025 16:40,N/A,16:40,Good (Good To Yielding In Places),1m 7f 110y,Redcliff Glen (GER),P Byrnes,0,C Byrnes,14th,23 l,5,11-5,100,True,171,1
Kilbeggan Racing Results | 24th April 2025 16:40,N/A,16:40,Good (Good To Yielding In Places),1m 7f 110y,Gortmore Lady (IRE),E Walsh,0,A J Martin,13th,10 l,5,10-11,92,True,171,1
Kilbeggan Racing Results | 24th April 2025 16:40,N/A,16:40,Good (Good To Yielding In Places),1m 7f 110y,Go Avel (IRE),B W Harvey,0,Francis Casey,12th,2 l,6,10-9,90,True,171,1
Kilbeggan Racing Results | 24th April 2025 16:40,N/A,16:40,Good (Good To Yielding In Places),1m 7f 110y,Fair Damsel (IRE),S O'Callaghan,5,R Brabazon,11th,9 l,7,11-7,102,True,171,1
Kilbeggan Racing Results | 24th April 2025 16:40,N/A,16:40,Good (Good To Yielding In Places),1m 7f 110y,Ceol Draiochta (IRE),K E Buckley,0,E Buckley,10th,6 1/2 l,4,11-6,109,True,171,1
Kilbeggan Racing Results | 24th April 2025 16:40,N/A,16:40,Good (Good To Yielding In Places),1m 7f 110y,T Or Coffey (IRE),A Harvey,5,Paul Mulligan,9th,4 1/2 l,4,10-13tp,102,True,171,1
Kilbeggan Racing Results | 24th April 2025 16:40,N/A,16:40,Good (Good To Yielding In Places),1m 7f 110y,Baltinglass Hill (IRE),T Power Roche,5,P J Rothwell,8th,Head,8,11-2b,97,True,171,1
Kilbeggan Racing Results | 24th April 2025 16:40,N/A,16:40,Good (Good To Yielding In Places),1m 7f 110y,Swelltime (IRE),D J Gilligan,0,W J O'Doherty,7th,1 1/2 l,9,11-8,103,True,171,1
Kilbeggan Racing Results | 24th April 2025 16:40,N/A,16:40,Good (Good To Yielding In Places),1m 7f 110y,Brave Soldier (IRE),P T Enright,0,M M McNiff,6th,Neck,5,11-5,100,True,171,1
Kilbeggan Racing Results | 24th April 2025 16:40,N/A,16:40,Good (Good To Yielding In Places),1m 7f 110y,Falcon Park (IRE),P Hanlon,7,J J Hanlon,5th,3 l,9,11-8p,103,True,171,1
