track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Cork Racing Results | 6th May 2025 17:08,N/A,17:08,Good (Good To Firm In Places),6f,Frankton (FR),N G McCullagh,0,K J Condon,10th,Short Head,3,9-8t,-,True,173,1
Cork Racing Results | 6th May 2025 17:08,N/A,17:08,Good (Good To Firm In Places),6f,Yquem (IRE),A J Slattery,0,John O'Donoghue,9th,1/2 l,3,9-3,-,True,173,1
Cork Racing Results | 6th May 2025 17:08,N/A,17:08,Good (Good To Firm In Places),6f,Arcoiris,N M Crosse,0,M J Browne,8th,1/2 l,4,9-13,-,True,173,1
Cork Racing Results | 6th May 2025 17:08,N/A,17:08,Good (Good To Firm In Places),6f,Starford (IRE),D McMonagle,0,J P O'Brien,7th,3/4 l,3,9-8,-,True,173,1
Cork Racing Results | 6th May 2025 17:08,N/A,17:08,Good (Good To Firm In Places),6f,Turners Cross (IRE),S Foley,0,Mrs J Harrington,6th,1 1/2 l,3,9-8,85,True,173,1
Cork Racing Results | 6th May 2025 17:08,N/A,17:08,Good (Good To Firm In Places),6f,Cecco (USA),J M Sheridan,0,J A Stack,5th,3 1/4 l,3,9-8,-,True,173,1
Cork Racing Results | 6th May 2025 17:08,N/A,17:08,Good (Good To Firm In Places),6f,Suerte (IRE),R C Colgan,0,S Lavery,4th,Nose,3,9-3,-,True,173,1
Cork Racing Results | 6th May 2025 17:08,N/A,17:08,Good (Good To Firm In Places),6f,Sapphire Princess,C T Keane,0,G M Lyons,3rd,3 1/4 l,3,9-3,-,True,173,1
Cork Racing Results | 6th May 2025 17:08,N/A,17:08,Good (Good To Firm In Places),6f,Bonus Time (IRE),G F Carroll,0,G P Cromwell,2nd,2 3/4 l,3,9-3,-,True,173,1
Cork Racing Results | 6th May 2025 17:08,N/A,17:08,Good (Good To Firm In Places),6f,City Of Memphis (IRE),W J Lee,0,P Twomey,1st,N/A,3,9-3,-,True,173,1
Cork Racing Results | 6th May 2025 17:08,N/A,17:08,Good (Good To Firm In Places),6f,Frankton (FR),N G McCullagh,0,K J Condon,10th,Short Head,3,9-8t,-,True,173,1
