track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Cork Racing Results | 10th May 2025 17:10,N/A,17:10,Good,3m 80y,Backonthegoagain (IRE),A P Kelly,5,C Bowe,PU,N/A,7,11-12,98,True,174,1
Cork Racing Results | 10th May 2025 17:10,N/A,17:10,Good,3m 80y,He Might Be Lucky (IRE),P K Donovan,3,L Young,15th,1 3/4 l,8,10-13,85,True,174,1
Cork Racing Results | 10th May 2025 17:10,N/A,17:10,Good,3m 80y,Kelly's Birr (IRE),J J Slevin,0,T Doyle,14th,18 l,8,11-10b,96,True,174,1
Cork Racing Results | 10th May 2025 17:10,N/A,17:10,Good,3m 80y,Depeche Mo (IRE),R Deegan,0,Eric Larkin,13th,7 1/2 l,7,10-9h,81,True,174,1
Cork Racing Results | 10th May 2025 17:10,N/A,17:10,Good,3m 80y,Heidi's Frontiere (IRE),S W Flanagan,0,M Kennedy,12th,2 1/4 l,7,10-13,85,True,174,1
Cork Racing Results | 10th May 2025 17:10,N/A,17:10,Good,3m 80y,No Fussing (IRE),A McCurtin,0,T Doyle,11th,7 l,9,11-8,94,True,174,1
Cork Racing Results | 10th May 2025 17:10,N/A,17:10,Good,3m 80y,Free Parking (IRE),A Harvey,5,J C McConnell,10th,1/2 l,8,10-13t,85,True,174,1
Cork Racing Results | 10th May 2025 17:10,N/A,17:10,Good,3m 80y,Yorkshire Escape (IRE),J P Kirwan,7,D Queally,9th,6 1/2 l,6,11-3,89,True,174,1
Cork Racing Results | 10th May 2025 17:10,N/A,17:10,Good,3m 80y,Lucky Lioness (IRE),Mr P J Cody,7,Debbie Cody,8th,1 3/4 l,6,11-11p1,97,True,174,1
Cork Racing Results | 10th May 2025 17:10,N/A,17:10,Good,3m 80y,Neska Blue (IRE),D King,0,D Hogan,7th,2 l,5,11-2t,88,True,174,1
Cork Racing Results | 10th May 2025 17:10,N/A,17:10,Good,3m 80y,Driveonwill (IRE),D Meyler,0,R O'Sullivan,6th,1 1/2 l,5,11-10,96,True,174,1
Cork Racing Results | 10th May 2025 17:10,N/A,17:10,Good,3m 80y,Leading Endeavour (IRE),S D Torrens,0,P J Rothwell,5th,1 1/4 l,6,11-3,89,True,174,1
