track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Bold Brook (IRE),S D Torrens,0,Miss D O'Shea,PU,N/A,7,12-0,100,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Tea It Is (IRE),D King,0,D Hogan,F,N/A,8,10-10,82,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Ameilya,S D Greene,7,J M Barrett,13th,1 1/4 l,4,11-3,95,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Pebble To A Pearl (IRE),C M Quirke,3,Paul Power,12th,2 l,5,10-12,84,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Rene Artois (IRE),C G O'Dwyer,5,J Nash,11th,1 1/4 l,6,10-2t,74,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Masterstonemason (IRE),G Brouder,3,F Costello,10th,19 l,11,10-0p,72,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Diamond Steel (IRE),M P O'Connor,0,H De Bromhead,9th,3/4 l,5,10-13,85,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Bowgate Street (IRE),D J O'Keeffe,0,M Flannery,8th,2 l,6,11-9,95,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Nusra (IRE),D E Mullins,0,G Ahern,7th,9 1/2 l,8,10-9p,81,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Katzoff (IRE),T P Harney,7,J Morrison,6th,9 1/2 l,8,10-7p1,79,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Navy Guitar (IRE),T Power Roche,5,A Murray,5th,2 l,6,11-7,93,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Getaway Henry (IRE),D Meyler,0,Daniel O'leary,4th,7 l,8,11-1,87,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Onebrightbluerose (IRE),C Stone-Walsh,3,Patrick Cronin,3rd,2 3/4 l,6,10-8,80,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Olord (IRE),J Coen,3,E McNamara,2nd,2 3/4 l,9,10-11,83,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Shadow Paddy (IRE),G B Noonan,5,E McCarthy,1st,N/A,5,11-9t1,95,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Bold Brook (IRE),S D Torrens,0,Miss D O'Shea,PU,N/A,7,12-0,100,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Tea It Is (IRE),D King,0,D Hogan,F,N/A,8,10-10,82,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Ameilya,S D Greene,7,J M Barrett,13th,1 1/4 l,4,11-3,95,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Pebble To A Pearl (IRE),C M Quirke,3,Paul Power,12th,2 l,5,10-12,84,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Rene Artois (IRE),C G O'Dwyer,5,J Nash,11th,1 1/4 l,6,10-2t,74,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Masterstonemason (IRE),G Brouder,3,F Costello,10th,19 l,11,10-0p,72,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Diamond Steel (IRE),M P O'Connor,0,H De Bromhead,9th,3/4 l,5,10-13,85,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Bowgate Street (IRE),D J O'Keeffe,0,M Flannery,8th,2 l,6,11-9,95,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Nusra (IRE),D E Mullins,0,G Ahern,7th,9 1/2 l,8,10-9p,81,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Katzoff (IRE),T P Harney,7,J Morrison,6th,9 1/2 l,8,10-7p1,79,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Navy Guitar (IRE),T Power Roche,5,A Murray,5th,2 l,6,11-7,93,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Getaway Henry (IRE),D Meyler,0,Daniel O'leary,4th,7 l,8,11-1,87,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Onebrightbluerose (IRE),C Stone-Walsh,3,Patrick Cronin,3rd,2 3/4 l,6,10-8,80,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Olord (IRE),J Coen,3,E McNamara,2nd,2 3/4 l,9,10-11,83,True,175,1
Tipperary Racing Results | 14th May 2025 18:20,N/A,18:20,Good To Yielding,2m 190y,Shadow Paddy (IRE),G B Noonan,5,E McCarthy,1st,N/A,5,11-9t1,95,True,175,1
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Nobody (IRE),R Deegan,0,Brendan Walsh,16th,2 1/2 l,4,10-12h,88,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Annie Questions (IRE),Mr L Burke-Ott,7,Patrick Cronin,15th,12 l,7,11-0b1,84,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,All In Peder (FR),D J O'Keeffe,0,K Dempsey,14th,25 l,6,11-8p,92,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Spanish Maid (IRE),D Meyler,0,F J Flood,13th,Head,7,11-6,90,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Tennesse Boy (IRE),P T Enright,0,R Tyner,12th,2 1/2 l,6,10-10,80,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Fourcardrun,C M Quirke,3,D Hassett,11th,3/4 l,6,11-6,90,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Tremaine,D King,0,D Hogan,10th,Neck,4,11-3tp,93,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Thats All (IRE),Mr D Doyle,7,T Doyle,9th,1 3/4 l,8,10-13,83,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Theanniversary Man (IRE),Niall Moore,5,Frank Hayes,8th,5 1/2 l,6,10-7,77,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Lauro Lady,Caragh Monaghan,7,W J McLernon,7th,2 1/2 l,6,10-5,75,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Toor Moon (IRE),L Quinlan,3,Ms M Flynn,6th,1 3/4 l,8,11-3,87,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Patty O'Farrell (IRE),S F O'Keeffe,0,Peter Maher,5th,2 3/4 l,7,11-5t,89,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Mattie's Mountain (IRE),Mr A Burke-Ott,7,T P O'Connor,4th,5 l,10,11-11,95,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Good Bye Milan (IRE),D E Mullins,0,Leonard Flynn,3rd,6 1/2 l,8,11-5t,89,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Ballycommon Chapel (IRE),C Owens,7,R Donohoe,2nd,3/4 l,7,10-13,83,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Gimme A Buzz (IRE),M P Walsh,0,E Bolger,1st,N/A,5,11-12h,96,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Nobody (IRE),R Deegan,0,Brendan Walsh,16th,2 1/2 l,4,10-12h,88,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Annie Questions (IRE),Mr L Burke-Ott,7,Patrick Cronin,15th,12 l,7,11-0b1,84,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,All In Peder (FR),D J O'Keeffe,0,K Dempsey,14th,25 l,6,11-8p,92,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Spanish Maid (IRE),D Meyler,0,F J Flood,13th,Head,7,11-6,90,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Tennesse Boy (IRE),P T Enright,0,R Tyner,12th,2 1/2 l,6,10-10,80,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Fourcardrun,C M Quirke,3,D Hassett,11th,3/4 l,6,11-6,90,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Tremaine,D King,0,D Hogan,10th,Neck,4,11-3tp,93,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Thats All (IRE),Mr D Doyle,7,T Doyle,9th,1 3/4 l,8,10-13,83,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Theanniversary Man (IRE),Niall Moore,5,Frank Hayes,8th,5 1/2 l,6,10-7,77,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Lauro Lady,Caragh Monaghan,7,W J McLernon,7th,2 1/2 l,6,10-5,75,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Toor Moon (IRE),L Quinlan,3,Ms M Flynn,6th,1 3/4 l,8,11-3,87,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Patty O'Farrell (IRE),S F O'Keeffe,0,Peter Maher,5th,2 3/4 l,7,11-5t,89,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Mattie's Mountain (IRE),Mr A Burke-Ott,7,T P O'Connor,4th,5 l,10,11-11,95,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Good Bye Milan (IRE),D E Mullins,0,Leonard Flynn,3rd,6 1/2 l,8,11-5t,89,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Ballycommon Chapel (IRE),C Owens,7,R Donohoe,2nd,3/4 l,7,10-13,83,True,175,2
Tipperary Racing Results | 14th May 2025 18:50,N/A,18:50,Good To Yielding,2m 190y,Gimme A Buzz (IRE),M P Walsh,0,E Bolger,1st,N/A,5,11-12h,96,True,175,2
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Tunnel Of Hope (IRE),G Brouder,3,F Costello,PU,N/A,9,11-4,-,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Lacaduv (IRE),Sam Ewing,0,G Elliott,PU,N/A,5,11-4t,-,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Son Of Alacoque (IRE),L Quinlan,3,R Hackett,PU,N/A,5,11-4,-,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Polar Night (IRE),S F O'Keeffe,0,Mrs Y Dunleavy,12th,53 l,6,11-4t1,-,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,The Lookout Man (IRE),R Deegan,0,Finbarr Cowman,11th,3 1/4 l,5,11-4,-,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Mashalla Habibi (IRE),S D Torrens,0,P T Foley,10th,1 1/2 l,5,11-4h,116,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Political Stance (IRE),P Byrnes,0,C Byrnes,9th,1 l,5,11-4,-,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Insouciant Dallier (FR),T P Harney,7,Liz Doyle,8th,3 1/2 l,7,11-4t,109,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Fortune The Brave (IRE),K E Buckley,0,J C McConnell,7th,2 3/4 l,5,11-12,-,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Scodar (FR),S Cleary-Farrell,7,J M Barrett,6th,4 l,5,11-4,-,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Kadys Dirha (IRE),Mr A Burke-Ott,7,T P O'Connor,5th,4 l,8,10-11b,77,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Kir (FR),D J O'Keeffe,0,H De Bromhead,4th,4 l,5,11-4,107,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,William Butler (IRE),D J Gilligan,0,G Elliott,3rd,10 l,5,11-12,-,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Kildinan Prince (IRE),Mr A P Ryan,7,Jonathan Sweeney,2nd,Head,6,11-4,-,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Bitofajokelike (IRE),J Coen,3,E McNamara,1st,N/A,5,11-4t,108,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Tunnel Of Hope (IRE),G Brouder,3,F Costello,PU,N/A,9,11-4,-,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Lacaduv (IRE),Sam Ewing,0,G Elliott,PU,N/A,5,11-4t,-,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Son Of Alacoque (IRE),L Quinlan,3,R Hackett,PU,N/A,5,11-4,-,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Polar Night (IRE),S F O'Keeffe,0,Mrs Y Dunleavy,12th,53 l,6,11-4t1,-,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,The Lookout Man (IRE),R Deegan,0,Finbarr Cowman,11th,3 1/4 l,5,11-4,-,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Mashalla Habibi (IRE),S D Torrens,0,P T Foley,10th,1 1/2 l,5,11-4h,116,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Political Stance (IRE),P Byrnes,0,C Byrnes,9th,1 l,5,11-4,-,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Insouciant Dallier (FR),T P Harney,7,Liz Doyle,8th,3 1/2 l,7,11-4t,109,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Fortune The Brave (IRE),K E Buckley,0,J C McConnell,7th,2 3/4 l,5,11-12,-,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Scodar (FR),S Cleary-Farrell,7,J M Barrett,6th,4 l,5,11-4,-,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Kadys Dirha (IRE),Mr A Burke-Ott,7,T P O'Connor,5th,4 l,8,10-11b,77,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Kir (FR),D J O'Keeffe,0,H De Bromhead,4th,4 l,5,11-4,107,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,William Butler (IRE),D J Gilligan,0,G Elliott,3rd,10 l,5,11-12,-,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Kildinan Prince (IRE),Mr A P Ryan,7,Jonathan Sweeney,2nd,Head,6,11-4,-,True,175,3
Tipperary Racing Results | 14th May 2025 19:20,N/A,19:20,Good To Yielding,3m 1f,Bitofajokelike (IRE),J Coen,3,E McNamara,1st,N/A,5,11-4t,108,True,175,3
