track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Roscommon Racing Results | 19th May 2025 17:40,N/A,17:40,Good,7f 94y,Cliadh Dubh (IRE),D S O'Sullivan,7,D W O'Sullivan,9th,2 l,2,8-13,-,True,176,1
Roscommon Racing Results | 19th May 2025 17:40,N/A,17:40,Good,7f 94y,Balance Of Trade (IRE),W Joyce,5,M Mulvany,8th,5 1/2 l,2,8-13,-,True,176,1
Roscommon Racing Results | 19th May 2025 17:40,N/A,17:40,Good,7f 94y,Ella's Gold (IRE),L F Roche,0,M J Smith,7th,1 1/2 l,2,8-8,-,True,176,1
Roscommon Racing Results | 19th May 2025 17:40,N/A,17:40,Good,7f 94y,Gas Works Wall (IRE),D P McDonogh,0,J P O'Brien,6th,1 l,2,8-10,-,True,176,1
Roscommon Racing Results | 19th May 2025 17:40,N/A,17:40,Good,7f 94y,Spinning Around (IRE),G M Ryan,0,Donnacha O'Brien,5th,3/4 l,2,9-4,-,True,176,1
Roscommon Racing Results | 19th May 2025 17:40,N/A,17:40,Good,7f 94y,Parallax (IRE),C D Hayes,0,J Halley,4th,Short Head,2,8-10,-,True,176,1
Roscommon Racing Results | 19th May 2025 17:40,N/A,17:40,Good,7f 94y,Divelment (IRE),J J G Ryan,3,J Davison,3rd,Short Head,2,9-5,-,True,176,1
Roscommon Racing Results | 19th May 2025 17:40,N/A,17:40,Good,7f 94y,Check This Out (IRE),C T Keane,0,N Meade,2nd,10 l,2,9-3,-,True,176,1
Roscommon Racing Results | 19th May 2025 17:40,N/A,17:40,Good,7f 94y,Romeo Sensini (IRE),A J Slattery,0,A Slattery,1st,N/A,2,9-1,-,True,176,1
Roscommon Racing Results | 19th May 2025 17:40,N/A,17:40,Good,7f 94y,Cliadh Dubh (IRE),D S O'Sullivan,7,D W O'Sullivan,9th,2 l,2,8-13,-,True,176,1
Roscommon Racing Results | 19th May 2025 17:40,N/A,17:40,Good,7f 94y,Balance Of Trade (IRE),W Joyce,5,M Mulvany,8th,5 1/2 l,2,8-13,-,True,176,1
Roscommon Racing Results | 19th May 2025 17:40,N/A,17:40,Good,7f 94y,Ella's Gold (IRE),L F Roche,0,M J Smith,7th,1 1/2 l,2,8-8,-,True,176,1
Roscommon Racing Results | 19th May 2025 17:40,N/A,17:40,Good,7f 94y,Gas Works Wall (IRE),D P McDonogh,0,J P O'Brien,6th,1 l,2,8-10,-,True,176,1
Roscommon Racing Results | 19th May 2025 17:40,N/A,17:40,Good,7f 94y,Spinning Around (IRE),G M Ryan,0,Donnacha O'Brien,5th,3/4 l,2,9-4,-,True,176,1
Roscommon Racing Results | 19th May 2025 17:40,N/A,17:40,Good,7f 94y,Parallax (IRE),C D Hayes,0,J Halley,4th,Short Head,2,8-10,-,True,176,1
Roscommon Racing Results | 19th May 2025 17:40,N/A,17:40,Good,7f 94y,Divelment (IRE),J J G Ryan,3,J Davison,3rd,Short Head,2,9-5,-,True,176,1
Roscommon Racing Results | 19th May 2025 17:40,N/A,17:40,Good,7f 94y,Check This Out (IRE),C T Keane,0,N Meade,2nd,10 l,2,9-3,-,True,176,1
Roscommon Racing Results | 19th May 2025 17:40,N/A,17:40,Good,7f 94y,Romeo Sensini (IRE),A J Slattery,0,A Slattery,1st,N/A,2,9-1,-,True,176,1
Roscommon Racing Results | 19th May 2025 18:10,N/A,18:10,Good,7f 94y,River Derwent,J J G Ryan,3,Thomas Coyle,12th,2 3/4 l,7,9-13b,57,True,176,2
Roscommon Racing Results | 19th May 2025 18:10,N/A,18:10,Good,7f 94y,Dubirango (IRE),C Geerdharry,7,F Birrane,11th,9 1/2 l,6,9-10,54,True,176,2
Roscommon Racing Results | 19th May 2025 18:10,N/A,18:10,Good,7f 94y,Harriet Eagle (IRE),W J Lee,0,P J Flynn,10th,5 1/2 l,5,9-12,56,True,176,2
Roscommon Racing Results | 19th May 2025 18:10,N/A,18:10,Good,7f 94y,Carrickfinn,Adam Caffrey,0,Shane Gallagher,9th,3 1/4 l,6,8-10tb,40,True,176,2
Roscommon Racing Results | 19th May 2025 18:10,N/A,18:10,Good,7f 94y,La Tulipe Noire (IRE),Jessica O'Gorman,7,Aengus King,8th,Neck,5,9-10p1,54,True,176,2
Roscommon Racing Results | 19th May 2025 18:10,N/A,18:10,Good,7f 94y,Si Senior (IRE),J Kearney,5,P Magee,7th,1 l,4,10-3ht,61,True,176,2
Roscommon Racing Results | 19th May 2025 18:10,N/A,18:10,Good,7f 94y,Mullacash Buzz (IRE),C T Keane,0,Thomas Dowling,6th,1/2 l,7,9-7t,51,True,176,2
Roscommon Racing Results | 19th May 2025 18:10,N/A,18:10,Good,7f 94y,Celtic Druid (IRE),Alyse Jane Clarke,10,T G McCourt,5th,3 1/2 l,4,8-12v1,42,True,176,2
Roscommon Racing Results | 19th May 2025 18:10,N/A,18:10,Good,7f 94y,Sierra De Gredos,B M Coen,0,A Oliver,4th,2 l,4,9-5p1,49,True,176,2
