track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,Taiyi (IRE),S Foley,0,Mrs J Harrington,13th,Head,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,Hasita (IRE),B M Coen,0,J P Murtagh,12th,Short Head,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,Divine Blue (IRE),N M Crosse,0,J Feane,11th,Neck,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,McHenry Sunrise (IRE),J A Heffernan,0,J A Stack,10th,1 1/4 l,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,So Must I (IRE),D McMonagle,0,J P O'Brien,9th,1 3/4 l,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,Gia Mor (IRE),J A Powell,3,J P Murtagh,8th,1/2 l,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,Princess Sioux (IRE),L T McAteer,0,J M Barrett,7th,Neck,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,Amerilis,W J Lee,0,P Twomey,6th,3 1/4 l,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,Composing (IRE),W M Lordan,0,A P O'Brien,5th,3 1/4 l,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,Paris Carver (USA),D Egan,0,A Murray,4th,Short Head,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,Beautify (IRE),R L Moore,0,A P O'Brien,3rd,1 l,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,Cape Sounion (IRE),G M Ryan,0,Donnacha O'Brien,2nd,1 l,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,Balantina (IRE),O Murphy,0,Donnacha O'Brien,1st,N/A,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,Taiyi (IRE),S Foley,0,Mrs J Harrington,13th,Head,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,Hasita (IRE),B M Coen,0,J P Murtagh,12th,Short Head,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,Divine Blue (IRE),N M Crosse,0,J Feane,11th,Neck,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,McHenry Sunrise (IRE),J A Heffernan,0,J A Stack,10th,1 1/4 l,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,So Must I (IRE),D McMonagle,0,J P O'Brien,9th,1 3/4 l,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,Gia Mor (IRE),J A Powell,3,J P Murtagh,8th,1/2 l,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,Princess Sioux (IRE),L T McAteer,0,J M Barrett,7th,Neck,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,Amerilis,W J Lee,0,P Twomey,6th,3 1/4 l,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,Composing (IRE),W M Lordan,0,A P O'Brien,5th,3 1/4 l,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,Paris Carver (USA),D Egan,0,A Murray,4th,Short Head,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,Beautify (IRE),R L Moore,0,A P O'Brien,3rd,1 l,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,Cape Sounion (IRE),G M Ryan,0,Donnacha O'Brien,2nd,1 l,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:20,N/A,13:20,Good,6f,Balantina (IRE),O Murphy,0,Donnacha O'Brien,1st,N/A,2,9-2,-,True,177,1
Curragh Racing Results | 25th May 2025 13:55,N/A,13:55,Good,6f,Miami Destination (IRE),R G Ryan,0,A Murray,6th,20 l,2,9-2,-,True,177,2
Curragh Racing Results | 25th May 2025 13:55,N/A,13:55,Good,6f,She's Too Kool (IRE),J J G Ryan,0,C O'Connell,5th,5 1/2 l,2,9-2,-,True,177,2
Curragh Racing Results | 25th May 2025 13:55,N/A,13:55,Good,6f,First Approach (IRE),W M Lordan,0,A P O'Brien,4th,7 1/2 l,2,9-5,-,True,177,2
Curragh Racing Results | 25th May 2025 13:55,N/A,13:55,Good,6f,Andab (IRE),D McMonagle,0,J P O'Brien,3rd,3/4 l,2,9-5,-,True,177,2
Curragh Racing Results | 25th May 2025 13:55,N/A,13:55,Good,6f,Power Blue (IRE),D Egan,0,A Murray,2nd,3/4 l,2,9-5,-,True,177,2
Curragh Racing Results | 25th May 2025 13:55,N/A,13:55,Good,6f,Albert Einstein (IRE),R L Moore,0,A P O'Brien,1st,N/A,2,9-5,-,True,177,2
Curragh Racing Results | 25th May 2025 13:55,N/A,13:55,Good,6f,Miami Destination (IRE),R G Ryan,0,A Murray,6th,20 l,2,9-2,-,True,177,2
Curragh Racing Results | 25th May 2025 13:55,N/A,13:55,Good,6f,She's Too Kool (IRE),J J G Ryan,0,C O'Connell,5th,5 1/2 l,2,9-2,-,True,177,2
Curragh Racing Results | 25th May 2025 13:55,N/A,13:55,Good,6f,First Approach (IRE),W M Lordan,0,A P O'Brien,4th,7 1/2 l,2,9-5,-,True,177,2
Curragh Racing Results | 25th May 2025 13:55,N/A,13:55,Good,6f,Andab (IRE),D McMonagle,0,J P O'Brien,3rd,3/4 l,2,9-5,-,True,177,2
Curragh Racing Results | 25th May 2025 13:55,N/A,13:55,Good,6f,Power Blue (IRE),D Egan,0,A Murray,2nd,3/4 l,2,9-5,-,True,177,2
Curragh Racing Results | 25th May 2025 13:55,N/A,13:55,Good,6f,Albert Einstein (IRE),R L Moore,0,A P O'Brien,1st,N/A,2,9-5,-,True,177,2
Curragh Racing Results | 25th May 2025 14:30,N/A,14:30,Good,1m,Birthe (IRE),D McMonagle,0,J P O'Brien,8th,4 3/4 l,4,9-2,107,True,177,3
Curragh Racing Results | 25th May 2025 14:30,N/A,14:30,Good,1m,Rubies From Burma (USA),O Murphy,0,H De Bromhead,7th,2 l,4,9-2t,96,True,177,3
Curragh Racing Results | 25th May 2025 14:30,N/A,14:30,Good,1m,Azada (IRE),C D Hayes,0,D K Weld,6th,4 l,4,9-2,100,True,177,3
Curragh Racing Results | 25th May 2025 14:30,N/A,14:30,Good,1m,Jancis (IRE),D P McDonogh,0,W McCreery,5th,Short Head,4,9-2,107,True,177,3
Curragh Racing Results | 25th May 2025 14:30,N/A,14:30,Good,1m,Vera's Secret (IRE),N M Crosse,0,J Feane,4th,Head,6,9-2,106,True,177,3
Curragh Racing Results | 25th May 2025 14:30,N/A,14:30,Good,1m,Naomi Lapaglia,C T Keane,0,G M Lyons,3rd,2 1/4 l,5,9-2,102,True,177,3
Curragh Racing Results | 25th May 2025 14:30,N/A,14:30,Good,1m,One Look (IRE),W J Lee,0,P Twomey,2nd,1/2 l,4,9-2,102,True,177,3
